band	cluster	n_unique	n_records	n_mash_clusters	median_aa	recurs
large (>=31)	17	370	3008	1060	177	1
large (>=31)	15	106	213	157	229	1
large (>=31)	3	120	151	115	312	1
large (>=31)	23	71	96	85	71	1
large (>=31)	30	61	100	79	66	1
medium (5-30)	89	19	921	74	217	1
large (>=31)	48	57	105	68	117	1
large (>=31)	32	57	149	67	192	1
large (>=31)	43	36	118	60	70	1
medium (5-30)	163	12	105	43	108	1
large (>=31)	82	35	41	37	177	1
medium (5-30)	144	7	57	35	169	1
medium (5-30)	175	16	54	34	117	1
medium (5-30)	42	27	41	33	141	1
medium (5-30)	62	25	41	32	167	1
medium (5-30)	1	20	478	30	429	1
large (>=31)	4	34	43	28	456	1
medium (5-30)	2	30	34	28	177	1
medium (5-30)	18	23	28	27	147	1
medium (5-30)	21	24	42	26	61	1
medium (5-30)	145	6	34	25	67	1
medium (5-30)	71	19	39	23	172	1
medium (5-30)	40	18	38	19	207	1
medium (5-30)	123	5	23	18	81	1
medium (5-30)	9	12	47	16	168	1
medium (5-30)	113	10	27	16	66	1
medium (5-30)	161	6	55	15	130	1
medium (5-30)	172	10	30	14	83	1
medium (5-30)	162	6	18	14	234	1
medium (5-30)	10	12	13	13	63	1
medium (5-30)	39	9	33	13	326	1
medium (5-30)	85	7	16	13	62	1
small (2-4)	13	4	23	13	111	1
medium (5-30)	35	13	14	10	242	1
medium (5-30)	22	9	10	10	177	1
medium (5-30)	54	8	13	10	115	1
medium (5-30)	31	9	9	9	102	1
medium (5-30)	111	7	10	9	103	1
medium (5-30)	148	6	29	9	231	1
medium (5-30)	101	5	30	9	261	1
medium (5-30)	12	9	48	8	153	1
medium (5-30)	77	8	8	8	82	1
medium (5-30)	178	8	21	8	98	1
medium (5-30)	104	7	12	8	72	1
medium (5-30)	47	5	10	8	141	1
medium (5-30)	102	5	10	8	436	1
medium (5-30)	249	5	9	8	307	1
medium (5-30)	6	6	7	7	296	1
medium (5-30)	130	6	14	7	151	1
medium (5-30)	121	5	11	7	83	1
small (2-4)	138	4	11	7	68	1
small (2-4)	251	4	7	7	91	1
small (2-4)	98	3	10	7	59	1
medium (5-30)	45	6	16	6	141	1
medium (5-30)	72	5	7	6	42	1
small (2-4)	106	4	8	6	195	1
small (2-4)	87	3	7	6	53	1
medium (5-30)	37	5	6	5	178	1
medium (5-30)	63	5	10	5	425	1
medium (5-30)	86	5	7	5	78	1
small (2-4)	81	3	5	5	96	1
small (2-4)	28	4	4	4	133	1
small (2-4)	56	4	4	4	105	1
small (2-4)	79	4	4	4	705	1
small (2-4)	160	4	5	4	102	1
small (2-4)	204	4	5	4	81	1
small (2-4)	216	4	5	4	194	1
small (2-4)	260	4	4	4	1113	1
small (2-4)	34	3	4	4	303	1
small (2-4)	88	3	6	4	206	1
small (2-4)	112	3	13	4	149	1
small (2-4)	157	3	6	4	86	1
small (2-4)	97	2	5	4	64	1
small (2-4)	16	3	7	3	64	1
small (2-4)	26	3	3	3	93	1
small (2-4)	65	3	4	3	137	1
small (2-4)	110	3	5	3	87	1
small (2-4)	166	3	4	3	274	1
small (2-4)	197	3	4	3	83	1
small (2-4)	209	3	5	3	119	1
small (2-4)	240	3	6	3	64	1
small (2-4)	265	3	3	3	65	1
small (2-4)	38	2	6	3	125	1
small (2-4)	245	2	3	3	301	1
small (2-4)	7	2	2	2	408	1
small (2-4)	8	2	2	2	526	1
small (2-4)	14	2	3	2	144	1
small (2-4)	24	2	2	2	73	1
small (2-4)	25	2	2	2	261	1
small (2-4)	29	2	2	2	289	1
small (2-4)	33	2	2	2	493	1
small (2-4)	36	2	2	2	83	1
small (2-4)	51	2	2	2	161	1
small (2-4)	55	2	2	2	80	1
small (2-4)	67	2	2	2	118	1
small (2-4)	68	2	2	2	1008	1
small (2-4)	76	2	2	2	73	1
small (2-4)	83	2	2	2	239	1
small (2-4)	93	2	2	2	144	1
small (2-4)	103	2	2	2	90	1
small (2-4)	117	2	2	2	166	1
small (2-4)	124	2	2	2	271	1
