band	cluster	n_unique_surviving	n_records	n_mash_clusters	median_aa
large (>=31)	2	123	179	147	218
large (>=31)	4	142	179	131	310
large (>=31)	6	40	49	33	525
large (>=31)	21	193	3473	1196	185
large (>=31)	29	190	279	220	67
large (>=31)	31	72	98	86	71
large (>=31)	52	40	127	65	70
large (>=31)	59	59	128	70	117
large (>=31)	91	35	41	37	177
medium (5-30)	1	14	249	17	172
medium (5-30)	3	20	478	30	429
medium (5-30)	5	29	34	29	158
medium (5-30)	8	6	7	7	296
medium (5-30)	11	12	47	16	168
medium (5-30)	13	12	13	13	63
medium (5-30)	15	9	48	8	153
medium (5-30)	17	5	781	259	104
medium (5-30)	22	7	55	41	216
medium (5-30)	23	26	33	32	148
medium (5-30)	30	9	10	10	177
medium (5-30)	41	14	15	9	242
medium (5-30)	45	5	6	5	178
medium (5-30)	47	25	48	32	101
medium (5-30)	48	9	33	13	326
medium (5-30)	49	18	38	19	207
medium (5-30)	51	27	41	33	141
medium (5-30)	53	5	5	5	258
medium (5-30)	56	6	16	6	141
medium (5-30)	58	5	10	8	141
medium (5-30)	65	6	13	10	115
medium (5-30)	73	5	10	5	425
medium (5-30)	78	19	27	19	653
medium (5-30)	82	19	39	23	172
medium (5-30)	83	5	7	6	42
medium (5-30)	88	8	8	8	82
medium (5-30)	94	7	16	13	62
medium (5-30)	111	5	30	9	261
medium (5-30)	112	5	10	8	436
medium (5-30)	113	5	12	8	72
medium (5-30)	120	7	10	9	103
medium (5-30)	124	5	20	10	66
medium (5-30)	132	5	11	7	83
medium (5-30)	133	5	23	18	81
medium (5-30)	142	6	14	7	151
medium (5-30)	156	7	57	35	169
medium (5-30)	157	6	34	25	67
medium (5-30)	160	6	29	9	231
medium (5-30)	175	6	55	15	130
medium (5-30)	176	5	18	14	234
medium (5-30)	177	24	79	25	315
medium (5-30)	186	10	30	14	83
medium (5-30)	189	16	54	34	117
medium (5-30)	268	5	9	8	307
small (2-4)	9	2	2	2	408
small (2-4)	10	2	2	2	526
small (2-4)	16	4	23	13	111
small (2-4)	18	2	3	2	144
small (2-4)	19	3	240	114	112
small (2-4)	20	3	7	3	64
small (2-4)	32	2	2	2	261
small (2-4)	33	3	3	3	93
small (2-4)	35	4	4	4	133
small (2-4)	36	2	2	2	289
small (2-4)	38	3	3	3	129
small (2-4)	39	2	2	2	493
small (2-4)	40	3	4	4	303
small (2-4)	42	3	9	6	402
small (2-4)	44	2	2	2	83
small (2-4)	46	2	6	3	125
small (2-4)	62	2	2	2	161
small (2-4)	66	2	2	2	80
small (2-4)	67	4	4	4	105
small (2-4)	75	3	4	3	137
small (2-4)	77	2	2	2	1008
small (2-4)	87	2	2	2	73
small (2-4)	92	2	2	2	239
small (2-4)	95	2	2	2	255
small (2-4)	96	4	6	4	78
small (2-4)	98	3	7	6	53
small (2-4)	99	3	6	4	206
small (2-4)	100	2	2	2	109
small (2-4)	103	2	2	2	144
small (2-4)	107	2	5	4	64
small (2-4)	109	3	10	7	59
small (2-4)	115	4	8	6	195
small (2-4)	119	3	5	3	87
small (2-4)	121	3	13	4	149
small (2-4)	126	2	2	2	166
small (2-4)	134	2	2	2	271
small (2-4)	144	2	2	2	493
small (2-4)	150	4	11	7	68
small (2-4)	154	2	2	2	124
small (2-4)	161	2	2	2	77
small (2-4)	170	3	6	4	86
small (2-4)	172	2	2	2	53
small (2-4)	174	4	4	3	104
small (2-4)	180	3	4	3	274
small (2-4)	185	2	2	2	343
small (2-4)	187	2	2	2	278
small (2-4)	193	2	2	2	94
small (2-4)	195	2	4	2	66
small (2-4)	200	2	3	2	183
small (2-4)	201	2	2	2	238
small (2-4)	211	3	4	3	83
small (2-4)	219	4	5	4	81
small (2-4)	224	3	5	3	119
small (2-4)	225	2	2	2	610
small (2-4)	229	2	2	2	120
small (2-4)	232	4	5	4	194
small (2-4)	247	2	4	2	664
small (2-4)	256	3	6	3	64
small (2-4)	259	3	12	10	203
small (2-4)	261	2	3	2	126
small (2-4)	264	2	3	3	301
small (2-4)	270	4	7	7	91
small (2-4)	278	2	2	2	117
small (2-4)	279	4	4	4	1113
small (2-4)	284	2	2	2	65
small (2-4)	287	2	2	2	72
singleton	55	1	12	8	54
singleton	79	1	32	2	132
singleton	89	1	2	2	114
singleton	125	1	3	2	61
singleton	198	1	5	2	106
singleton	245	1	2	2	153
singleton	257	1	2	2	69
singleton	258	1	4	3	123
