dataset	class	threshold	admitted	pct_db	contamination_pct	also_MPF_T	also_MPF_F	also_MPF_I	also_MPF_FA	also_MPF_FATA	also_MPF_G	also_MPF_B	also_MPF_C
ice	MPF_T	1	2085	21.714		0	132	36	177	564	207	549	1
ice	MPF_T	2	1173	12.216		0	14	1	14	41	8	94	0
ice	MPF_T	3	1000	10.414		0	5	1	1	11	6	1	0
ice	MPF_T	4	943	9.821		0	2	1	0	0	6	0	0
ice	MPF_T	5	912	9.498		0	2	1	0	0	6	0	0
ice	MPF_T	6	879	9.154		0	1	1	0	0	5	0	0
ice	MPF_F	1	719	7.488		132	0	1	7	50	441	37	0
ice	MPF_F	2	238	2.479		14	0	1	0	5	2	0	0
ice	MPF_F	3	225	2.343		5	0	0	0	1	1	0	0
ice	MPF_F	4	222	2.312		2	0	0	0	0	1	0	0
ice	MPF_F	5	219	2.281		2	0	0	0	0	1	0	0
ice	MPF_F	6	212	2.208		1	0	0	0	0	1	0	0
ice	MPF_I	1	101	1.052		36	1	0	4	17	2	11	0
ice	MPF_I	2	15	0.156		1	1	0	0	0	0	0	0
ice	MPF_I	3	13	0.135		1	0	0	0	0	0	0	0
ice	MPF_I	4	12	0.125		1	0	0	0	0	0	0	0
ice	MPF_I	5	12	0.125		1	0	0	0	0	0	0	0
ice	MPF_I	6	11	0.115		1	0	0	0	0	0	0	0
ice	MPF_FA	1	731	7.613		177	7	4	0	634	13	87	1
ice	MPF_FA	2	601	6.259		14	0	0	0	130	0	15	0
ice	MPF_FA	3	564	5.874		1	0	0	0	59	0	0	0
ice	MPF_FA	4	533	5.551		0	0	0	0	43	0	0	0
ice	MPF_FA	5	484	5.041		0	0	0	0	38	0	0	0
ice	MPF_FA	6	370	3.853		0	0	0	0	33	0	0	0
ice	MPF_FATA	1	1561	16.257		564	50	17	634	0	77	326	3
ice	MPF_FATA	2	514	5.353		41	5	0	130	0	0	43	0
ice	MPF_FATA	3	347	3.614		11	1	0	59	0	0	1	0
ice	MPF_FATA	4	296	3.083		0	0	0	43	0	0	0	0
ice	MPF_FATA	5	273	2.843		0	0	0	38	0	0	0	0
ice	MPF_FATA	6	246	2.562		0	0	0	33	0	0	0	0
ice	MPF_G	1	1247	12.987		207	441	2	13	77	0	27	0
ice	MPF_G	2	1170	12.185		8	2	0	0	0	0	0	0
ice	MPF_G	3	1147	11.945		6	1	0	0	0	0	0	0
ice	MPF_G	4	1142	11.893		6	1	0	0	0	0	0	0
ice	MPF_G	5	1137	11.841		6	1	0	0	0	0	0	0
ice	MPF_G	6	1131	11.779		5	1	0	0	0	0	0	0
ice	MPF_B	1	1192	12.414		549	37	11	87	326	27	0	0
ice	MPF_B	2	410	4.27		94	0	0	15	43	0	0	0
ice	MPF_B	3	332	3.458		1	0	0	0	1	0	0	0
ice	MPF_B	4	293	3.051		0	0	0	0	0	0	0	0
ice	MPF_B	5	285	2.968		0	0	0	0	0	0	0	0
ice	MPF_B	6	265	2.76		0	0	0	0	0	0	0	0
ice	MPF_C	1	8	0.083		1	0	0	1	3	0	0	0
ice	MPF_C	2	5	0.052		0	0	0	0	0	0	0	0
ice	MPF_C	3	5	0.052		0	0	0	0	0	0	0	0
ice	MPF_C	4	5	0.052		0	0	0	0	0	0	0	0
ice	MPF_C	5	5	0.052		0	0	0	0	0	0	0	0
ice	MPF_C	6	5	0.052		0	0	0	0	0	0	0	0
