dataset	class	threshold	admitted	pct_db	contamination_pct	also_MPF_T	also_MPF_F	also_MPF_I	also_MPF_FA	also_MPF_FATA	also_MPF_G	also_MPF_B	also_MPF_C
plsdb	MPF_T	1	16473	22.741	68.4	0	2580	2404	873	3257	510	2279	46
plsdb	MPF_T	2	9393	12.967	87.1	0	1262	76	24	157	16	169	3
plsdb	MPF_T	3	7832	10.812	94.5	0	442	24	5	6	7	22	0
plsdb	MPF_T	4	7679	10.601	95.3	0	376	16	0	1	7	5	0
plsdb	MPF_T	5	7559	10.435	96.3	0	351	15	0	0	7	0	0
plsdb	MPF_T	6	7369	10.173	97.8	0	338	14	0	0	6	0	0
plsdb	MPF_F	1	13034	17.993	87.4	2580	0	52	53	4485	136	395	6
plsdb	MPF_F	2	12358	17.06	89.5	1262	0	47	0	63	16	2	0
plsdb	MPF_F	3	11788	16.273	93.5	442	0	29	0	0	5	0	0
plsdb	MPF_F	4	11561	15.96	95.1	376	0	22	0	0	3	0	0
plsdb	MPF_F	5	11430	15.779	96.0	351	0	21	0	0	3	0	0
plsdb	MPF_F	6	11154	15.398	97.8	338	0	20	0	0	2	0	0
plsdb	MPF_I	1	4411	6.089	85.6	2404	52	0	12	442	34	1238	3
plsdb	MPF_I	2	3990	5.508	94.2	76	47	0	0	54	0	13	0
plsdb	MPF_I	3	3844	5.307	96.5	24	29	0	0	2	0	0	0
plsdb	MPF_I	4	3788	5.229	97.3	16	22	0	0	0	0	0	0
plsdb	MPF_I	5	3708	5.119	98.6	15	21	0	0	0	0	0	0
plsdb	MPF_I	6	3643	5.029	98.9	14	20	0	0	0	0	0	0
plsdb	MPF_FA	1	2003	2.765	2.8	873	53	12	0	1784	61	287	21
plsdb	MPF_FA	2	819	1.131	0.1	24	0	0	0	267	0	0	0
plsdb	MPF_FA	3	570	0.787	0.0	5	0	0	0	131	0	0	0
plsdb	MPF_FA	4	278	0.384	0.0	0	0	0	0	7	0	0	0
plsdb	MPF_FA	5	222	0.306	0.0	0	0	0	0	3	0	0	0
plsdb	MPF_FA	6	191	0.264	0.0	0	0	0	0	3	0	0	0
plsdb	MPF_FATA	1	12213	16.86	39.9	3257	4485	442	1784	0	334	1138	66
plsdb	MPF_FATA	2	1984	2.739	16.6	157	63	54	267	0	6	58	2
plsdb	MPF_FATA	3	1133	1.564	17.9	6	0	2	131	0	0	3	0
plsdb	MPF_FATA	4	868	1.198	22.5	1	0	0	7	0	0	0	0
plsdb	MPF_FATA	5	779	1.075	22.5	0	0	0	3	0	0	0	0
plsdb	MPF_FATA	6	532	0.734	4.1	0	0	0	3	0	0	0	0
plsdb	MPF_G	1	936	1.292	44.3	510	136	34	61	334	0	204	6
plsdb	MPF_G	2	136	0.188	78.7	16	16	0	0	6	0	4	0
plsdb	MPF_G	3	109	0.15	95.4	7	5	0	0	0	0	0	0
plsdb	MPF_G	4	106	0.146	96.2	7	3	0	0	0	0	0	0
plsdb	MPF_G	5	106	0.146	96.2	7	3	0	0	0	0	0	0
plsdb	MPF_G	6	105	0.145	96.2	6	2	0	0	0	0	0	0
plsdb	MPF_B	1	4352	6.008	56.5	2279	395	1238	287	1138	204	0	12
plsdb	MPF_B	2	375	0.518	35.7	169	2	13	0	58	4	0	0
plsdb	MPF_B	3	213	0.294	10.8	22	0	0	0	3	0	0	0
plsdb	MPF_B	4	185	0.255	4.9	5	0	0	0	0	0	0	0
plsdb	MPF_B	5	148	0.204	2.0	0	0	0	0	0	0	0	0
plsdb	MPF_B	6	126	0.174	0.8	0	0	0	0	0	0	0	0
plsdb	MPF_C	1	166	0.229	3.0	46	6	3	21	66	6	12	0
plsdb	MPF_C	2	117	0.162	0.9	3	0	0	0	2	0	0	0
plsdb	MPF_C	3	113	0.156	0.9	0	0	0	0	0	0	0	0
plsdb	MPF_C	4	109	0.15	0.9	0	0	0	0	0	0	0	0
plsdb	MPF_C	5	108	0.149	0.9	0	0	0	0	0	0	0	0
plsdb	MPF_C	6	100	0.138	1.0	0	0	0	0	0	0	0	0
