pfam_acc	pfam_name	n_admitted	pct_of_db	seeds_admitted	mob_MPF_F	mob_MPF_T	mob_other
PF06986	F_T4SS_TraN	10866	15.0	5	10238	99	529
PF09673	TrbC_Ftype	10884	15.03	5	10263	93	528
PF11130	TraC_F_IV	11120	15.35	5	10390	106	624
PF09676	TraV	11188	15.45	5	10479	129	580
PF06834	TraU	11190	15.45	5	10374	120	696
PF06122	TraH	11295	15.59	5	10512	116	667
PF07916	TraG_N	11296	15.59	5	10494	167	635
PF05309	TraE	11711	16.17	5	11044	122	545
PF13728	TraF	12672	17.49	5	10450	376	1846
PF19044	P-loop_TraG	18223	25.16	5	10339	6019	1865
PF03743	TrbI	18884	26.07	5	10631	6344	1909
PF10412	TrwB_AAD_bind	24316	33.57	5	10694	8885	4737
PF12696	TraG-D_C	25580	35.31	5	10469	9034	6077
