profile	admitted	pct_db	in_MPF_T	in_MPF_F	in_MPF_I	contamination_pct	n_seeds	residual_novel
T4SS_t4cp2	29571	40.82	7296	10794	3707	73.0	4	7983
T4SS_t4cp1	27039	37.33	6577	10541	3609	75.9	4	6517
T4SS_virb4	23191	32.01	7435	11071	145	79.5	5	4747
FATA_cd419a	7428	10.25	283	1605	131	26.8	3	5434
T4SS_tcpA	3917	5.41	436	1395	28	45.5	1	2135
FATA_prgC	3646	5.03	68	2335	10	65.5	2	1259
FA_orf14	1260	1.74	4	0	0	0.3	3	1256
FATA_trsG	807	1.11	2	0	0	0.2	1	805
FA_orf13	723	1.0	5	9	0	1.9	2	709
FATA_prgF	682	0.94	19	16	56	13.3	1	591
FATA_trsC	674	0.93	199	16	2	32.2	0	457
FA_orf15	651	0.9	1	0	0	0.2	2	650
FATA_trsD	616	0.85	190	0	0	30.8	0	426
FATA_trsL	606	0.84	179	0	0	29.5	0	427
FATA_prgB	570	0.79	15	25	2	7.2	2	529
FA_orf17a	563	0.78	2	11	1	2.5	0	549
FATA_trsF	463	0.64	161	0	0	34.8	0	302
FA_orf17b	442	0.61	0	1	0	0.2	2	441
FATA_trsJ	442	0.61	190	0	2	43.4	0	250
FATA_gbs1346	308	0.43	9	46	129	59.7	0	124
FATA_prgHb	283	0.39	7	4	0	3.9	1	272
FATA_prgIc	252	0.35	7	4	0	4.4	1	241
FA_orf19	240	0.33	0	0	0	0.0	0	240
FA_orf23	210	0.29	1	22	1	11.4	1	186
FATA_cd419_1	196	0.27	20	3	0	11.7	0	173
FATA_gbs1354	182	0.25	19	44	4	35.7	0	117
FATA_prgL	153	0.21	0	0	0	0.0	1	153
FATA_prgK	148	0.2	0	0	0	0.0	1	148
FATA_prgIb	116	0.16	1	4	0	4.3	0	111
FATA_prgHa	114	0.16	1	0	0	0.9	0	113
FATA_cd411	105	0.14	1	0	0	1.0	0	104
FATA_prgIa	95	0.13	1	0	0	1.1	0	94
FATA_gbs1347	58	0.08	8	2	1	17.2	0	48
FATA_gbs1350	50	0.07	5	2	0	14.0	0	43
FATA_gbs1369	47	0.06	16	2	0	38.3	0	29
FATA_gbs1365	26	0.04	6	0	0	23.1	0	20
FATA_cd419b	17	0.02	0	0	0	0.0	0	17
FATA_cd424	1	0.0	0	0	0	0.0	0	1
