profile	n_admitted	seeds_admitted	purity_mpfi_pct	cross_MPF_T	cross_MPF_F	pct_of_db
T4SS_I_traE	1897	5	94.78	3	13	2.62
T4SS_I_traI	3759	5	88.53	16	18	5.19
T4SS_I_traK	3502	5	92.32	15	18	4.83
T4SS_I_traL	3359	5	93.96	11	18	4.64
T4SS_I_traM	3749	5	88.29	17	17	5.18
T4SS_I_traN	3715	5	89.26	16	18	5.13
T4SS_I_traO	3501	5	92.15	15	18	4.83
T4SS_I_traP	3455	5	93.29	12	18	4.77
T4SS_I_traQ	3487	5	92.63	14	19	4.81
T4SS_I_traR	3712	5	87.8	21	18	5.12
T4SS_I_traT	1786	5	98.99	2	9	2.47
T4SS_I_traU	3732	5	88.72	16	18	5.15
T4SS_I_traV	1852	5	96.0	2	12	2.56
T4SS_I_traW	3732	5	90.06	21	20	5.15
T4SS_I_traY	3922	5	86.16	25	22	5.41
T4SS_I_trbA	3801	5	89.95	14	35	5.25
T4SS_I_trbB	3498	5	93.08	15	34	4.83
T4SS_MOBB	131	0	0.0	1	0	0.18
T4SS_MOBC	3869	0	0.54	514	133	5.34
T4SS_MOBF	13309	0	0.55	1990	7681	18.37
T4SS_MOBH	3913	0	0.38	201	3102	5.4
T4SS_MOBP1	17409	5	18.71	4951	188	24.03
T4SS_MOBP2	1391	0	0.0	0	0	1.92
T4SS_MOBP3	36	0	0.0	0	0	0.05
T4SS_MOBQ	5630	0	0.43	1260	100	7.77
T4SS_MOBT	312	0	0.0	4	6	0.43
T4SS_MOBV	4568	0	0.11	995	50	6.31
T4SS_t4cp1	27039	5	12.81	6577	10541	37.33
T4SS_t4cp2	29571	5	11.99	7296	10794	40.82
