profile	n_admitted	excA_recovered	excA_recall_pct	purity_mpfi_pct	impurity_untyped	impurity_MPF_T	impurity_MPF_F	impurity_total
T4SS_I_traE	1897	1829	80.71	94.78	86	0	13	99
T4SS_I_traI	3759	2184	96.38	88.53	415	5	11	431
T4SS_I_traK	3502	2170	95.76	92.32	254	4	11	269
T4SS_I_traL	3359	2169	95.72	93.96	189	3	11	203
T4SS_I_traM	3749	2181	96.25	88.29	423	6	10	439
T4SS_I_traN	3715	2189	96.6	89.26	383	5	11	399
T4SS_I_traO	3501	2192	96.73	92.15	260	4	11	275
T4SS_I_traP	3455	2190	96.65	93.29	217	4	11	232
T4SS_I_traQ	3487	2195	96.87	92.63	241	5	11	257
T4SS_I_traR	3712	2196	96.91	87.8	274	166	13	453
T4SS_I_traT	1786	1763	77.8	98.99	12	0	6	18
T4SS_I_traU	3732	2190	96.65	88.72	404	5	12	421
T4SS_I_traV	1852	1830	80.76	96.0	65	0	9	74
T4SS_I_traW	3732	2223	98.1	90.06	347	10	14	371
T4SS_I_traY	3922	2261	99.78	86.16	513	14	16	543
T4SS_I_trbA	3801	2250	99.29	89.95	345	6	30	382
T4SS_I_trbB	3498	2240	98.85	93.08	205	7	29	242
