dist_to_known	known_eex	len_cv	len_median	machine_contaminated	mean_pid	mpf_class	n_defined	n_known	n_occupants	occupancy_pct	pct_short100	rank	slot	subGA_machine_pct	z_len_cv	z_mean_pid	z_occupancy
0.725		0.746	115.0	0	16.8	MPF_T	179	0	118	31.3	31.4	1	T4SS_T_virB1|T4SS_T_virB10	0.0	0.04	-0.54	-0.37
0.734	Eex_IncN	0.765	59.0	0	17.7	MPF_T	6077	7	1980	30.3	86.3	2	T4SS_T_virB6|T4SS_T_virB8	0.0	0.09	-0.5	-0.4
0.849		0.605	128	0	32.2	MPF_T	178	0	131	39.3	6.1	3	T4SS_t4cp1|T4SS_t4cp2	0.0	-0.35	0.2	-0.15
0.878		0.655	293.0	0	16.2	MPF_T	163	0	242	85.3	31.4	4	T4SS_T_virB6|T4SS_t4cp1	0.0	-0.21	-0.57	1.08
0.962		0.577	130	0	26.2	MPF_T	52	0	89	84.6	1.1	5	T4SS_T_virB1|T4SS_virb4	0.0	-0.43	-0.09	1.06
0.988		0.565	105.0	0	18.4	MPF_T	139	0	138	85.6	25.4	6	T4SS_T_virB1|T4SS_T_virB3	0.0	-0.46	-0.46	1.09
1.047	Eex_IncN	0.546	117.0	0	14.6	MPF_T	725	34	794	84.8	35.5	7	T4SS_T_virB6|T4SS_virb4	0.3	-0.51	-0.65	1.07
1.074		0.651	74	0	16.4	MPF_T	1173	0	311	20.1	56.9	8	T4SS_T_virB5|T4SS_t4cp2	0.3	-0.22	-0.56	-0.67
1.103		0.693	130.0	0	14.7	MPF_T	178	0	54	18.5	40.7	9	T4SS_T_virB11|T4SS_T_virB9	0.0	-0.11	-0.64	-0.71
1.127	Eex_IncN	0.543	139	0	15.4	MPF_T	257	66	295	89.1	46.4	10	T4SS_T_virB6|T4SS_t4cp2	0.0	-0.52	-0.61	1.18
1.142		0.758	313	0	15.6	MPF_T	241	0	341	97.9	12.9	11	T4SS_T_virB1|T4SS_t4cp1	0.0	0.07	-0.6	1.42
1.166		0.904	208	0	23.2	MPF_T	106	0	275	98.1	2.9	12	T4SS_T_virB11|T4SS_t4cp2	0.0	0.48	-0.23	1.42
1.177		0.873	150	0	11.7	MPF_T	4053	0	1239	17.8	8.3	13	T4SS_T_virB11|T4SS_t4cp1	0.2	0.39	-0.79	-0.73
1.226		0.35	132.5	0	25.3	MPF_T	242	0	286	64.9	44.8	14	T4SS_T_virB11|T4SS_T_virB6	0.0	-1.06	-0.13	0.53
1.252		0.939	89.5	0	30.8	MPF_T	33	0	50	97.0	54.0	15	T4SS_T_virB1|T4SS_t4cp2	0.0	0.58	0.14	1.39
1.296		0.911	197.0	0	10.7	MPF_T	95	0	22	14.7	22.7	16	T4SS_t4cp2|T4SS_virb4	13.6	0.5	-0.84	-0.81
1.376		0.347	120.0	0	35.4	MPF_T	156	0	172	57.1	3.5	17	T4SS_T_virB2|T4SS_virb4	0.0	-1.07	0.36	0.32
1.443		0.701	61	0	14.7	MPF_T	180	0	13	5.0	69.2	18	T4SS_T_virB5|T4SS_T_virB8	0.0	-0.08	-0.64	-1.07
1.494	Eex_IncN	0.322	75	0	22.5	MPF_T	3177	1746	3003	86.0	83.2	19	T4SS_T_virB5|T4SS_T_virB6	0.0	-1.14	-0.26	1.1
1.551		0.932	61	0	19.9	MPF_T	417	0	7	1.2	57.1	20	T4SS_T_virB10|T4SS_T_virB5	0.0	0.56	-0.39	-1.18
1.587		0.691	79	0	12.5	MPF_T	7400	0	55	0.6	60.0	21	T4SS_T_virB8|T4SS_T_virB9	20.0	-0.11	-0.75	-1.19
1.609	Eex_IncN	1.276	61.0	0	32.0	MPF_T	63	14	58	81.0	79.3	22	T4SS_T_virB1|T4SS_T_virB6	0.0	1.51	0.19	0.97
