class	min_seq_id	n_backbone_clusters	n_polymorphic_clusters	n_elements_in_polymorphic	pct_of_class	max_alleles_per_cluster
MPF_T	0.5	3234	58	2317	31.2	6
MPF_T	0.7	3234	62	2344	31.5	6
MPF_T	0.8	3234	73	2467	33.2	7
MPF_T	0.9	3234	83	2549	34.3	8
MPF_T	0.95	3234	89	2613	35.1	9
MPF_F	0.5	3783	116	4809	43.2	7
MPF_F	0.7	3783	111	4769	42.9	7
MPF_F	0.8	3783	114	4845	43.6	8
MPF_F	0.9	3783	134	4994	44.9	8
MPF_F	0.95	3783	146	5122	46.1	9
MPF_I	0.5	1025	23	1744	46.7	6
MPF_I	0.7	1025	23	1744	46.7	6
MPF_I	0.8	1025	23	1744	46.7	6
MPF_I	0.9	1025	27	1765	47.3	7
MPF_I	0.95	1025	36	2047	54.8	9
MPF_FA	0.5	284	2	14	2.8	2
MPF_FA	0.7	284	2	14	2.8	2
MPF_FA	0.8	284	2	14	2.8	2
MPF_FA	0.9	284	2	14	2.8	2
MPF_FA	0.95	284	3	19	3.8	2
MPF_B	0.5	108	0	0	0.0	1
MPF_B	0.7	108	0	0	0.0	1
MPF_B	0.8	108	0	0	0.0	1
MPF_B	0.9	108	0	0	0.0	1
MPF_B	0.95	108	0	0	0.0	1
