profile	set	seed	bitscore	gene	cds_index	start	end	strand	aa_len
T4SS_MOBC	mandatory	pAM373	186.3	EP0019	18	13007	13792	-	261
T4SS_MOBP1	mandatory	pLS20	8.4	conserved hypothetical protein	37	28758	29990	+	410
T4SS_MOBP1	mandatory	pCF10	75.9	pcfG	34	33288	34973	+	561
T4SS_MOBP1	mandatory	pAD1	17.4	GKQ57_14610	31	34426	36441	+	671
T4SS_MOBP2	mandatory	pLS20	200.4	conserved hypothetical protein	37	28758	29990	+	410
T4SS_MOBP2	mandatory	pAD1	98.4	GKQ57_14610	31	34426	36441	+	671
T4SS_MOBT	mandatory	ICEBs1	443.9	nicK	9	5673	6731	+	352
T4SS_t4cp1	mandatory	pLS20	49.3	virD4 component of type IV secretory pathway	26	16910	19270	+	786
T4SS_t4cp1	mandatory	pCF10	42.3	pcfC	30	28341	30170	+	609
T4SS_t4cp1	mandatory	pAD1	13.9	GKQ57_14545	18	20992	23544	+	850
T4SS_t4cp1	mandatory	pAM373	24.6	EP0023	22	14650	16863	-	737
T4SS_t4cp2	mandatory	pLS20	172.0	virD4 component of type IV secretory pathway	26	16910	19270	+	786
T4SS_t4cp2	mandatory	pCF10	138.3	pcfC	30	28341	30170	+	609
T4SS_t4cp2	mandatory	pAD1	111.0	GKQ57_14545	18	20992	23544	+	850
T4SS_t4cp2	mandatory	pAM373	111.3	EP0023	22	14650	16863	-	737
T4SS_tcpA	mandatory	ICEBs1	544.6	conQ	8	4238	5680	+	480
T4SS_virb4	mandatory	ICEBs1	111.7	conE	16	9634	12129	+	831
T4SS_virb4	mandatory	pLS20	257.2	VirB4 component of type IV secretory pathway	30	23110	25005	+	631
T4SS_virb4	mandatory	pCF10	279.8	prgJ	24	21359	23596	+	745
T4SS_virb4	mandatory	pAD1	147.6	GKQ57_14560	21	26053	28608	+	851
T4SS_virb4	mandatory	pAM373	91.0	EP0026	25	19565	22057	-	830
FA_orf13	FA	ICEBs1	411.0	conB	13	7885	8949	+	354
FA_orf13	FA	pAM373	38.8	EP0032	31	24909	25754	-	281
FA_orf14	FA	ICEBs1	442.7	cwlT	19	14922	15911	+	329
FA_orf14	FA	pLS20	237.6	putative lipoprotein	32	25624	26730	+	368
FA_orf14	FA	pAD1	212.8	GKQ57_14575	24	30059	31048	+	329
FA_orf15	FA	ICEBs1	177.0	conG	18	12478	14925	+	815
FA_orf15	FA	pAM373	83.8	EP0024	23	16850	19195	-	781
FA_orf17b	FA	ICEBs1	49.4	conD	15	9222	9746	+	174
FA_orf17b	FA	pAM373	21.9	EP0030	29	24255	24644	-	129
FA_orf23	FA	ICEBs1	125.8	helP	7	3822	4202	+	126
FATA_cd419a	FATA	ICEBs1	122.4	cwlT	19	14922	15911	+	329
FATA_cd419a	FATA	pLS20	71.8	putative lipoprotein	32	25624	26730	+	368
FATA_cd419a	FATA	pCF10	16.4	prgK	25	23608	26223	+	871
FATA_prgB	FATA	pCF10	231.6	prgB	15	12883	16800	+	1305
FATA_prgB	FATA	pAD1	235.7	GKQ57_14500	9	11053	14979	+	1308
FATA_prgC	FATA	pCF10	404.5	prgC	17	17246	18103	+	285
FATA_prgC	FATA	pAM373	224.3	EP0037	36	28567	29427	-	286
FATA_prgF	FATA	pCF10	17.1	prgF	20	19545	19772	+	75
FATA_prgHb	FATA	pCF10	196.2	prgH	22	20097	20897	+	266
FATA_prgIc	FATA	pCF10	73.0	prgI	23	20899	21252	+	117
FATA_prgK	FATA	pCF10	768.9	prgK	25	23608	26223	+	871
FATA_prgL	FATA	pCF10	156.6	prgL	26	26247	26873	+	208
FATA_trsG	FATA	pAM373	97.8	EP0036	35	27270	28541	-	423
PF14729	eex	ICEBs1	99.1	conJ	21	16495	16875	+	126
