seed	gene	product	aa	start	end	strand	n_families	families
F	yaaA		99	66	365	1	1	HTH_Tnp_1(PF01527):40.4
F	yaaB		288	362	1228	1	4	rve(PF00665):97.1;rve_2(PF13333):78.2;HTH_21(PF13276):45.6;rve_3(PF13683):37.5
F	yacA		146	2110	2550	1	0	
F	srnB		68	2869	3075	1	1	HOK_GEF(PF01848):36.0
F	srnB'		49	2926	3075	1	1	HOK_GEF(PF01848):37.3
F	repA2	replication regulatory protein	85	3359	3616	1	1	RepB-RCR_reg(PF10723):91.7
F	repL		24	3850	3924	1	1	RepA1_leader(PF08048):48.6
F	tnpX		698	4303	6399	-1	2	FunZ_C(PF30996):54.3;ORC-CDC6-like(PF24389):28.0
F	tnpR		183	6415	6966	-1	2	Resolvase(PF00239):139.7;HTH_7(PF02796):37.2
F	tnpA		1002	7130	10138	1	2	DDE_Tnp_Tn3(PF01526):494.2;DUF4158(PF13700):184.4
F	ybaA		353	10729	11790	-1	2	EAL(PF00563):101.9;GerE(PF00196):31.7
F	ybbA		137	11900	12313	-1	1	YuaE(PF27278):66.6
F	ybcA		187	12477	13040	-1	1	Bactofilin(PF04519):68.3
F	ybdA		137	13047	13460	-1	1	YuaE(PF27278):68.2
F	ybdB		200	13453	14055	-1	0	
F	ybfA		99	15158	15457	1	1	HTH_Tnp_1(PF01527):40.4
F	ybfB		288	15454	16320	1	4	rve(PF00665):94.7;rve_2(PF13333):79.9;rve_3(PF13683):37.5;HTH_21(PF13276):34.6
F	ybgA		84	16317	16571	-1	0	
F	ybhA		110	17216	17548	1	1	DDE_Tnp_IS66(PF03050):97.9
F	ybhB		301	17673	18578	-1	4	Tnp_IS2_N(PF30445):77.0;rve_3(PF13683):67.4;rve(PF00665):60.8;HTH_21(PF13276):43.2
F	ybiA		136	18536	18946	-1	1	HTH_Tnp_1(PF01527):65.1
F	ybiB		94	18858	19142	1	1	DDE_Tnp_IS66_C(PF13817):30.5
F	ybjA		69	19245	19454	1	0	
F	ycaA		231	20096	20791	-1	1	YuaM(PF30159):35.1
F	ycbA		77	21222	21455	-1	0	
F	ycbB		1758	21541	26817	-1	0	
F	ycgA		89	26990	27259	1	0	
F	ychA		1371	27486	31601	-1	3	Autotransporter(PF03797):133.6;AC_1(PF18883):85.5;Pertactin(PF03212):36.1
F	ompP		315	32322	33269	1	1	Omptin(PF01278):405.1
F	yddA		499	33362	34861	1	2	Abhydrolase_1(PF00561):123.1;Abhydrolase_4(PF08386):52.7
F	ydfA		95	35217	35504	1	0	
F	int		246	35618	36358	1	1	Phage_integrase(PF00589):54.6
F	repB		325	36643	37620	-1	1	Rep3_N(PF01051):43.5
F	ydhA		153	37942	38403	-1	0	
F	ydiA		213	38460	39101	-1	0	
F	ydjA		76	39088	39318	1	0	
F	yeaA		78	40634	40870	-1	0	
F	yebA		96	41216	41506	1	1	YuaX(PF27363):113.3
F	yebB		299	41496	42395	1	1	CAP12-PCTIR_TIR(PF10137):126.3
F	pifA		741	42445	44670	-1	1	KAP_NTPase(PF07693):148.7
F	repC	replication protein	363	44672	45763	-1	0	
F	ccdA(letA)		72	46340	46558	1	1	CcdA(PF07362):94.1
F	ccdB(letD)		101	46560	46865	1	1	CcdB(PF01845):111.6
F	resD	resolvase	268	46866	47672	1	1	Phage_integrase(PF00589):65.5
F	repE	replication initiation protein	251	48446	49201	1	2	Rep3_N(PF01051):108.8;Rep3_C(PF21205):62.4
F	sopA		391	49780	50955	1	2	AAA_31(PF13614):94.0;CbiA(PF01656):73.7
F	sopB		323	50955	51926	1	1	SoPB_HTH(PF18090):143.2
F	yfcA		90	52569	52841	1	0	
F	yfcB		168	52855	53361	1	1	DUF1281(PF06924):114.5
F	yfdA		145	53343	53780	1	2	DUF1281_C(PF18406):58.2;DUF1281(PF06924):35.4
F	yfdB		101	53784	54089	1	0	
F	yfeA		227	54166	54849	1	1	N6_N4_Mtase(PF01555):140.0
F	yfeB		73	54850	55071	1	1	YubE(PF27407):107.5
F	yffA		144	55085	55519	1	1	DUF1380(PF07128):172.3
F	yffB		258	55565	56341	1	2	YubG_N(PF30111):212.1;YubG_C(PF30110):194.7
F	yfgA		103	56429	56740	1	0	
F	yfgB		141	56755	57180	1	1	Antirestrict(PF03230):92.4
F	yfhA		140	57227	57649	1	0	
F	yfhB		132	57956	58354	1	0	
F	ssb	single-strand DNA binding protein	179	58643	59182	1	1	SSB(PF00436):125.6
F	yfjA		79	59233	59472	1	1	DUF905(PF06006):111.9
F	yfjB		652	59538	61496	1	2	ParB_N(PF02195):72.9;HTH_ParB(PF17762):32.9
F	psiB		144	61551	61985	1	1	PsiB(PF06290):206.9
F	psiA		239	61982	62701	1	1	PsiA(PF06952):328.7
F	flmC		70	62918	63130	1	1	DUF5431(PF17496):127.0
F	flmA		52	62976	63134	1	1	HOK_GEF(PF01848):74.8
F	ygdA		105	63372	63689	-1	0	
F	ygeA		95	64032	64319	1	0	
F	ygeB		273	64438	65259	1	1	DUF932(PF06067):179.1
F	ygfA		169	65556	66065	-1	1	SLT(PF01464):78.1
F	traM		127	66479	66862	1	1	Tra_M(PF05261):154.0
F	traJ		229	67049	67738	1	1	TraJ(PF27685):543.5
F	traY		131	67837	68232	1	1	TraY(PF05509):132.0
F	traA	prepropilin	121	68265	68630	1	1	TraA(PF05513):224.7
F	traL		103	68645	68956	1	1	TraL(PF07178):104.2
F	traE		188	68978	69544	1	1	TraE(PF05309):183.8
F	traK		242	69531	70259	1	2	TraK_C(PF23536):84.1;TraK_N(PF06586):56.3
F	traB		475	70259	71686	1	1	TrbI(PF03743):94.3
F	traP		196	71676	72266	1	1	TraP(PF07296):319.9
F	trbD		65	72253	72450	1	1	DUF2689(PF10894):38.0
F	trbG		83	72462	72713	1	0	
F	traV		171	72710	73225	1	1	TraV(PF09676):77.3
F	traR		73	73360	73581	1	1	zf-dskA_traR(PF01258):51.0
F	traC		875	73741	76368	1	4	TraC_F_IV(PF11130):306.8;P-loop_TraG(PF19044):98.5;DUF87(PF01935):29.2;TrwB_AAD_bind(PF10412):22.1
F	trbI		128	76365	76751	1	1	TrbI_Ftype(PF09677):122.2
F	traW		210	76748	77380	1	1	TraW_N(PF12477):44.8
F	traU		330	77377	78369	1	1	TraU(PF06834):368.6
F	trbC		212	78378	79016	1	1	TrbC_Ftype(PF09673):67.3
F	traN		602	79013	80821	1	1	F_T4SS_TraN(PF06986):268.0
F	trbE		86	80845	81105	1	1	TrbE(PF11100):57.1
F	traF		257	81068	81841	1	1	TraF(PF13728):233.9
F	trbA		115	81857	82204	1	1	Conjugal_tfr_repressor_TrbA(PF27686):225.0
F	artA		104	82206	82520	-1	0	
F	traQ		94	82601	82885	1	1	TraQ(PF09679):137.1
F	trbB		181	82872	83417	1	1	TraF(PF13728):43.2
F	trbJ		113	83347	83688	1	0	
F	trbF		126	83675	84055	1	1	Plasmid_mob_TrbF(PF27688):198.6
F	traH		458	84052	85428	1	1	TraH(PF06122):374.3
F	traG		938	85425	88241	1	1	TraG_N(PF07916):386.1
F	traS	surface exclusion protein	173	88274	88795	1	0	
F	traT	surface exclusion protein	244	88817	89551	1	1	TraT(PF05818):278.9
F	traD		717	89804	91957	1	4	TrwB_AAD_bind(PF10412):391.1;TraD_N(PF12615):119.8;TraG-D_C(PF12696):69.2;T4SS-DNA_transf(PF02534):31.4
F	trbH		239	91957	92676	1	0	
F	traI		1756	92673	97943	1	7	TrwC(PF08751):263.5;TraI_C(PF07057):141.7;AAA_30(PF13604):130.8;TraI_hel_assoc_N(PF22232):120.7
F	traX		248	97963	98709	1	1	TraX(PF05857):230.6
R100	merR	regulatory protein of mer operon	144	92	526	-1	3	MerR-DNA-bind(PF09278):69.5;MerR_1(PF13411):64.2;MerR(PF00376):42.5
R100	merT	mercuric transport protein	116	598	948	1	1	MerT(PF02411):214.9
R100	merP	mercuric transport protein	91	962	1237	1	1	HMA(PF00403):63.1
R100	merC	mercuric transport protein	153	1234	1695	1	1	MerC(PF03203):85.8
R100	merA	mercuric (ion) reductase	564	1747	3441	1	7	Pyr_redox_2(PF07992):229.0;Pyr_redox_dim(PF02852):107.3;Pyr_redox(PF00070):60.9;Pyr_redox_3(PF13738):50.2
R100	merD		120	3459	3821	1	1	MerR_1(PF13411):58.7
R100	yadA		78	3818	4054	1	1	MerE(PF05052):146.7
R100	yaeA		235	4051	4758	1	1	EAL(PF00563):189.6
R100	tniA	transposase of In21	559	4833	6512	1	3	TnsB_C(PF29688):153.3;Mu-transpos_C(PF09299):40.9;HTH_Tnp_Mu_2(PF09039):21.4
R100	tniBdelta1	NTP-binding protein	286	6515	7375	1	2	TniB(PF05621):262.1;AAA_22(PF13401):54.0
R100	yahA	possible transposase of IS1353	514	7426	8970	-1	7	rve(PF00665):64.6;HTH_Tnp_1(PF01527):54.3;rve_2(PF13333):50.1;HTH_21(PF13276):49.9
R100	istA	possible transposase of IS1326	504	9102	10616	1	3	Mu-transpos_C_2(PF22483):60.3;HTH_IclR(PF09339):24.2;HTH_24(PF13412):22.8
R100	istB	NTP-binding protein	261	10603	11388	1	3	IstB_IS21(PF01695):276.1;Bac_DnaA(PF00308):36.6;AAA(PF00004):24.6
R100	ybbA		166	11564	12064	-1	3	Acetyltransf_1(PF00583):54.5;Acetyltransf_7(PF13508):51.9;Acetyltransf_10(PF13673):40.3
R100	sul1	dihydropteroate synthetase typeI	288	12192	13058	-1	1	Pterin_bind(PF00809):237.3
