seed	gene	product	aa	start	end	strand	n_families	families
R64	repA	plasmid replication initiator RepA	343	455	1486	1	1	IncFII_repA(PF02387):156.6
R64	PLSM15973718_RS00015	transcriptional regulator	117	2761	3114	1	2	HTH_5(PF01022):61.4;HTH_20(PF12840):27.2
R64	arsD	arsenite efflux transporter metallochaperone ArsD	120	3162	3524	1	1	ArsD(PF06953):161.9
R64	PLSM15973718_RS00030	Tn3 family transposase	961	4218	7103	-1	2	DDE_Tnp_Tn3(PF01526):479.0;DUF4158(PF13700):182.0
R64	PLSM15973718_RS00035	recombinase family protein	207	7229	7852	1	1	Resolvase(PF00239):152.0
R64	PLSM15973718_RS00040	IS3-like element IS1133 family transposase	376	7883	9012	1	5	rve(PF00665):95.3;HTH_Tnp_1(PF01527):47.7;HTH_21(PF13276):42.7;rve_2(PF13333):40.3
R64	PLSM15973718_RS00045	IS4-like element ISVsa5 family transposase	402	9082	10290	1	1	DDE_Tnp_1(PF01609):87.3
R64	tetC	tetracyline resistance-associated transcriptional repressor TetC	197	10804	11397	1	1	TetR_N(PF00440):53.9
R64	tet(B)	tetracycline efflux MFS transporter Tet(B)	401	11510	12715	-1	2	MFS_1(PF07690):185.0;Sugar_tr(PF00083):29.1
R64	tetR(B)	tetracycline resistance transcriptional repressor TetR(B)	207	12797	13420	1	2	TetR_C_1(PF02909):105.0;TetR_N(PF00440):49.9
R64	PLSM15973718_RS00070	ArsR/SmtB family transcription factor	228	13398	14084	-1	2	HTH_5(PF01022):34.6;HTH_20(PF12840):31.1
R64	PLSM15973718_RS00075	hypothetical protein	128	14092	14478	-1	0	
R64	PLSM15973718_RS00080	antibiotic biosynthesis monooxygenase family protein	106	14471	14791	-1	1	ABM(PF03992):58.8
R64	gltS	sodium/glutamate symporter	401	15236	16441	1	1	Glt_symporter(PF03616):546.7
R64	PLSM15973718_RS00095	IS4-like element ISVsa5 family transposase	402	16807	18015	-1	1	DDE_Tnp_1(PF01609):87.3
R64	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	267	18301	19104	1	1	APH(PF01636):120.2
R64	PLSM15973718_RS00105	aminoglycoside O-phosphotransferase APH(6)-Id	278	19104	19940	1	2	APH_6_hur(PF04655):390.3;APH(PF01636):26.7
R64	arsA	arsenite efflux transporter ATPase subunit ArsA	593	20752	22533	1	11	ArsA_ATPase(PF02374):314.5;CbiA(PF01656):63.3;AAA_31(PF13614):62.9;Fer4_NifH(PF00142):38.6
R64	arsB	arsenite efflux transporter membrane subunit ArsB	429	22582	23871	1	2	ArsB(PF02040):538.2;CitMHS(PF03600):205.0
R64	arsC	glutaredoxin-dependent arsenate reductase	141	23884	24309	1	2	ArsC(PF03960):85.7;PGM_PMM_IV(PF00408):23.2
R64	PLSM15973718_RS00130	GNAT family N-acetyltransferase	178	24344	24880	-1	6	Acetyltransf_1(PF00583):68.7;Acetyltransf_4(PF13420):57.6;Acetyltransf_7(PF13508):47.3;Acetyltransf_3(PF13302):44.5
R64	PLSM15973718_RS00135	sulfite exporter TauE/SafE family protein	270	25092	25904	1	1	TauE(PF01925):79.3
R64	PLSM15973718_RS00140	winged helix-turn-helix domain-containing protein	122	25967	26335	1	0	
R64	arsA	arsenical pump-driving ATPase	585	26409	28166	-1	14	ArsA_ATPase(PF02374):344.3;AAA_31(PF13614):84.5;CbiA(PF01656):77.3;Fer4_NifH(PF00142):42.9
R64	PLSM15973718_RS00150	arsenic metallochaperone ArsD family protein	120	28187	28549	-1	1	ArsD(PF06953):103.6
R64	PLSM15973718_RS00155	sigma-70 family RNA polymerase sigma factor	181	28625	29170	-1	2	Sigma70_r2(PF04542):44.3;Sigma70_r4_2(PF08281):39.5
R64	arsH	arsenical resistance protein ArsH	216	29179	29829	-1	1	FMN_red(PF03358):109.5
R64	PLSM15973718_RS00165	ArsR/SmtB family transcription factor	107	29990	30313	-1	3	HTH_20(PF12840):54.6;HTH_5(PF01022):31.8;HTH_IclR(PF09339):29.4
R64	PLSM15973718_RS00170	permease	377	30418	31551	1	1	ArsP_1(PF03773):181.1
R64	PLSM15973718_RS00175	ProQ/FINO family protein	205	31844	32461	-1	1	ProQ(PF04352):47.0
R64	PLSM15973718_RS00180	AAA family ATPase	518	32653	34209	-1	7	AAA_21(PF13304):65.5;AAA_15(PF13175):51.7;SMC_N(PF02463):49.0;AAA_23(PF13476):37.9
R64	PLSM15973718_RS00185	hypothetical protein	196	34472	35062	-1	0	
R64	PLSM15973718_RS00190	hypothetical protein	85	35062	35319	-1	0	
R64	PLSM15973718_RS00195	AAA family ATPase	712	35673	37811	1	1	AAA_13(PF13166):64.5
R64	PLSM15973718_RS00200	type II toxin-antitoxin system VapC family toxin	138	37973	38389	-1	1	PIN(PF01850):57.4
R64	vapB	type II toxin-antitoxin system VapB family antitoxin	76	38386	38616	-1	1	MazE_antitoxin(PF04014):37.2
R64	PLSM15973718_RS00210	YuaX family protein	96	38912	39202	1	1	YuaX(PF27363):113.4
R64	PLSM15973718_RS00215	TIR domain-containing protein	299	39192	40091	1	1	CAP12-PCTIR_TIR(PF10137):126.3
R64	PLSM15973718_RS00220	KAP family P-loop NTPase fold protein	741	40141	42366	-1	1	KAP_NTPase(PF07693):148.7
R64	PLSM15973718_RS00230	hypothetical protein	137	44010	44423	1	0	
R64	PLSM15973718_RS00235	site-specific integrase	259	44425	45204	1	1	Phage_integrase(PF00589):67.1
R64	PLSM15973718_RS00240	ParA family protein	214	45383	46027	1	2	AAA_31(PF13614):34.2;MipZ(PF09140):23.3
R64	PLSM15973718_RS00245	hypothetical protein	102	46114	46422	1	0	
R64	PLSM15973718_RS00250	plasmid segregation protein ParM	326	46836	47816	1	3	StbA_N(PF06406):274.0;ParM_N(PF21523):241.8;MreB-like_C(PF21522):28.0
R64	PLSM15973718_RS00255	plasmid partitioning/stability family protein	138	47809	48225	1	1	Plasmid_stab_B(PF10784):96.6
R64	PLSM15973718_RS00260	Y-family DNA polymerase	424	48227	49501	-1	3	IMS(PF00817):137.5;IMS_C(PF11799):88.7;DUF4113(PF13438):71.7
R64	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	145	49501	49938	-1	1	Peptidase_S24(PF00717):85.2
R64	PLSM15973718_RS00270	DinI-like family protein	82	49935	50183	-1	1	DinI(PF06183):65.0
R64	PLSM15973718_RS00275	DUF1281 domain-containing protein	308	50577	51503	1	2	DUF1281(PF06924):156.6;DUF1281_C(PF18406):54.6
R64	PLSM15973718_RS00280	hypothetical protein	103	51500	51811	1	0	
R64	PLSM15973718_RS00285	DNA methylase	227	51888	52571	1	1	N6_N4_Mtase(PF01555):139.8
R64	PLSM15973718_RS00290	YubE family protein	73	52572	52793	1	1	YubE(PF27407):113.3
R64	PLSM15973718_RS00300	YubG family protein	256	53290	54060	1	2	YubG_N(PF30111):211.1;YubG_C(PF30110):197.4
R64	PLSM15973718_RS00305	antirestriction protein	141	54478	54903	1	1	Antirestrict(PF03230):89.7
R64	PLSM15973718_RS00310	DUF1380 family protein	140	54950	55372	1	0	
R64	PLSM15973718_RS00315	hypothetical protein	63	55369	55560	1	0	
R64	PLSM15973718_RS00320	single-stranded DNA-binding protein	175	56330	56857	1	1	SSB(PF00436):126.9
R64	PLSM15973718_RS00325	DUF905 domain-containing protein	77	56915	57148	1	1	DUF905(PF06006):118.4
R64	PLSM15973718_RS00330	ParB/RepB/Spo0J family partition protein	652	57207	59165	1	2	ParB_N(PF02195):69.5;HTH_ParB(PF17762):30.9
R64	psiB	conjugation system SOS inhibitor PsiB	144	59220	59654	1	1	PsiB(PF06290):191.2
R64	PLSM15973718_RS00340	plasmid SOS inhibition protein A	239	59651	60370	1	1	PsiA(PF06952):318.1
R64	PLSM15973718_RS00345	hypothetical protein	198	60367	60963	1	0	
R64	PLSM15973718_RS00350	antirestriction protein ArdA	166	61426	61926	1	1	ArdA(PF07275):95.9
R64	PLSM15973718_RS00355	hypothetical protein	144	62655	63089	1	0	
R64	PLSM15973718_RS00360	hypothetical protein	88	63181	63447	1	0	
