accession	stratum	offset	traY_bit	excA_bit	excA_aa
AP024477.1	order#1	1	950.8	290.2	220
AP026449.1	order#1	1	950.8	289.5	220
AP026488.1	order#1	1	940.4	288.2	220
AP026515.1	order#1	1	877.3	234.2	204
AP026532.1	order#1	1	879.4	283.0	217
AP026757.1	order#1	1	908.9	296.0	220
AP028482.1	order#3	1	804.4	235.0	212
AP028496.1	order#3	1	804.4	235.0	212
AP028546.1	order#3	1	805.4	235.0	212
CP005999.1	order#1	1	894.8	242.8	178
CP013914.1	order#3	3	654.5	113.9	224
CP013915.1	split_2	3	578.9	109.3	225
CP014494.1	order#1	2	581.4	232.7	204
CP018674.1	split_2	1	755.1	116.0	207
CP020526.1	order#4+	1	798.7	173.3	210
CP021898.1	order#4+	1	798.7	173.3	210
CP024251.1	order#4+	2	474.6	232.7	204
CP024976.1	split_2	1	877.8	233.6	204
CP025214.1	order#3	1	757.8	116.0	207
CP027378.1	split_2	2	666.0	252.2	216
CP027379.1	split_2	1	883.1	266.4	214
CP027673.1	order#1	1	887.3	266.8	214
CP029771.1	order#1	1	606.7	276.8	216
CP029842.1	order#1	1	887.2	276.8	216
CP030839.1	order#1	1	887.2	276.8	216
CP034251.1	order#1	1	877.8	233.6	204
CP034252.1	order#1	1	877.8	233.6	204
CP035009.1	order#1	1	890.4	276.8	216
CP035635.1	order#4+	1	810.2	169.7	210
CP036162.1	order#4+	1	782.8	179.9	210
CP038508.1	split_2	1	949.5	289.9	220
CP042618.1	order#1	2	574.3	123.3	86
CP042951.1	order#1	1	886.1	232.5	166
CP043738.1	split_2	1	885.1	276.8	216
CP043768.1	order#4+	1	797.5	175.5	210
CP044022.1	order#4+	1	886.1	232.5	166
CP048295.1	order#1	1	950.8	289.5	220
CP048298.1	order#1	1	908.9	296.8	220
CP048936.1	order#1	1	358.0	232.5	166
CP049611.1	order#1	1	887.2	276.8	216
CP049876.1	split_2	1	911.6	296.0	220
CP049984.1	order#1	1	908.9	296.8	220
CP050279.1	order#3	1	588.6	113.5	207
CP050283.1	order#4+	1	759.3	113.5	207
CP050747.1	order#1	1	948.0	289.9	220
CP051408.1	split_2	1	908.7	296.8	220
CP051676.1	split_2	1	949.5	289.9	220
CP052260.1	order#1	1	895.2	256.3	216
CP052382.1	order#1	1	948.0	289.9	220
CP052779.1	order#1	1	949.5	289.9	220
CP052781.1	order#1	1	949.5	289.9	220
CP052783.1	split_2	1	949.5	289.9	220
CP052786.1	order#1	1	949.5	289.9	220
CP052788.1	order#1	1	949.5	289.9	220
CP052791.1	order#1	1	949.5	289.9	220
CP052793.1	order#1	1	949.5	289.9	220
CP052795.1	order#1	1	949.5	289.9	220
CP052799.1	order#1	1	949.5	289.9	220
CP052802.1	order#1	1	949.5	289.9	220
CP052804.1	order#1	1	949.5	289.9	220
CP052806.1	order#1	1	949.5	289.9	220
CP052808.1	order#1	1	949.5	289.9	220
CP052810.1	order#1	1	949.5	289.9	220
CP052812.1	order#1	1	949.5	253.8	178
CP052814.1	order#1	1	949.5	253.8	178
CP052816.1	order#1	1	949.5	289.9	220
CP052818.1	order#1	1	949.5	289.9	220
CP052820.1	order#4+	1	949.5	253.8	178
CP052822.1	order#4+	1	949.5	289.9	220
CP052824.1	order#1	1	949.5	289.9	220
CP052826.1	order#1	1	949.5	289.9	220
CP052828.1	order#1	1	949.5	289.9	220
CP052830.1	order#1	1	949.5	289.9	220
CP052832.1	order#1	1	949.5	289.9	220
CP052834.1	order#1	1	949.5	289.9	220
CP052836.1	order#1	1	949.5	289.9	220
CP052838.1	order#1	1	949.5	289.9	220
CP052840.1	order#1	1	949.5	289.9	220
CP053327.1	order#4+	1	865.2	266.9	217
CP053328.1	order#1	1	886.7	275.2	216
CP053333.1	order#1	1	821.4	188.5	214
CP053415.1	order#4+	1	820.1	266.9	217
CP053578.1	order#4+	1	887.2	276.8	216
CP054316.1	order#1	1	481.3	276.8	216
CP054459.1	split_2	1	895.5	283.0	217
CP056349.1	order#1	1	880.2	232.7	204
CP056600.1	order#1	1	886.1	232.5	166
CP056606.1	order#1	1	877.8	232.7	204
CP056607.1	order#1	1	885.4	232.5	166
CP056610.1	order#1	1	895.5	283.0	217
CP056615.1	order#1	1	895.5	283.0	217
CP056650.1	order#1	1	948.0	289.9	220
CP056797.1	order#1	1	885.1	276.8	216
CP056802.1	order#1	1	877.8	232.7	204
CP056817.1	order#1	1	887.2	276.0	216
CP056818.1	order#1	1	894.2	256.3	216
CP056844.1	order#1	1	917.8	294.9	220
CP056904.1	order#1	1	895.5	283.0	217
CP056909.1	order#1	1	950.8	289.0	220
CP056976.1	order#1	1	950.8	289.5	220
CP057275.1	order#1	1	890.4	276.8	216
CP057294.1	order#1	1	950.8	289.5	220
CP057303.1	order#1	1	950.8	289.5	220
CP057321.1	order#4+	1	810.2	169.7	210
CP057335.1	order#1	1	897.3	278.4	217
CP057341.1	order#1	1	897.3	278.4	217
CP057343.1	order#1	1	897.3	278.4	217
CP057346.1	order#1	1	897.3	278.4	217
CP057348.1	order#1	1	897.3	278.4	217
CP057399.1	order#1	1	897.3	278.4	217
CP057400.1	order#1	1	908.9	296.8	220
CP057403.1	order#1	1	890.4	276.8	216
CP057452.1	order#1	1	877.8	233.6	204
CP057526.1	order#1	1	947.5	289.5	220
CP057540.1	order#1	1	948.8	289.5	220
CP057546.1	order#1	1	947.5	289.5	220
CP057591.1	order#1	1	937.0	289.0	220
CP057635.1	order#4+	1	877.3	233.6	204
CP057639.1	order#4+	1	877.3	233.6	204
CP057695.1	order#1	1	887.2	276.8	216
CP057698.1	order#1	1	950.8	289.5	220
CP057735.1	order#1	1	950.3	289.9	220
CP057743.1	order#1	1	950.3	289.9	220
CP057756.1	order#1	1	950.3	289.9	220
CP057764.1	order#1	1	950.3	289.9	220
CP057774.1	order#1	1	934.3	289.0	220
CP057846.1	order#1	1	887.2	276.8	216
CP057852.1	order#1	1	887.2	276.8	216
CP057857.1	order#1	1	887.2	276.8	216
CP057884.1	order#1	1	877.8	233.6	204
CP057908.1	order#1	1	876.5	233.6	204
CP057924.1	order#1	1	886.6	277.7	216
CP057944.1	order#1	1	877.8	233.6	204
CP057972.1	order#1	1	948.0	289.5	220
CP057977.1	order#1	1	886.1	232.5	166
CP057998.1	order#1	1	916.9	296.3	220
