element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C	phylum
NC_000964_529362..549932	0	0	0	5	1	0	0	0	Firmicutes
NC_002939_1873483..1945140	0	0	0	0	1	0	0	0	Desulfobacterota
NC_002950_1181515..1186836	0	0	0	0	1	0	0	0	Bacteroidota
NC_002950_1520119..1615447	2	0	0	0	0	0	10	0	Bacteroidota
NC_002978_521984..547228	0	0	0	0	1	0	0	0	Proteobacteria
NC_003028_968351..1022298	0	0	0	0	0	0	1	0	Firmicutes
NC_003210_1090271..1172084	0	0	0	7	2	0	0	0	Firmicutes
NC_004116_1247045..1291025	0	0	0	0	4	0	1	0	Firmicutes
NC_004116_883476..963727	1	0	0	6	1	0	0	0	Firmicutes
NC_004129_5378464..5493555	0	1	0	0	0	16	0	0	Proteobacteria
NC_004368_1000687..1050207	2	0	0	0	2	0	1	0	Firmicutes
NC_004368_1130581..1194889	1	0	0	0	7	0	0	0	Firmicutes
NC_004460_578306..790264	0	12	0	0	2	0	0	0	Proteobacteria
NC_004547_1867875..1926959	7	0	0	0	0	0	0	0	Proteobacteria
NC_004547_3236178..3264254	0	0	0	0	0	0	1	0	Proteobacteria
NC_004547_590755..688599	0	0	0	0	0	17	0	0	Proteobacteria
NC_004663_24709..105194	0	0	0	0	0	0	11	0	Bacteroidota
NC_004668_2436966..2462369	0	0	0	4	0	0	0	0	Firmicutes
NC_005090_1040627..1065048	6	0	0	0	0	0	0	0	Campylobacterota
NC_005126_1211107..1351866	0	0	0	0	0	16	1	0	Proteobacteria
NC_006347_120909..169142	1	0	0	0	0	0	9	0	Bacteroidota
NC_006347_1449086..1482448	0	0	0	0	0	0	1	0	Bacteroidota
NC_006347_1515650..1522411	0	0	0	0	0	0	1	0	Bacteroidota
NC_006347_1584897..1627602	0	0	0	0	0	0	10	0	Bacteroidota
NC_006347_761569..769947	0	0	0	0	0	0	1	0	Bacteroidota
NC_006368_148634..219021	7	0	0	0	0	0	0	0	Proteobacteria
NC_006369_84112..244605	5	0	1	0	0	0	0	0	Proteobacteria
NC_006371_1732568..1920429	8	0	0	0	0	0	0	0	Proteobacteria
NC_006513_1383779..1493833	0	1	0	0	0	16	0	0	Proteobacteria
NC_006513_139818..307213	0	0	0	0	0	15	0	0	Proteobacteria
NC_007005_1604658..1724374	0	1	0	0	0	16	0	0	Proteobacteria
NC_007296_1066864..1108985	0	0	0	0	1	0	0	0	Firmicutes
NC_007404_1767278..1787459	0	0	2	0	0	0	0	0	Proteobacteria
NC_007404_1911286..1929072	1	0	0	0	0	0	0	0	Proteobacteria
NC_007492_3390830..3506476	0	1	0	0	0	15	0	0	Proteobacteria
NC_007575_830433..846858	0	1	0	0	0	0	0	0	Campylobacterota
NC_007722_145948..235186	1	11	0	0	1	0	0	0	Proteobacteria
NC_007722_2937623..3035310	1	12	0	0	0	0	0	0	Proteobacteria
NC_007722_825458..960344	1	12	0	0	0	0	0	0	Proteobacteria
NC_007759_1753055..1816836	0	5	0	0	0	0	0	0	Desulfobacterota
NC_007794_305890..397654	8	0	0	0	0	0	0	0	Proteobacteria
NC_007951_2185339..2316800	0	0	0	0	1	0	0	0	Proteobacteria
NC_007951_577235..590610	0	0	1	0	0	0	0	0	Proteobacteria
NC_007973_2524369..2599412	0	1	0	0	0	16	0	0	Proteobacteria
NC_008254_4083656..4181696	8	0	0	0	0	0	0	0	Proteobacteria
NC_008254_551117..573443	8	0	0	0	0	0	1	0	Proteobacteria
