cluster	n_unique_r0	n_records_r0	branch	seeds	medoid_aa	hits_total	hits_in_slot	in_slot_over_total	hit_plasmids	median_hit_aa	profile_nseq	lipobox_pct
20	8	8	novel_family		81	8	8	1.0	8	82	8	0.0
37	7	12	novel_family		69	12	12	1.0	12	73	7	100.0
52	6	14	novel_family		154	14	14	1.0	14	154	6	0.0
17	5	7	novel_family		42	7	7	1.0	7	42	5	100.0
86	4	5	novel_family		81	5	5	1.0	5	81	4	0.0
26	3	7	novel_family		53	7	7	1.0	7	53	3	100.0
15	2	2	novel_family		80	2	2	1.0	2	80	2	0.0
19	2	2	novel_family		73	2	2	1.0	2	73	2	0.0
42	2	2	novel_family		166	2	2	1.0	2	166	2	0.0
50	2	2	novel_family		111	2	2	1.0	2	111	2	100.0
61	2	2	novel_family		68	2	2	1.0	2	77	2	100.0
75	2	4	novel_family		66	4	4	1.0	4	66	2	100.0
59	6	34	novel_family		67	35	34	0.971	35	67	6	0.0
39	10	27	novel_family		66	28	27	0.964	28	66	10	100.0
11	27	41	novel_family		141	46	43	0.935	45	141	27	8.7
2	12	13	novel_family		63	14	13	0.929	14	63	12	0.0
57	4	11	novel_family		68	13	12	0.923	13	68	4	100.0
71	16	54	novel_family		184	61	56	0.918	60	117	16	78.7
31	3	10	novel_family		59	11	10	0.909	11	59	3	100.0
3	9	48	novel_family		153	53	48	0.906	53	153	9	0.0
12	35	117	novel_family		69	137	118	0.861	135	70	35	48.2
9	9	9	novel_family		101	11	9	0.818	11	102	9	72.7
10	34	49	novel_family		95	61	49	0.803	55	98	34	13.1
1	12	47	novel_family		162	61	47	0.77	61	162	12	0.0
6	9	10	novel_family		206	13	10	0.769	13	175	9	0.0
14	8	13	novel_family		115	17	13	0.765	17	115	8	100.0
24	5	7	novel_family		78	10	7	0.7	7	78	5	100.0
13	57	105	novel_family		117	159	111	0.698	153	114	57	91.8
7	71	96	novel_family		75	152	98	0.645	152	71	71	75.0
46	13	106	novel_family		108	260	144	0.554	120	108	13	98.8
73	8	21	novel_family		98	42	21	0.5	22	100	8	11.9
66	4	5	novel_family		102	10	5	0.5	9	102	4	60.0
102	3	3	novel_family		65	6	3	0.5	6	72	3	0.0
5	85	142	novel_family		67	448	143	0.319	436	72	85	0.4
33	2	2	novel_family		78	13	2	0.154	13	78	2	100.0
25	88	162	joins_seed_family	pKM101_eex_Eex_IncNfamily;R388_cand_Eex_IncNfamily	77	1755	166	0.095	1721	77	88	96.2
36	5	30	novel_family		260	730	30	0.041	701	195	5	2.1
34	28	58	novel_family		72	4576	66	0.014	4356	84	28	94.4
91	4	5	novel_family		194	452	6	0.013	403	258	4	0.2
22	2	2	novel_family		239	198	2	0.01	193	183	2	3.0
83	3	4	novel_family		83	607	4	0.007	586	84	3	0.0
