element_id	element_type	length	n_cds_called	has_relaxase	relaxase_families	mpf_classes	n_mpf_classes	n_fa_fata_profiles	exclusion_family_hit	phylum	genus
NC_000964_529362..549932	ICE	20571	24	1	profile_MOBT	MPF_FA	1	6	DUF4467	Firmicutes	Bacillus
NC_002678_4605606..4672382	NA	66777	83	1	T4SS_MOBQ,profile_MOBT	none	0	0		Proteobacteria	Mesorhizobium
NC_002678_5011308..5052070	IME	40763	36	1	T4SS_MOBP1	none	0	0		Proteobacteria	Mesorhizobium
NC_002678_777317..812388	NA	35072	34	1	T4SS_MOBQ	none	0	0		Proteobacteria	Mesorhizobium
NC_002695_2669688..2694881	IME	25194	31	0	NA	none	0	0		Proteobacteria	Escherichia
NC_002939_1873483..1945140	NA	71658	71	0	NA	none	0	1		Desulfobacterota	Geobacter
NC_002950_1181515..1186836	NA	5322	5	1	T4SS_MOBV	none	0	1		Bacteroidota	Porphyromonas
NC_002950_1520119..1615447	ICE	95329	95	1	T4SS_MOBP1	none	0	0		Bacteroidota	Porphyromonas
NC_002950_905735..942497	IME	36763	37	1	T4SS_MOBP1,T4SS_MOBV,profile_MOBT	none	0	0		Bacteroidota	Porphyromonas
NC_002978_521984..547228	NA	25245	26	0	NA	none	0	1		Proteobacteria	Wolbachia
NC_003028_968351..1022298	NA	53948	60	1	T4SS_MOBP1,profile_MOBT	none	0	0		Firmicutes	Streptococcus
NC_003155_180284..189094	NA	8811	9	1	T4SS_MOBC	none	0	0		Actinobacteriota	Streptomyces
NC_003155_4589789..4636538	NA	46750	52	0	NA	none	0	0		Actinobacteriota	Streptomyces
NC_003210_1090271..1172084	ICE	81814	78	1	profile_MOBT	MPF_FA	1	9		Firmicutes	Listeria
NC_003910_364202..384633	NA	20432	27	0	NA	none	0	0		Proteobacteria	Colwellia
NC_004116_1247045..1291025	IME	43981	42	1	T4SS_MOBP1,profile_MOBT	none	0	4		Firmicutes	Streptococcus
NC_004116_1966825..1974390	NA	7566	9	1	profile_MOBT	none	0	0		Firmicutes	Streptococcus
NC_004116_231616..240637	NA	9022	14	1	T4SS_MOBV	none	0	0		Firmicutes	Streptococcus
NC_004116_883476..963727	ICE	80252	73	1	profile_MOBT	MPF_FA	1	7		Firmicutes	Streptococcus
NC_004129_5378464..5493555	NA	115092	144	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Pseudomonas_E
NC_004368_1000687..1050207	NA	49521	44	1	T4SS_MOBP1,T4SS_MOBP2	none	0	2		Firmicutes	Streptococcus
NC_004368_1130581..1194889	ICE	64309	63	1	T4SS_MOBP1,profile_MOBT	MPF_FA	1	7		Firmicutes	Streptococcus
NC_004368_232852..241426	NA	8575	13	1	T4SS_MOBV	none	0	0		Firmicutes	Streptococcus
NC_004369_2279565..2297024	NA	17460	20	0	NA	none	0	0		Actinobacteriota	Corynebacterium
NC_004460_578306..790264	ICE	211959	198	1	profile_MOBF	MPF_F	1	2		Proteobacteria	Vibrio
NC_004463_21972..41068	NA	19097	18	1	T4SS_MOBP1,profile_MOBT	none	0	0		Proteobacteria	Bradyrhizobium
NC_004547_1867875..1926959	NA	59085	70	1	T4SS_MOBQ	MPF_T	1	0	Eex_IncN	Proteobacteria	Pectobacterium
NC_004547_3236178..3264254	NA	28077	32	1	T4SS_MOBQ	none	0	0		Proteobacteria	Pectobacterium
NC_004547_590755..688599	ICE	97845	96	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Pectobacterium
NC_004663_1404662..1430250	NA	25589	26	1	T4SS_MOBP1	none	0	0		Bacteroidota	Bacteroides
NC_004663_24709..105194	NA	80486	83	1	T4SS_MOBP1	none	0	0		Bacteroidota	Bacteroides
NC_004663_247354..254845	NA	7492	6	1	T4SS_MOBV	none	0	0		Bacteroidota	Bacteroides
NC_004668_2436966..2462369	NA	25404	36	1	profile_MOBT	MPF_FA	1	4		Firmicutes	Enterococcus
NC_004722_1862230..1866036	NA	3807	6	1	T4SS_MOBC	none	0	0		Firmicutes	Bacillus_A
NC_005090_1040627..1065048	NA	24422	23	1	T4SS_MOBP1	MPF_T	1	0		Campylobacterota	Wolinella
NC_005126_1211107..1351866	ICE	140760	124	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Photorhabdus
NC_005362_1637990..1641541	NA	3552	5	1	profile_MOBT	none	0	0		Firmicutes	Lactobacillus
NC_006087_767603..782388	NA	14786	21	1	T4SS_MOBP1	none	0	0		Actinobacteriota	Leifsonia
NC_006138_2431977..2503754	NA	71778	64	1	T4SS_MOBC	none	0	0		Desulfobacterota	Desulfotalea
NC_006300_66975..119696	NA	52722	70	0	NA	none	0	0		Proteobacteria	Basfia
NC_006347_120909..169142	ICE	48234	40	1	T4SS_MOBP1	none	0	0		Bacteroidota	Bacteroides
NC_006347_1449086..1482448	NA	33363	30	1	T4SS_MOBV	none	0	0		Bacteroidota	Bacteroides
NC_006347_1515650..1522411	NA	6762	6	1	T4SS_MOBV	none	0	0		Bacteroidota	Bacteroides
NC_006347_1584897..1627602	ICE	42706	43	1	T4SS_MOBP1	none	0	0		Bacteroidota	Bacteroides
NC_006347_761569..769947	NA	8379	13	1	T4SS_MOBB,T4SS_MOBP1	none	0	0		Bacteroidota	Bacteroides
NC_006361_725473..735275	NA	9803	13	0	NA	none	0	0		Actinobacteriota	Nocardia
NC_006368_148634..219021	ICE	70388	62	1	T4SS_MOBQ	MPF_T	1	0		Proteobacteria	Legionella
NC_006369_3258149..3275688	IME	17540	17	1	T4SS_MOBH	none	0	0		Proteobacteria	Legionella
NC_006369_84112..244605	ICE	160494	131	1	T4SS_MOBP1,T4SS_MOBQ	MPF_T	1	0		Proteobacteria	Legionella
NC_006371_1732568..1920429	NA	187862	176	1	T4SS_MOBP1,profile_MOBF	MPF_T	1	0		Proteobacteria	Photobacterium
NC_006513_1383779..1493833	ICE	110055	98	1	T4SS_MOBH,profile_MOBT	MPF_F	1	0		Proteobacteria	Aromatoleum
NC_006513_139818..307213	ICE	167396	140	1	T4SS_MOBH,profile_MOBM	MPF_F	1	0		Proteobacteria	Aromatoleum
NC_007005_1604658..1724374	NA	119717	130	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Pseudomonas_E
NC_007086_2899536..2932263	NA	32728	23	1	T4SS_MOBQ	none	0	0		Proteobacteria	Xanthomonas
NC_007296_1066864..1108985	NA	42122	38	1	T4SS_MOBQ	none	0	1		Firmicutes	Streptococcus
NC_007298_1137870..1142420	NA	4551	4	0	NA	none	0	0		Proteobacteria	Azonexus
NC_007404_1767278..1787459	ICE	20182	20	1	T4SS_MOBP1,profile_MOBF	none	0	0		Proteobacteria	Thiobacillus
NC_007404_1911286..1929072	ICE	17787	22	1	profile_MOBF	none	0	0		Proteobacteria	Thiobacillus
NC_007404_2090388..2093423	NA	3036	3	1	T4SS_MOBP1,T4SS_MOBV	none	0	0		Proteobacteria	Thiobacillus
NC_007492_3390830..3506476	NA	115647	114	1	T4SS_MOBH,profile_MOBT	MPF_F	1	0		Proteobacteria	Pseudomonas_E
NC_007503_2242358..2288734	NA	46377	52	0	NA	none	0	0		Firmicutes_B	Carboxydothermus
NC_007517_2577821..2583006	NA	5186	6	0	NA	none	0	0		Desulfobacterota	Geobacter
NC_007519_2841587..2849168	NA	7582	6	0	NA	none	0	0		Desulfobacterota_I	Oleidesulfovibrio
NC_007575_1698009..1716345	NA	18337	20	1	profile_MOBF	none	0	0		Campylobacterota	Sulfurimonas
NC_007575_830433..846858	NA	16426	18	1	T4SS_MOBP1,T4SS_MOBQ	none	0	0		Campylobacterota	Sulfurimonas
NC_007722_145948..235186	NA	89239	83	1	profile_MOBF	MPF_F	1	1		Proteobacteria	Altererythrobacter_D
NC_007722_2937623..3035310	ICE	97688	88	1	profile_MOBF,profile_MOBT	MPF_F	1	0		Proteobacteria	Altererythrobacter_D
NC_007722_825458..960344	ICE	134887	128	1	profile_MOBF	MPF_F	1	0		Proteobacteria	Altererythrobacter_D
NC_007759_1753055..1816836	ICE	63782	59	1	T4SS_MOBH,profile_MOBT	none	0	0		Desulfobacterota	Syntrophus
NC_007759_2183026..2193104	NA	10079	11	1	T4SS_MOBC	none	0	0		Desulfobacterota	Syntrophus
NC_007777_1212450..1226025	NA	13576	16	0	NA	none	0	0		Actinobacteriota	Frankia
NC_007777_3200756..3208529	NA	7774	7	0	NA	none	0	0		Actinobacteriota	Frankia
NC_007777_3955805..3975042	IME	19238	14	1	profile_MOBF	none	0	0		Actinobacteriota	Frankia
