accession	length	n_cds	mpf_classes	n_fa_fata	relaxase	exclusion_family_hit	description
NC_000866.4	168903	265	none	0	1		NC_000866.4 Enterobacteria phage T4, complete genome
NC_000867.1	10079	19	none	0	0		NC_000867.1 Pseudoalteromonas phage PM2, complete genome
NC_000871.1	37370	46	none	0	0		NC_000871.1 Streptococcus phage Sfi19, complete genome
NC_000872.1	40739	54	none	0	0		NC_000872.1 Streptococcus phage Sfi21, complete genome
NC_000896.1	43785	66	none	0	0		NC_000896.1 Lactobacillus prophage phiadh, complete genome
NC_000902.1	60942	85	none	0	0		NC_000902.1 Enterobacteria phage VT2-Sakai, complete genome
NC_000924.1	61670	87	none	0	0		NC_000924.1 Enterobacteria phage 933W, complete genome
NC_000929.1	36717	54	none	0	0		NC_000929.1 Enterobacteria phage Mu, complete genome
NC_000935.1	36524	39	none	0	0		NC_000935.1 Acyrthosiphon pisum bacteriophage APSE-1, complete genome
NC_001270.2	6825	13	none	0	0		NC_001270.2 Spiroplasma phage SVTS2, complete genome
NC_001271.1	39600	47	none	0	0		NC_001271.1 Yersinia phage phiYeO3-12, complete genome
NC_001317.1	30624	41	none	0	0		NC_001317.1 Escherichia phage 186, complete genome
NC_001330.1	6087	9	none	0	0		NC_001330.1 Enterobacteria phage alpha3, complete genome
NC_001331.1	7349	14	none	0	0		NC_001331.1 Pseudomonas phage Pf1, complete genome
NC_001332.1	6744	8	none	0	0		NC_001332.1 Enterobacteria phage I2-2, complete genome
NC_001335.1	52297	89	none	0	0		NC_001335.1 Mycobacterium phage L5 complete genome
NC_001341.1	4491	7	none	0	0		NC_001341.1 Acholeplasma phage MV-L1, complete genome
NC_001365.1	8273	11	none	0	0		NC_001365.1 Spiroplasma phage 1-R8A2B, complete genome
NC_001396.1	7308	15	none	0	0		NC_001396.1 Xanthomonas phage Cf1c, complete genome
NC_001416.1	48502	62	none	0	0		NC_001416.1 Enterobacteria phage lambda, complete genome
NC_001417.2	3569	3	none	0	0		NC_001417.2 phage MS2 genome
NC_001418.1	5833	8	none	0	0		NC_001418.1 Pseudomonas phage Pf3, complete genome
NC_001420.2	5577	6	none	0	0		NC_001420.2 Genome of phage G4 (coliphage)
NC_001421.2	14927	26	none	0	0		NC_001421.2 Enterobacteria phage PRD1, complete genome
NC_001422.1	5386	6	none	0	0		NC_001422.1 Escherichia phage phiX174, complete genome
NC_001423.1	19366	25	none	1	0		NC_001423.1 Bacteriophage PZA (from B.subtilis), complete genome
NC_001426.1	3466	3	none	0	0		NC_001426.1 Enterobacteria phage GA, complete genome
NC_001447.1	11965	17	none	0	0		NC_001447.1 Acholeplasma phage L2, complete genome
NC_001490.1	7212	1	none	0	0		NC_001490.1 Rhinovirus B14, complete sequence
NC_001604.1	39937	50	none	0	0		NC_001604.1 Enterobacteria phage T7, complete genome
NC_001609.1	11624	14	none	0	0		NC_001609.1 Enterobacteria phage P4, complete genome
NC_001617.1	7152	1	none	0	0		NC_001617.1 Human rhinovirus 89, complete genome
NC_001628.1	3588	3	none	0	0		NC_001628.1 Pseudomonas phage PP7, complete genome
NC_001629.1	22195	39	none	0	0		NC_001629.1 Lactococcus phage bIL67, complete genome
NC_001697.1	32355	44	none	0	0		NC_001697.1 Haemophilus phage HP1 strain HP1c1, complete genome
NC_001706.1	22172	37	none	0	0		NC_001706.1 Lactobacillus phage c2, complete genome
NC_001730.1	6089	8	none	0	0		NC_001730.1 Bacteriophage phiK complete genome
NC_001741.1	4877	5	none	0	0		NC_001741.1 Chlamydia phage Chp1, complete genome
NC_001825.1	19343	27	none	0	0		NC_001825.1 Streptococcus phage Cp-1, complete genome
