class	anchor	seed	pfam_model	pfam_bit	conjscan_profile	conjscan_bit
MPF_T	VirB1	RP4	anchor_SLT	-	T4SS_T_virB1	-
MPF_T	VirB1	R751	anchor_SLT	23	T4SS_T_virB1	-
MPF_T	VirB1	pKM101	anchor_SLT	32	T4SS_T_virB1	158
MPF_T	VirB1	R388	anchor_SLT	44	T4SS_T_virB1	184
MPF_T	VirB1	R46	anchor_SLT	32	T4SS_T_virB1	158
MPF_T	VirB2	RP4	anchor_TrbC	64	T4SS_T_virB2	63
MPF_T	VirB2	R751	anchor_TrbC	63	T4SS_T_virB2	67
MPF_T	VirB2	pKM101	anchor_TrbC	29	T4SS_T_virB2	24
MPF_T	VirB2	R388	anchor_TrbC	71	T4SS_T_virB2	80
MPF_T	VirB2	R46	anchor_TrbC	29	T4SS_T_virB2	24
MPF_T	VirB3	RP4	anchor_VirB3	49	T4SS_T_virB3	77
MPF_T	VirB3	R751	anchor_VirB3	47	T4SS_T_virB3	78
MPF_T	VirB3	pKM101	anchor_VirB3	57	T4SS_T_virB3	62
MPF_T	VirB3	R388	anchor_VirB3	81	T4SS_T_virB3	80
MPF_T	VirB3	R46	anchor_VirB3	57	T4SS_T_virB3	62
MPF_T	VirB4	RP4	anchor_CagE_TrbE_VirB	98	T4SS_virb4	694
MPF_T	VirB4	R751	anchor_CagE_TrbE_VirB	91	T4SS_virb4	664
MPF_T	VirB4	pKM101	anchor_CagE_TrbE_VirB	100	T4SS_virb4	774
MPF_T	VirB4	R388	anchor_CagE_TrbE_VirB	122	T4SS_virb4	742
MPF_T	VirB4	R46	anchor_CagE_TrbE_VirB	100	T4SS_virb4	774
MPF_T	VirB5	RP4	anchor_T4SS	-	T4SS_T_virB5	106
MPF_T	VirB5	R751	anchor_T4SS	-	T4SS_T_virB5	122
MPF_T	VirB5	pKM101	anchor_T4SS	87	T4SS_T_virB5	58
MPF_T	VirB5	R388	anchor_T4SS	123	T4SS_T_virB5	101
MPF_T	VirB5	R46	anchor_T4SS	87	T4SS_T_virB5	58
MPF_T	VirB6	RP4	TrbL	137	T4SS_T_virB6	462
MPF_T	VirB6	R751	TrbL	143	T4SS_T_virB6	520
MPF_T	VirB6	pKM101	TrbL	145	T4SS_T_virB6	210
MPF_T	VirB6	R388	TrbL	171	T4SS_T_virB6	207
MPF_T	VirB6	R46	TrbL	145	T4SS_T_virB6	210
MPF_T	VirB8	RP4	anchor_VirB8	144	T4SS_T_virB8	211
MPF_T	VirB8	R751	anchor_VirB8	146	T4SS_T_virB8	227
MPF_T	VirB8	pKM101	anchor_VirB8	127	T4SS_T_virB8	208
MPF_T	VirB8	R388	anchor_VirB8	158	T4SS_T_virB8	247
MPF_T	VirB8	R46	anchor_VirB8	127	T4SS_T_virB8	208
MPF_T	VirB9	RP4	anchor_CagX	182	T4SS_T_virB9	262
MPF_T	VirB9	R751	anchor_CagX	187	T4SS_T_virB9	265
MPF_T	VirB9	pKM101	anchor_CagX	150	T4SS_T_virB9	251
MPF_T	VirB9	R388	anchor_CagX	158	T4SS_T_virB9	242
MPF_T	VirB9	R46	anchor_CagX	150	T4SS_T_virB9	251
MPF_T	VirB10	RP4	anchor_TrbI	220	T4SS_T_virB10	222
MPF_T	VirB10	R751	anchor_TrbI	223	T4SS_T_virB10	219
MPF_T	VirB10	pKM101	anchor_TrbI	156	T4SS_T_virB10	91
MPF_T	VirB10	R388	anchor_TrbI	186	T4SS_T_virB10	90
MPF_T	VirB10	R46	anchor_TrbI	156	T4SS_T_virB10	91
MPF_T	VirB11	RP4	anchor_T2SSE	126	T4SS_T_virB11	337
MPF_T	VirB11	R751	anchor_T2SSE	127	T4SS_T_virB11	342
MPF_T	VirB11	pKM101	anchor_T2SSE	80	T4SS_T_virB11	123
MPF_T	VirB11	R388	anchor_T2SSE	88	T4SS_T_virB11	108
MPF_T	VirB11	R46	anchor_T2SSE	80	T4SS_T_virB11	123
MPF_T	VirD4	RP4	anchor_T4SS-DNA_transf	561	T4SS_t4cp1	94
MPF_T	VirD4	R751	anchor_T4SS-DNA_transf	525	T4SS_t4cp1	90
MPF_T	VirD4	pKM101	anchor_T4SS-DNA_transf	-	T4SS_t4cp1	-
MPF_T	VirD4	R388	anchor_T4SS-DNA_transf	52	T4SS_t4cp1	37
MPF_T	VirD4	R46	anchor_T4SS-DNA_transf	38	T4SS_t4cp1	-
MPF_F	TraU	F	mpff_TraU	369	T4SS_F_traU	502
