element_id	gene	side	embl_protein	crc64	uniparc	uniprot	reviewed	uniprot_len	frozen_len	sha_match	n_conflicts	conflicts	features	pmids	lookup_route
F	traS	exclusion	BAA97970.1	2C2A18F8E180C0CC	UPI0000003DC5	P09129	reviewed	173	173	MATCH	1	Sequence conflict:144-173(in Ref. 1 and 2)	Chain:1-173(Protein TraS);Sequence conflict:144-173(in Ref. 1 and 2)	1348105;3323526;7915817	checksum
F	traG	partner	BAA97969.1	9E09C8402ACDFDDF	UPI0000137384	P33790	reviewed	938	938	MATCH	0		Chain:1-938(Protein TraG);Chain:None-938(Protein TraG*);Topological domain:1-53(Cytoplasmic);Transmembrane:54-73(Helical);Topological domain:74-329(Periplasmic);Transmembrane:330-350(Helical);Topological domain:351-412(Cytoplasmic);Transmembrane:413-433(Helical);Topological domain:434-938(Periplasmic);Region:654-677(Disordered);Region:915-938(Disordered)	1348105;7915817	checksum
ICEBs1	yddJ	exclusion	YGG23124.1	6D6E255AA1021456	UPI000005FF95	P96647	reviewed	126	126	MATCH	0		Signal:1-27;Chain:28-126(Uncharacterized protein YddJ);Region:93-126(Disordered)	9384377	checksum
ICEBs1	conG	partner	YGG21655.1	19FF52B6359E63A7	UPI000005FF92	P96644	reviewed	815	815	MATCH	0		Signal:1-25;Chain:26-815(Uncharacterized membrane protein YddG);Transmembrane:127-147(Helical);Transmembrane:157-177(Helical);Transmembrane:311-331(Helical);Transmembrane:333-353(Helical);Transmembrane:372-392(Helical);Transmembrane:401-421(Helical);Region:483-815(Disordered)	9384377	checksum
IncC	traG_C	partner	AYV08555.1	2DBAC3A126A70DC8	UPI00006DD2F5	A0ABN7GQU1	unreviewed	1204	1204	MATCH	0		Transmembrane:34-52(Helical);Transmembrane:348-370(Helical);Transmembrane:376-394(Helical);Transmembrane:426-452(Helical);Domain:5-466(TraG N-terminal Proteobacteria);Region:888-907(Disordered)		checksum
R100	traS	exclusion	BAA78881.1	2EDB6F874A744072	UPI00000B1937	Q6SIZ8	unreviewed	159	159	MATCH	0		Transmembrane:7-23(Helical);Transmembrane:29-46(Helical);Transmembrane:66-91(Helical)	15388431;22499999;25753630;26488485;30286803	checksum
R100	traG	partner	BAA78880.1	BCAC890B25ECFE21	UPI00000B6D49	Q6SIZ9	unreviewed	940	940	MATCH	0		Transmembrane:331-349(Helical);Transmembrane:355-377(Helical);Domain:3-444(TraG N-terminal Proteobacteria);Region:656-675(Disordered);Region:893-940(Disordered)	15388431;16820486;17496058;21393220;22499999;23078751;23988630;25236985;25753630;30286803;37143544	checksum
R621a	excA	exclusion	BAK64483.1	9376EF6F9E7646E6	UPI000219C93C		NOT_FOUND		204						none
R621a	traY	partner	BAK64484.1	ABF967D4A315D245	UPI0001DDF5D6		NOT_FOUND		745						none
R64	excA	exclusion	BAB91650.1	F49105362FD697E4	UPI00000B8011	U5KKN6	unreviewed	220	220	MATCH	0		Transmembrane:24-45(Helical);Transmembrane:57-76(Helical)	24123430;25861872;25987615;25987637;26100713	checksum
R64	traY	partner	BAB91652.1	43F9947521741F18	UPI00000B8F4B	Q9WW95	unreviewed	745	745	MATCH	0		Transmembrane:26-48(Helical);Transmembrane:85-108(Helical);Transmembrane:129-149(Helical);Transmembrane:539-558(Helical);Transmembrane:570-588(Helical);Transmembrane:618-641(Helical);Transmembrane:653-680(Helical);Region:722-745(Disordered)	1917882;7991676;8014987;8300611;9393692;9603870	checksum
RP4	trbK	exclusion	CAJ85697.1	B1DD14D3454139C9	UPI00000B7AFF	Q79AR9	unreviewed	69	69	MATCH	0		Signal:1-21;Chain:22-69;Chain:23-69;Lipidation:23-23(N-palmitoyl cysteine);Lipidation:23-23(S-diacylglycerol cysteine)	1904533	checksum
RP4	trbL	partner	CAJ85698.1	4419AD8A977B768B	UPI00000B7C52	Q03536	unreviewed	528	528	MATCH	0		Transmembrane:53-71(Helical);Transmembrane:83-101(Helical);Transmembrane:151-174(Helical);Transmembrane:179-199(Helical);Transmembrane:211-231(Helical);Transmembrane:252-269(Helical);Region:352-412(Disordered);Region:476-528(Disordered)	1400366	checksum
SXT	eex	exclusion	AKA21199.1	FD999CD3317B8D7D	UPI00017B010C	A0ABT6U7Q2	unreviewed	143	143	MATCH	0		Transmembrane:12-30(Helical);Transmembrane:42-59(Helical);Transmembrane:66-81(Helical);Transmembrane:87-105(Helical)		checksum
SXT	traG	partner	AKA21200.1	D125AE7DC2308839	UPI00017B010D	B4EWP8	unreviewed	1189	1189	MATCH	0		Transmembrane:337-356(Helical);Transmembrane:362-383(Helical);Domain:3-456(TraG N-terminal Proteobacteria);Region:621-694(Disordered);Region:847-868(Disordered)	18375554	checksum
pKM101	eex	exclusion	AAA86454.1	81ACEFFA7BB3375F	UPI00000B3B4F	Q79SE7	unreviewed	75	75	MATCH	0		Chain:15-75;Lipidation:15-15(N-palmitoyl cysteine);Lipidation:15-15(S-diacylglycerol cysteine)	7891554;8029323	checksum
pKM101	traD	partner	AAA86455.1	F0EEEC5AC6A942D6	UPI00000B56A8	Q46701	unreviewed	346	346	MATCH	0		Transmembrane:144-167(Helical);Transmembrane:173-193(Helical);Transmembrane:205-226(Helical);Transmembrane:238-260(Helical);Region:305-346(Disordered)	7891554;8029323	checksum
pKPC_UVA01	trbL-like	partner	AJE44582.1	2EABAD991FDE8B69	UPI0003578695		NOT_FOUND		324						none
