accession	plsdb_mpf_type	replicons	n_cds	dual_system	dual_system_both_tierA	family_call_mode	mpft_admitted	mpft_VirB1	mpft_VirB2	mpft_VirB3	mpft_VirB4	mpft_VirB4b	mpft_VirB5	mpft_VirB6	mpft_VirB7	mpft_VirB8	mpft_VirB9	mpft_VirB10	mpft_VirB11	mpft_VirD4	mpft_TraN	mpft_tier	mpft_core_completeness_ga	mpft_architecture	mpft_slot_ready__virb5_virb6	mpft_fused_virB3_virB4	mpft_virB7_status	mpft_n_gap_genes_le10kb	mpft_carries_novel84	mpff_admitted	mpff_TraU	mpff_TraH	mpff_TraF	mpff_TraC_F_IV	mpff_TraG_N	mpff_TrbI	mpff_P-loop_TraG	mpff_TraE	mpff_TrbC_Ftype	mpff_F_T4SS_TraN	mpff_TrwB_AAD_bind	mpff_TraV	mpff_TraG-D_C	mpff_tier	mpff_core_completeness_fspecific	mpff_layout	mpff_anchor_span_bp	mpff_slot_ready__traG	mpff_traN_present	mpff_slot_occupant
AB244976.1	MPF_T	-	79	0	0	GA	1	75;63917;64582;-;28.3	74;63554;63895;-;76.3	73;63203;63529;-;73.2	72;60832;63216;-;164.4	72;60832;63216;-;109.6	71;60105;60818;-;126.0	69;58740;59756;-;123.1		67;57716;58399;-;156.3	66;56877;57719;-;177.4	65;55607;56875;-;175.3	64;54618;55610;-;102.1	63;52724;54640;-;358.2		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AB576781.2	MPF_F	IncFII(S);IncFII(pAR0022)	138	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	113;88107;89099;+;366.7	122;94347;95729;+;392.4	119;92566;93315;+;231.0	110;84472;87120;+;314.1	123;95726;98548;+;394.4	102;80518;81939;+;91.5	110;84472;87120;+;97.8	100;79225;79791;+;188.1	115;89411;90049;+;70.6	117;90502;92328;+;271.0	126;100202;102364;+;374.1	105;82745;83260;+;96.7	126;100202;102364;+;72.1	A	9/9	contiguous	20977	1	1	98570..99058+;162;TraS;0
AB605179.1	MPF_F	IncFIB(AP001918);IncFII(S);IncFII(pAR0022)	163	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	138;108279;109271;+;366.7	147;114519;115901;+;392.4	144;112738;113487;+;231.0	135;104644;107292;+;314.1	148;115898;118720;+;394.4	127;100690;102111;+;91.5	135;104644;107292;+;97.8	125;99397;99963;+;188.1	140;109583;110221;+;70.6	142;110674;112500;+;271.0	151;120374;122536;+;374.1	130;102917;103432;+;96.7	151;120374;122536;+;72.1	A	9/9	contiguous	20977	1	1	118742..119230+;162;TraS;0
AE006471.2	MPF_F	IncFIB(S);IncFII(S);IncFII(pAR0022)	116	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	97;72222;73214;+;366.7	106;78462;79844;+;392.4	103;76681;77430;+;231.0	94;68587;71235;+;314.1	107;79841;82663;+;394.4	86;64633;66054;+;91.5	94;68587;71235;+;97.8	84;63340;63906;+;185.6	99;73526;74164;+;70.6	101;74617;76443;+;271.0	110;84317;86560;+;374.0	89;66860;67375;+;96.7	110;84317;86560;+;72.0	A	9/9	contiguous	20977	1	1	82685..83173+;162;TraS;0
AFSD01000008.1	MPF_T	-	371	0	0	GA	1		254;278941;279327;+;75.2	255;279320;279619;+;67.6	55;52046;54514;+;194.1	55;52046;54514;+;128.9		259;283060;284241;+;115.2		260;284262;284924;+;131.5	60;57425;58279;+;186.9	263;286234;287532;+;226.7	52;50421;51392;+;130.3	96;94528;96408;+;548.8		A	7/7	canonical	0	0	unscoreable	16	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AJ297913.2	MPF_T	-	53	0	0	GA	1	32;32408;33169;-;36.6	30;29611;29919;-;71.9	29;29278;29601;-;80.8	28;26791;29271;-;199.1	28;26791;29271;-;108.3	27;26066;26785;-;228.4	25;24573;25655;-;167.7		23;23556;24266;-;207.1	22;22687;23559;-;182.4	21;21536;22687;-;186.7	20;20485;21552;-;90.8	18;17424;19937;-;352.0		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AJ304453.1	MPF_T	-	71	0	0	GA	1	38;34771;35550;-;34.2	36;31949;32257;-;81.4	35;31613;31936;-;83.8	34;29116;31605;-;208.5	34;29116;31605;-;104.5	33;28380;29108;-;199.1	30;26203;27285;-;169.2		28;25164;25889;-;190.9	27;24271;25167;-;165.1	26;23129;24274;-;193.1	25;22069;23145;-;102.4	23;18527;21256;-;319.4		A	7/7	canonical	1	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AJ639924.1	MPF_T	IncP1	59	0	0	GA	1	15;15193;15828;+;23.5	4;4864;5328;+;66.5	5;5332;5643;+;49.8	6;5640;8198;+;91.0	6;5640;8198;+;112.0		13;12844;14574;+;143.0		7;8195;8977;+;145.8	8;8995;9894;+;186.5	10;10390;11811;+;223.1	3;3885;4850;+;128.3	40;41197;43110;-;525.7		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AJ863570.1	MPF_T	IncP1	58	0	0	GA	1	21;22930;23565;+;23.5	10;12613;13077;+;63.5	11;13081;13392;+;49.8	12;13389;15947;+;91.0	12;13389;15947;+;112.1		19;20593;22311;+;143.0		13;15944;16726;+;145.8	14;16744;17643;+;186.5	16;18139;19560;+;223.3	9;11634;12596;+;127.6	37;41481;43394;-;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AM157767.1	MPF_T	-	79	0	0	GA	1		31;26364;26771;+;60.9	32;26774;27085;+;51.2	33;27082;29640;+;100.2	33;27082;29640;+;108.2		40;34218;35954;+;141.3		34;29637;30356;+;140.9	35;30368;31258;+;177.3	37;31736;33154;+;226.4	30;25373;26344;+;131.9	75;63410;65326;-;504.6		A	7/7	canonical	0	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
