rank	cond_mi_bits	n_plasmids	family	is_positive_control
1	0.080856	793	LR890282.1#172	0
2	0.080677	279	NZ_CP149488.1#150	0
3	0.078772	395	MK649828.1#120	0
4	0.076128	311	NZ_CP092760.1#43	0
5	0.059786	179	NZ_CP118040.1#71	0
6	0.056618	808	NZ_MT840282.1#46	0
7	0.05517	863	NZ_CP026048.1#153	0
8	0.053349	803	NZ_CP103723.1#58	0
9	0.052885	804	NZ_CP089769.1#18	0
10	0.051636	875	CP139232.1#81	0
11	0.051522	710	NZ_CP046942.1#105	0
12	0.051141	1083	NZ_CP055176.1#107	0
13	0.051136	588	NZ_MF437312.1#156	0
14	0.05002	1085	NZ_CP015754.1#114	0
15	0.049442	529	NZ_CP074529.1#146	0
16	0.049088	905	OW967784.1#56	0
17	0.048587	897	NZ_CP092760.1#99	0
18	0.048345	387	NZ_CP026163.1#135	0
19	0.047375	388	NZ_CP023489.1#56	0
20	0.046865	370	NZ_CP061386.1#159	0
21	0.04672	911	NZ_AP024174.1#247	0
22	0.046686	910	CP091127.1#176	0
23	0.045386	914	NZ_CP056884.1#206	0
24	0.044801	915	NZ_LK391770.1#88	0
25	0.044709	565	CP139232.1#71	0
26	0.044695	915	NZ_CP077808.1#46	0
27	0.04434	315	NZ_CP118040.1#78	0
28	0.044054	924	CP024977.1#40	0
29	0.043687	842	NZ_CP132605.1#46	0
30	0.043322	335	NZ_KY271406.1#65	0
31	0.042551	683	NZ_CP051492.1#56	0
32	0.040649	190	CP139232.1#31	0
33	0.04062	2001	NZ_MN647788.1#92	0
34	0.040583	609	NZ_CP027865.1#7	0
35	0.040072	291	NZ_CP090079.1#108	0
36	0.039869	283	NZ_CP032195.1#88	0
37	0.039773	693	NC_013950.1#1	0
38	0.039574	455	NZ_CP149488.1#193	0
39	0.038748	309	NZ_CP104607.1#118	0
40	0.037845	117	LC623933.1#126	0
41	0.037777	1707	NZ_CP092760.1#251	0
42	0.036979	285	CP067501.1#110	0
43	0.035564	165	CP139232.1#119	0
44	0.035532	647	NZ_CP015135.1#27	0
45	0.034819	636	NZ_CP149488.1#61	0
46	0.034644	678	NZ_AP022143.1#107	0
47	0.034544	116	CP139232.1#120	0
48	0.034529	101	NZ_CP098142.1#151	0
49	0.034473	196	NZ_CP035384.1#47	0
50	0.034273	651	OW967777.1#25	0
51	0.034156	65	NZ_CP098142.1#202	0
52	0.034032	642	NZ_CP072950.1#59	0
53	0.033917	653	NZ_CP149488.1#66	0
54	0.033909	649	CP027603.1#202	0
55	0.033785	641	NC_009649.1#45	0
56	0.0337	650	NZ_LT009688.1#10	0
57	0.033644	650	NZ_CP149488.1#68	0
58	0.033424	69	NZ_CP056386.1#248	0
59	0.033424	69	NZ_CP056386.1#247	0
60	0.033424	69	NZ_CP056386.1#246	0
61	0.033273	195	NZ_OW849471.1#59	0
62	0.032402	2200	LC807779.1#13	0
63	0.0324	255	NZ_CP104977.1#15	0
64	0.032115	68	CP052288.1#119	0
65	0.031793	1538	NZ_MG677985.1#69	0
66	0.031353	209	NZ_LR890485.1#72	0
67	0.031209	200	NZ_LR890485.1#79	0
68	0.031102	210	NZ_LR890485.1#73	0
69	0.031081	209	NZ_LR890485.1#76	0
70	0.03101	649	CP139232.1#92	0
71	0.030981	626	NZ_CP066896.1#223	0
72	0.030973	306	NZ_CP115325.1#98	0
73	0.03097	202	NZ_LR890485.1#77	0
74	0.030683	426	NZ_CP090627.1#56	0
75	0.030449	3993	NZ_OP046713.1#15	0
76	0.030398	198	NZ_LR890485.1#78	0
77	0.03031	209	NZ_LR890485.1#74	0
78	0.030198	171	NZ_CP146549.1#94	0
79	0.030166	200	NZ_LR890485.1#80	0
80	0.029584	368	NZ_CP019261.1#36	0
81	0.028698	840	NZ_CP063154.1#118	0
82	0.028121	1211	NZ_CP146557.1#14	0
83	0.027435	262	NZ_CP032263.1#41	0
84	0.027246	721	LC807798.1#46	0
85	0.025854	780	CP139232.1#53	0
86	0.025655	1766	NZ_LC484363.1#30	0
87	0.025404	1335	NZ_MG773376.1#126	0
88	0.025293	926	NZ_CP083001.1#7	0
89	0.025101	451	NZ_CP051492.1#27	0
90	0.025061	453	NZ_CP149488.1#119	0
91	0.024956	1025	NZ_CP047702.1#104	0
92	0.024661	199	NZ_LR890485.1#75	0
93	0.024642	441	NZ_CP149488.1#111	0
