accession	slot_family	slot_status	gap_up	gap_down	anchor_gap_median	n_anchor_gaps
AB244976.1		candidate	40	2	1	8
AFSD01000008.1		candidate	-4	-7	20	2
AJ297913.2	Eex_IncN	eex_occupied	11	102	5	6
AJ304453.1		candidate	14	67	7	6
AJ639924.1	TrbK_RP4	eex_occupied	9	10	13	6
AJ863570.1	TrbK_RP4	eex_occupied	9	10	16	6
AM157767.1	TrbK_RP4	eex_occupied	11	7	11	6
AM261282.1	TrbK_RP4	eex_occupied	9	-4	13	6
AP012552.1	Eex_IncN	eex_occupied	10	13	12	3
AP014659.1		candidate	-4	16	-4	5
AP014688.1		candidate	-4	15	-8	4
AP017969.1		candidate	1	-20	10	6
AP017970.1		candidate	3	-20	10	6
AP018566.2	Eex_IncN	eex_occupied	7	15	17	7
AP018571.2	Eex_IncN	eex_occupied	9	11	9	6
AP018705.1	Eex_IncN	eex_occupied	12	9	9	6
AP018706.1	Eex_IncN	eex_occupied	12	9	9	6
AP018707.1	Eex_IncN	eex_occupied	11	113	9	8
AP018708.1	Eex_IncN	eex_occupied	11	113	9	8
AP018709.1	TrbK_RP4	eex_occupied	10	9	16	6
AP018710.1		candidate	3	0	-1	5
AP019683.1		candidate	6	564	25	8
AP019756.1		candidate	11	-4	-4	6
AP022275.1	Eex_IncN	eex_occupied	17	11	9	6
AP022422.1	Eex_IncN	eex_occupied	7	15	17	6
AP025950.1		candidate	-11	-4	0	6
AP025952.1		candidate	-4	-11	0	6
AP025954.1		candidate	-11	-4	0	6
AP025956.1		candidate	-11	-4	0	6
AP025958.1		candidate	-4	-11	0	5
AP025960.1		candidate	-11	3	3	6
AP025964.1		candidate	-41	-4	0	5
AP025967.1		candidate	-11	-4	0	6
AP025969.1		candidate	-4	-11	0	6
AP025971.1		candidate	-4	-11	0	6
AP025975.1		candidate	3	-11	3	6
AP025978.1		candidate	-4	-11	0	6
AP025980.1		candidate	-4	-11	0	6
AP025982.1		candidate	-4	-11	-4	5
AP025984.1		candidate	-11	3	3	6
AP025986.1		candidate	-11	-4	-4	5
AP025988.1		candidate	-11	-4	0	6
AP025989.1		candidate	30	114	-1	2
AP025991.1		candidate	-4	-11	0	6
AP025993.1		candidate	3	-11	3	5
AP025997.1		candidate	-11	-4	0	6
AP025998.1		candidate	81	30	-1	2
AP026000.1		candidate	-4	-11	0	6
AP026002.1		candidate	49	28	18	4
AP026006.1		candidate	-11	-4	0	6
AP026008.1		candidate	-11	-4	0	6
AP026010.1		candidate	-11	3	3	6
AP026012.1		candidate	-11	3	3	6
AP026015.1		candidate	-4	-11	0	6
