accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order
NZ_CP083071.1	13	10	split_2	111618	76951	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP074183.1	13	13	contiguous	23293	5335	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MZ152087.1	13	10	split_3	144061	101079	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP064657.1	13	10	split_3	192058	148013	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP129349.1	13	13	split_2	128435	105807	TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU
NZ_CP157097.1	13	13	contiguous	21684	4232	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP056885.1	13	13	contiguous	19611	4507	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP047406.1	5	5	contiguous	2716	1685	TraE TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind
NZ_LR890183.1	13	13	split_2	72526	47672	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP084988.1	13	13	contiguous	23617	5657	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP022825.1	13	13	contiguous	23146	4589	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP137411.1	13	10	split_2	110416	75736	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP025144.1	13	13	split_2	113330	82983	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_KX709966.1	13	13	split_2	90836	66012	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
CP039577.1	13	13	contiguous	22663	3906	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP102116.1	13	13	contiguous	24282	4515	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP010138.1	13	13	contiguous	20945	4351	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
OW849297.1	13	13	contiguous	24058	5438	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP091572.1	8	7	split_2	167452	138604	TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
CP154637.1	13	10	split_2	157884	123284	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP051369.1	13	13	contiguous	18708	4530	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP009879.1	13	13	contiguous	29648	5411	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP060746.1	13	13	contiguous	21236	4329	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP063835.1	12	12	contiguous	17594	3636	TraE TrbI TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP033962.1	8	8	contiguous	14335	5822	TraE TrbI TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind TraU TrbC_Ftype
CP064821.1	7	6	split_3	197045	102686	TrbC_Ftype F_T4SS_TraN TrbI TraV TraC_F_IV TraU
