min_seq_id	family	members	n_poly	cond_mi	rank	global_pct	matched_pct	perm_p	n_matched	trag_purity_pct	n_trag_alleles	passes
0.5	NZ_CP022137.1#36	2061	1145	0.049491	19	99.82	98.09	0.001	157	55.4	33	1
0.5	NZ_CP118040.1#71	402	179	0.059786	6	99.94	100.0	0.001	402	97.2	5	1
0.5	NZ_CP043343.1#139	4	2	0.0	8567	18.21	22.81	1.0	2402	50.0	2	0
0.5	NZ_CP035838.1#86	4	4	0.003333	1205	88.5	94.73	0.001	721	50.0	3	0
0.5	CP054329.1#2	3	2	0.000253	5522	47.28	63.2	1.0	2402	50.0	2	0
0.5	NZ_CP073622.1#5	3	3	0.000999	3781	63.9	71.29	0.21179	1174	66.7	2	0
0.5	NZ_CP029594.1#109	2	2	1.4e-05	7812	25.42	39.84	1.0	2402	100.0	1	0
0.5	NC_021501.1#76	2	2	3.4e-05	6897	34.15	52.08	1.0	2402	100.0	1	0
0.5	NZ_LT985277.1#56	2	5	0.001035	3727	64.42	68.89	0.19181	1572	60.0	3	0
0.5	NZ_CP073590.1#86	1	3	0.001327	3171	69.73	76.15	0.04595	1174	33.3	3	0
0.5	CP017618.1#108	1	3	0.00134	3133	70.09	76.75	0.05694	1174	33.3	3	0
0.7	CP113093.1#105	1751	936	0.046724	22	99.81	96.56	0.001	262	67.7	28	1
0.7	NZ_CP118040.1#71	402	179	0.059786	5	99.96	100.0	0.001	445	97.2	5	1
0.7	NZ_CP149205.1#66	174	160	0.0011	3743	67.59	42.53	0.03397	475	98.1	3	0
0.7	NZ_CP065352.1#79	117	51	0.001138	3625	68.61	76.54	0.06094	439	94.1	3	0
0.7	NZ_KT225520.1#144	4	2	0.0	9224	20.13	25.37	1.0	2672	50.0	2	0
0.7	NZ_CP035838.1#86	4	3	0.001964	2252	80.5	87.23	0.00899	1300	33.3	3	0
0.7	NZ_KU043115.1#3	3	2	0.000253	5907	48.85	64.45	1.0	2672	50.0	2	0
0.7	NZ_CP073622.1#5	2	2	0.000971	4079	64.68	77.73	0.13786	2672	50.0	2	0
0.7	NZ_CP029594.1#109	2	2	1.4e-05	8427	27.03	42.03	1.0	2672	100.0	1	0
0.7	NC_021501.1#76	2	2	3.4e-05	7411	35.83	54.04	1.0	2672	100.0	1	0
0.7	NZ_LT985277.1#56	1	4	0.000826	4371	62.15	69.29	0.19381	775	75.0	2	0
0.7	CP017618.1#108	1	2	0.001332	3287	71.54	84.51	0.02198	2672	50.0	2	0
0.9	NZ_CP128917.1#52	727	487	0.01784	178	98.59	88.78	0.001	303	95.3	13	0
0.9	NZ_LT985219.1#68	636	351	0.012546	271	97.86	86.1	0.001	223	48.1	13	0
0.9	NZ_CP118040.1#71	402	179	0.059786	5	99.96	100.0	0.001	461	97.2	5	1
0.9	NZ_CP141902.1#99	370	99	0.02403	97	99.23	99.18	0.001	367	89.9	10	1
0.9	NZ_CP149389.1#30	173	159	0.001034	3986	68.49	42.05	0.00699	528	98.1	3	0
0.9	NZ_CP065352.1#79	117	51	0.001138	3635	71.26	76.06	0.08492	497	94.1	3	0
0.9	NZ_KT225520.1#144	4	2	0.0	9726	23.11	27.69	1.0	2889	50.0	2	0
0.9	NZ_KU043115.1#3	3	2	0.000253	6130	51.54	66.25	1.0	2889	50.0	2	0
0.9	NZ_CP035838.1#86	2	2	0.001954	2220	82.45	94.12	0.003	2889	50.0	2	0
0.9	NZ_CP029594.1#109	2	2	1.4e-05	8867	29.91	44.55	1.0	2889	100.0	1	0
0.9	NC_021501.1#76	2	2	3.4e-05	7787	38.44	56.59	1.0	2889	100.0	1	0
0.9	CP017618.1#108	1	2	0.001332	3263	74.21	85.53	0.01798	2889	50.0	2	0
