element_id	role	tier	verdict	refseq_accession	genbank_accession	note
F	positive	B	RESOLVED_PAIR	NZ_CP128219.1	CP128219.1	232324bp; 5 other length group(s) rejected: 231547,242042,60270
R100	positive	A	RESOLVED_PAIR	NC_002134.1	AP000342.1	94281bp
R1	positive	B	SINGLE_ACCESSION	NZ_CP150842.1		177364bp; 50 other length group(s) rejected: 124450,127578,129891; MULTIPLE RefSeq at this length: NZ_CP150842.1,NZ_CP038989.1,NZ_CP038985.1,NZ_CP038977.1,NZ_CP038993.1
R6-5	positive	B	FRAGMENTS_ONLY			largest hit 2381bp < 30000bp minimum; assemble from parts
ColB2	positive	B	FRAGMENTS_ONLY			largest hit 3645bp < 30000bp minimum; assemble from parts
pED208	positive	B	RESOLVED_PAIR	NZ_AF411480.1	AF411480.1	32647bp; 1 other length group(s) rejected: 92869
R64	positive	A	RESOLVED_PAIR	NC_005014.1	AP005147.1	120826bp
R144	positive	B	SINGLE_ACCESSION		FO080694.2	38688bp
R621a	positive	A	RESOLVED_PAIR	NC_015965.1	AP011954.1	93185bp
pKM101	positive	C	FRAGMENTS_ONLY			largest hit 13833bp < 30000bp minimum; assemble from parts
RP4	positive	B	RESOLVED_PAIR	NZ_PP591959.1	CP152305.1	60095bp
R388	positive	A	SINGLE_ACCESSION	NC_028464.1		33913bp
R27	positive	A	RESOLVED_PAIR	NC_002305.1	AF250878.1	180461bp; 1 other length group(s) rejected: 38245
pVCR94	positive	B	RESOLVED_PAIR	NZ_CP033514.1	CP033514.1	171829bp
R16a	positive	A	RESOLVED_PAIR	NZ_KX156773.1	KX156773.1	173094bp
ColE1	positive	A	RESOLVED_PAIR	NC_001371.1	J01566.1	6646bp
pKPC_UVA01	positive	A	RESOLVED_PAIR	NZ_CP009465.1	CP017937.1	43621bp; MULTIPLE RefSeq at this length: NZ_CP009465.1,NZ_CP017937.1
SXT	positive	C	SINGLE_ACCESSION		KJ817376.1	104025bp
R391	positive	C	SINGLE_ACCESSION		AY090559.1	88532bp
ICEBs1	positive	C	NO_CANDIDATE			no hit survives organism filter
pLS20	positive	B	RESOLVED_PAIR	NC_015148.1	AB615352.1	65774bp
pCF10	positive	B	RESOLVED_PAIR	NC_006827.2	AY855841.2	67673bp
pAD1	positive	B	RESOLVED_PAIR	NZ_CP046109.1	CP046109.1	74657bp
pAM373	negative	A	RESOLVED_PAIR	NC_002630.1	AE002565.1	36804bp
RSF1010	negative	A	RESOLVED_PAIR	NC_001740.1	M28829.1	8684bp
Ti	candidate	B	SINGLE_ACCESSION	NZ_CP048596.1		177577bp; 54 other length group(s) rejected: 139561,157890,159663; MULTIPLE RefSeq at this length: NZ_CP048596.1,NZ_CP048531.1,NZ_CP048480.1,NZ_CP048476.1,NZ_CP048542.1,NZ_CP042277.1
