seed	expected_class	generic	MPF_T	MPF_F	MPF_I	MPF_FA	MPF_FATA	MPF_G	MPF_B	MPF_C	own_profiles
ICEHin1056	G	3	0	1	0	0	0	16	0	0	T4SS_G_tfc10;T4SS_G_tfc11;T4SS_G_tfc12;T4SS_G_tfc13;T4SS_G_tfc14;T4SS_G_tfc15;T4SS_G_tfc18;T4SS_G_tfc19;T4SS_G_tfc2;T4SS_G_tfc22;T4SS_G_tfc23;T4SS_G_tfc24;T4SS_G_tfc3;T4SS_G_tfc5;T4SS_G_tfc7;T4SS_G_tfc8
CTnDOT	B	1	0	0	0	0	0	0	12	0	T4SS_B_traE;T4SS_B_traF;T4SS_B_traH;T4SS_B_traI;T4SS_B_traJ;T4SS_B_traK;T4SS_B_traL;T4SS_B_traM;T4SS_B_traN;T4SS_B_traO;T4SS_B_traP;T4SS_B_traQ
pCC7120a	C	3	0	0	0	0	0	0	0	8	T4SS_C_alr7204;T4SS_C_alr7205;T4SS_C_alr7207;T4SS_C_alr7208;T4SS_C_alr7209;T4SS_C_alr7210;T4SS_C_alr7211;T4SS_C_alr7212
pCF10	FATA	3	1	0	0	0	8	0	0	0	FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL
