dataset	mpf_class	min_seq_id	rep	n_elem	prevalence_pct	aa	known	lipobox_strict	lipobox_relaxed	tm_count	anchor_mode	passes
ice	MPF_B	0.5	363074	136	47.72	145		0	0	0	none	0
ice	MPF_B	0.5	246988	63	22.11	141		0	0	0	none	0
ice	MPF_B	0.5	17921	52	18.25	102		0	0	0	none	0
ice	MPF_B	0.5	365100	51	17.89	136		0	0	0	none	0
ice	MPF_B	0.5	195587	49	17.19	72		0	0	0	none	0
ice	MPF_B	0.5	1235	47	16.49	199		0	0	0	none	0
ice	MPF_B	0.5	338945	43	15.09	240		0	0	0	none	0
ice	MPF_B	0.5	215330	41	14.39	69		0	0	0	none	0
ice	MPF_B	0.5	144536	40	14.04	185		0	0	0	none	0
ice	MPF_B	0.5	172103	38	13.33	203		0	0	0	none	0
ice	MPF_B	0.5	44881	33	11.58	73		0	0	0	none	0
ice	MPF_B	0.5	306014	32	11.23	236		0	0	0	none	0
ice	MPF_B	0.5	59095	32	11.23	93		0	0	0	none	0
ice	MPF_B	0.5	365330	32	11.23	253		0	0	0	none	0
ice	MPF_B	0.5	306013	31	10.88	221		0	0	0	none	0
ice	MPF_B	0.5	96646	31	10.88	237		0	0	0	none	0
ice	MPF_B	0.5	218102	31	10.88	219		0	0	0	none	0
ice	MPF_B	0.5	96753	30	10.53	83		0	0	0	none	0
ice	MPF_B	0.5	345676	30	10.53	84		0	0	0	none	0
ice	MPF_B	0.5	206978	30	10.53	220		0	1	0	none	0
ice	MPF_B	0.5	204634	30	10.53	75		0	0	2	multi_pass	1
ice	MPF_B	0.5	17908	29	10.18	145		0	0	0	none	0
ice	MPF_B	0.5	39119	29	10.18	108		0	0	0	none	0
ice	MPF_B	0.5	195591	29	10.18	93		0	0	0	none	0
ice	MPF_B	0.5	5751	29	10.18	159		0	0	0	none	0
ice	MPF_B	0.5	268414	29	10.18	208		0	0	1	single_pass	1
ice	MPF_B	0.5	306021	28	9.82	124		0	0	0	none	0
ice	MPF_B	0.5	18484	26	9.12	142		0	0	0	none	0
ice	MPF_B	0.5	39	26	9.12	120		0	1	0	none	0
ice	MPF_B	0.5	314336	25	8.77	112		0	0	1	single_pass	1
ice	MPF_B	0.5	44876	25	8.77	81		0	0	0	none	0
ice	MPF_B	0.5	51209	25	8.77	108		0	0	0	none	0
ice	MPF_B	0.5	58679	25	8.77	142		0	0	0	none	0
ice	MPF_B	0.5	204239	23	8.07	64		0	0	0	none	0
ice	MPF_B	0.5	196027	23	8.07	148		0	0	0	none	0
ice	MPF_B	0.5	1006	23	8.07	142		0	0	0	none	0
ice	MPF_B	0.5	17922	22	7.72	117		0	0	0	none	0
ice	MPF_B	0.5	22667	22	7.72	142		0	0	0	none	0
ice	MPF_B	0.5	10145	22	7.72	143		0	0	0	none	0
ice	MPF_B	0.5	256227	22	7.72	98		0	0	0	none	0
ice	MPF_B	0.5	145607	22	7.72	141		0	0	0	none	0
ice	MPF_B	0.5	160726	22	7.72	155		0	0	0	none	0
ice	MPF_B	0.5	344899	22	7.72	197		0	0	1	single_pass	1
ice	MPF_B	0.5	38704	22	7.72	86		0	0	0	none	0
ice	MPF_B	0.5	215386	22	7.72	173		0	0	0	none	0
ice	MPF_B	0.5	38470	21	7.37	176		0	0	0	none	0
