element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C
AB011549.2	1	0	0	0	0	0	0	0
AB244976.1	8	0	0	0	1	0	0	0
AB576781.2	0	12	0	0	0	0	0	0
AB605179.1	0	12	0	0	0	0	0	0
ADWM02000138.1	1	0	0	0	0	0	0	0
ADWN02000004.1	1	0	0	0	0	0	0	0
AE006471.2	0	12	0	0	1	0	0	0
AE017195.1	1	0	0	1	1	0	0	1
AFSD01000008.1	8	0	0	0	0	0	0	0
AJ297913.2	8	0	0	0	0	0	0	0
AJ304453.1	8	0	0	0	0	1	0	0
AJ639924.1	8	0	0	0	0	0	1	0
AJ863570.1	8	0	0	0	0	0	1	0
AM157767.1	8	0	0	0	0	0	0	0
AM261282.1	8	0	0	0	0	0	1	0
AP007210.1	1	0	0	1	1	0	0	0
AP011958.1	0	12	0	0	1	0	0	0
AP012045.1	0	0	0	0	7	0	1	0
AP012283.1	0	0	0	0	1	0	0	0
AP012552.1	5	0	0	0	0	0	0	0
AP012553.1	0	0	2	0	0	0	0	0
AP014566.1	0	12	0	0	0	0	0	0
AP014579.1	1	0	0	0	1	0	0	0
AP014580.1	3	0	0	0	0	0	0	0
AP014581.1	7	0	0	0	0	0	0	0
AP014659.1	8	0	0	0	0	0	0	0
AP014686.1	7	0	0	0	0	0	0	0
AP014687.1	1	0	0	0	0	0	0	0
AP014688.1	6	0	0	0	0	0	0	0
AP014952.1	0	12	0	0	1	0	0	0
AP014954.1	0	12	0	0	0	0	0	0
AP017309.1	0	0	0	0	1	0	0	7
AP017376.1	0	0	0	0	0	0	0	1
AP017383.1	0	0	0	1	1	0	0	0
AP017962.1	0	0	0	0	0	0	0	2
AP017965.1	0	8	0	0	0	0	1	0
AP017966.1	0	10	0	0	0	0	1	0
AP017967.1	0	0	0	0	2	0	0	0
AP017969.1	8	0	0	0	0	0	1	0
AP017970.1	8	0	0	0	0	0	1	0
AP017974.1	0	0	0	0	0	1	0	0
AP018182.1	0	0	0	0	1	0	0	8
AP018183.1	0	0	0	0	0	0	0	1
AP018204.1	0	0	0	0	1	1	0	5
AP018205.1	0	0	0	0	1	0	0	6
AP018209.1	0	0	0	0	0	0	0	6
AP018211.1	0	0	0	0	0	0	0	8
AP018224.1	0	0	0	0	1	0	0	8
AP018225.1	0	0	0	0	0	0	0	6
AP018234.1	0	0	0	0	1	0	0	8
AP018235.1	0	0	0	0	0	0	0	8
AP018239.1	0	0	0	0	0	0	0	6
AP018264.1	0	0	0	0	1	0	0	8
AP018276.1	0	0	0	0	0	0	1	0
AP018282.1	0	0	0	0	0	0	0	6
AP018283.1	1	0	0	0	0	0	0	5
AP018287.1	0	0	0	0	0	0	1	0
AP018291.1	0	1	0	0	1	0	1	8
AP018292.1	0	0	0	0	0	0	1	0
AP018300.1	0	0	0	0	0	0	0	7
AP018308.1	0	0	0	0	0	0	0	7
AP018309.1	1	0	0	0	0	0	0	6
AP018310.1	0	0	0	0	1	0	0	8
AP018313.1	0	0	0	0	0	0	1	0
AP018315.1	0	0	0	0	0	0	0	8
AP018319.1	0	0	0	0	0	0	0	8
AP018320.1	0	0	0	0	0	0	0	7
AP018497.1	0	0	0	0	1	0	0	0
AP018516.1	1	0	7	0	0	0	0	0
AP018566.2	8	0	0	0	0	0	0	0
AP018568.2	0	12	0	0	1	0	0	0
AP018570.2	0	11	0	0	0	0	0	0
AP018571.2	7	0	0	0	0	0	0	0
AP018579.2	2	7	0	0	0	0	0	0
AP018581.2	0	9	0	0	0	0	0	0
AP018698.1	1	0	0	0	1	0	0	0
AP018705.1	8	0	0	0	0	0	1	0
AP018706.1	8	0	0	0	0	0	1	0
AP018707.1	8	0	0	0	0	0	1	0
AP018708.1	8	0	0	0	0	0	1	0
AP018709.1	8	0	0	0	0	0	1	0
AP018710.1	8	0	0	0	0	0	0	0
AP019385.1	0	11	0	0	0	0	0	0
AP019386.1	0	11	0	0	0	0	0	0
AP019515.1	1	5	0	0	1	0	0	0
AP019683.1	8	0	0	0	0	0	0	0
AP019705.1	0	12	0	0	1	0	0	0
AP019756.1	7	0	0	0	0	0	0	0
AP019809.1	4	0	0	0	0	0	0	0
AP019816.1	0	0	0	0	1	0	0	0
AP020333.1	0	11	0	0	1	0	0	0
AP021851.1	1	0	0	0	1	0	0	0
AP021941.1	0	0	0	0	1	0	0	0
AP021970.1	0	12	0	0	1	0	0	0
AP022086.1	0	10	0	0	0	0	0	0
AP022134.1	0	11	0	0	0	0	0	0
AP022158.1	0	12	0	0	1	0	0	0
AP022230.1	0	0	1	0	0	0	0	0
AP022275.1	6	0	0	0	0	0	0	0
AP022276.1	1	12	0	0	1	0	0	0
AP022308.1	0	0	0	0	1	0	0	0
AP022309.1	7	0	0	0	0	0	0	0
AP022310.1	1	11	0	0	0	0	1	0
AP022312.1	7	0	0	0	0	0	0	0
AP022381.1	2	11	0	0	0	0	0	0
AP022382.1	0	11	0	0	0	0	0	0
AP022385.1	2	11	0	0	0	0	0	0
AP022386.1	0	11	0	0	0	0	0	0
AP022420.1	3	6	0	0	0	0	0	0
AP022422.1	8	0	0	0	0	0	0	0
AP022439.1	1	12	0	0	0	0	0	0
AP022520.1	0	11	0	0	0	0	0	0
AP022521.1	0	2	0	0	1	0	0	0
AP022554.1	0	0	0	0	1	0	0	0
AP022555.1	0	12	0	0	0	1	0	0
AP022556.1	6	0	0	0	0	0	0	0
AP022644.1	0	0	0	1	2	0	0	0
AP022645.1	0	0	0	0	1	0	0	0
AP022646.1	0	0	0	0	0	0	1	0
AP022895.1	1	0	0	1	1	0	0	0
AP022896.1	1	0	0	0	2	0	0	0
AP023006.1	1	0	0	1	1	0	0	0
