element_id	role	tier	expected_organism	source	accver	length	organism	organism_ok	is_derivative	title
F	positive	B	Escherichia coli	plsdb	NZ_CP128219.1	232324		YES		Escherichia coli strain TG1 plasmid F, complete sequence
F	positive	B	Escherichia coli	plsdb	NZ_OQ683454.1	60270		YES		Escherichia coli str. K-12 substr. MG1655 strain K-12 plasmid pox38, complete sequence
F	positive	B	Escherichia coli	plsdb	NZ_CP053608.1	242042		YES		Escherichia coli strain NEB5-alpha_F'Iq plasmid F'Iq, complete sequence
F	positive	B	Escherichia coli	plsdb	NZ_CP053606.1	231547		YES		Escherichia coli strain NEB_Turbo plasmid F', complete sequence
F	positive	B	Escherichia coli	plsdb	NZ_CP010212.1	5282		YES		Escherichia coli strain M11 plasmid F, complete sequence
F	positive	B	Escherichia coli	plsdb	NZ_CP011496.1	67545		YES		Escherichia coli strain NCM3722 isolate K-12 plasmid F, complete sequence
F	positive	B	Escherichia coli	plsdb	NC_025014.1	2154		YES		Escherichia coli plasmid F, complete sequence
F	positive	B	Escherichia coli	plsdb	NC_002483.1	99159		YES		Escherichia coli K-12 plasmid F, complete sequence
F	positive	B	Escherichia coli	ncbi	CP128219.1	232324	Escherichia coli	YES		Escherichia coli strain TG1 plasmid F, complete sequence
F	positive	B	Escherichia coli	ncbi	AP001918.1	99159	Escherichia coli K-12	YES		Escherichia coli K-12 plasmid F DNA, complete sequence
F	positive	B	Escherichia coli	ncbi	CP053606.1	231547	Escherichia coli	YES		Escherichia coli strain NEB_Turbo plasmid F', complete sequence
F	positive	B	Escherichia coli	ncbi	CP010212.1	5282	Escherichia coli	YES		Escherichia coli strain M11 plasmid F, complete sequence
F	positive	B	Escherichia coli	ncbi	AF106329.1	13310	Escherichia coli	YES		Escherichia coli plasmid F putative methyltransferase, putative antirestriction protein, single stranded DNA b
F	positive	B	Escherichia coli	ncbi	AH003523.2	2490	Escherichia coli	YES	YES	Escherichia coli plasmid F snrB (snrB) and repA2 (repA2) genes, complete cds; replication protein (repA1) gene
F	positive	B	Escherichia coli	ncbi	OQ683454.1	60270	Escherichia coli str. K-12 substr. MG1655	YES		Escherichia coli str. K-12 substr. MG1655 plasmid pox38, complete sequence
R100	positive	A	Shigella flexneri	plsdb	NZ_OQ683449.1	94282		NO		Escherichia coli str. K-12 substr. MG1655 strain K-12 plasmid R100_1, complete sequence
R100	positive	A	Shigella flexneri	plsdb	NZ_CP014208.1	331058		NO		Pantoea ananatis strain R100 plasmid unnamed, complete sequence
R100	positive	A	Shigella flexneri	plsdb	NC_002134.1	94281		YES		Shigella flexneri 2b plasmid R100, complete sequence
R100	positive	A	Shigella flexneri	ncbi	NG_048161.1	1406	Shigella flexneri 2b	YES		Shigella flexneri 2b 222 plasmid R100 tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
R100	positive	A	Shigella flexneri	ncbi	AP000342.1	94281	Shigella flexneri 2b	YES		Shigella flexneri 2b plasmid R100 DNA, complete sequence
R1	positive	B	NA	plsdb	NZ_CP150842.1	177364		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 plasmid pMP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP150843.1	45503		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 plasmid pCP1, complete sequence
R1	positive	B	NA	plsdb	NZ_ON887286.1	17446		unasserted		Enterococcus hirae strain R1 plasmid pEh-R1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP127118.1	42658		unasserted		Paenarthrobacter sp. R1 plasmid unnamed3, complete sequence
R1	positive	B	NA	plsdb	NZ_CP127117.1	68437		unasserted		Paenarthrobacter sp. R1 plasmid unnamed2, complete sequence
R1	positive	B	NA	plsdb	NZ_CP127116.1	139717		unasserted		Paenarthrobacter sp. R1 plasmid unnamed1, complete sequence
R1	positive	B	NA	plsdb	NZ_OX460337.1	1787		unasserted		Escherichia coli strain EC0026B isolate EC0026B_R1 plasmid 4, complete sequence
R1	positive	B	NA	plsdb	NZ_OX460338.1	88654		unasserted		Escherichia coli strain EC0026B isolate EC0026B_R1 plasmid 2, complete sequence
R1	positive	B	NA	plsdb	NZ_OX460339.1	73432		unasserted		Escherichia coli strain EC0026B isolate EC0026B_R1 plasmid 3, complete sequence
R1	positive	B	NA	plsdb	NZ_CP110113.1	146004		unasserted		Sphingomonas sp. R1 plasmid pR1b, complete sequence
R1	positive	B	NA	plsdb	NZ_CP110112.1	257344		unasserted		Sphingomonas sp. R1 plasmid pR1a, complete sequence
R1	positive	B	NA	plsdb	NZ_CP091526.1	36202		unasserted		Staphylococcus aureus strain N09CSA16 plasmid pFOS-R1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP046520.1	3200		unasserted		Clostridium sp. 16K-1-R1 plasmid unnamed5, complete sequence
R1	positive	B	NA	plsdb	NZ_CP046519.1	3842		unasserted		Clostridium sp. 16K-1-R1 plasmid unnamed4, complete sequence
R1	positive	B	NA	plsdb	NZ_CP046518.1	12363		unasserted		Clostridium sp. 16K-1-R1 plasmid unnamed3, complete sequence
R1	positive	B	NA	plsdb	NZ_CP046517.1	69833		unasserted		Clostridium sp. 16K-1-R1 plasmid unnamed2, complete sequence
R1	positive	B	NA	plsdb	NZ_CP046516.1	82399		unasserted		Clostridium sp. 16K-1-R1 plasmid unnamed1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP098756.1	9489		unasserted		Brevibacillus ruminantium strain BB3-R1 plasmid unnamed, complete sequence
R1	positive	B	NA	plsdb	NZ_CP084206.1	138128		unasserted		Escherichia coli strain EC2648-R1 plasmid pKPC-fusion, complete sequence
R1	positive	B	NA	plsdb	NZ_CP091080.1	20174		unasserted		Xanthomonas arboricola pv. pruni strain R1 plasmid pR1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP091079.1	41093		unasserted		Xanthomonas arboricola pv. pruni strain R1 plasmid pXap41, complete sequence
R1	positive	B	NA	plsdb	NZ_CP068794.1	45508		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain R1 plasmid pCP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP068793.1	177322		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain R1 plasmid pMP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP038666.1	45503		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 plasmid pCP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP038665.1	177363		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 plasmid pMP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP038990.1	45503		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R2 plasmid pCP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038989.1	177364		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R2 plasmid pMP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038986.1	43155		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R1 plasmid pCP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038985.1	177364		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R1 plasmid pMP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038982.1	46549		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. S2 plasmid pCP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038981.1	177363		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. S2 plasmid pMP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038978.1	45503		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. S1 plasmid pCP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038977.1	177364		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. S1 plasmid pMPI, complete sequen
R1	positive	B	NA	plsdb	NZ_CP038994.1	51683		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R6 plasmid pCP1
R1	positive	B	NA	plsdb	NZ_CP038993.1	177364		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain ATCC 13939 substr. R6 plasmid pMP1, complete sequen
R1	positive	B	NA	plsdb	NZ_CP075940.1	8175		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_6
R1	positive	B	NA	plsdb	NZ_CP075939.1	10357		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_5
R1	positive	B	NA	plsdb	NZ_CP075938.1	63715		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_4
R1	positive	B	NA	plsdb	NZ_CP075937.1	48590		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_3
R1	positive	B	NA	plsdb	NZ_CP075936.1	70011		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_2
R1	positive	B	NA	plsdb	NZ_CP075935.1	129891		unasserted		Clostridium perfringens strain CPI 53k-r1 plasmid pCPCPI53k-r1_1
R1	positive	B	NA	plsdb	NZ_CP031707.1	127578		unasserted		Escherichia coli strain R1 plasmid pVirR1, complete sequence
R1	positive	B	NA	plsdb	NZ_KY749247.1	97566		unasserted		Salmonella enterica subsp. enterica serovar Paratyphi B plasmid R1, complete sequence
R1	positive	B	NA	plsdb	NZ_LT221037.1	60299		unasserted		Yersinia pseudotuberculosis strain Yps.R1 plasmid pYps.R1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP041262.2	195404		unasserted		Enterococcus faecium strain VVEswe-R plasmid pVVEswe-R1, complete sequence
R1	positive	B	NA	plsdb	NZ_MH287044.1	98766		unasserted		Escherichia coli strain 5.1-R1 plasmid pCERC6, complete sequence
R1	positive	B	NA	plsdb	NZ_KX356458.1	9712		unasserted		Escherichia coli strain 11.1-R1 plasmid pCERC7, complete sequence
R1	positive	B	NA	plsdb	NZ_KX291024.1	6200		unasserted		Escherichia coli strain 10.1-R1 plasmid pCERC2, complete sequence
R1	positive	B	NA	plsdb	NZ_CP053347.1	22113		unasserted		Sphingomonas sp. AP4-R1 plasmid unnamed1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP053345.1	124450		unasserted		Herbiconiux sp. SALV-R1 plasmid unnamed1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP038032.2	33016		unasserted		Rhodococcus ruber strain R1 plasmid unnamed2, complete sequence
R1	positive	B	NA	plsdb	NZ_CP038031.2	179109		unasserted		Rhodococcus ruber strain R1 plasmid unnamed1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP031503.1	46159		unasserted		Deinococcus radiodurans strain R1 dM1 plasmid pSP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP031502.1	177339		unasserted		Deinococcus radiodurans strain R1 dM1 plasmid pMP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP033574.1	167144		unasserted		Shewanella algae strain KC-Na-R1 plasmid pKC-Na-R1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP018844.1	9323		unasserted		Staphylococcus epidermidis strain 14.1.R1 plasmid pHOB2, complete sequence
R1	positive	B	NA	plsdb	NZ_CP018843.1	24769		unasserted		Staphylococcus epidermidis strain 14.1.R1 plasmid pHOB1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP015084.1	61707		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain R1 plasmid CP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP015083.1	203183		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 strain R1 plasmid MP1, complete sequence
R1	positive	B	NA	plsdb	NZ_CP012356.1	53985		unasserted		Cutibacterium acnes strain PA_15_1_R1 plasmid unnamed, complete sequence
R1	positive	B	NA	plsdb	NZ_CP010410.1	508653		unasserted		Xanthomonas sacchari strain R1 plasmid unnamed, complete sequence
R1	positive	B	NA	plsdb	NC_019062.1	30016		unasserted		Escherichia coli plasmid p838C-R1, complete sequence
R1	positive	B	NA	plsdb	NC_018107.1	353865		unasserted		Klebsiella michiganensis E718 plasmid pKOX_R1, complete sequence
R1	positive	B	NA	plsdb	NC_010369.1	194963		unasserted		Halobacterium salinarum R1 plasmid PHS2, complete sequence
R1	positive	B	NA	plsdb	NC_010368.1	284332		unasserted		Halobacterium salinarum R1 plasmid PHS3, complete sequence
R1	positive	B	NA	plsdb	NC_010367.1	40894		unasserted		Halobacterium salinarum R1 plasmid PHS4, complete sequence
R1	positive	B	NA	plsdb	NC_010366.1	147625		unasserted		Halobacterium salinarum R1 plasmid PHS1, complete sequence
R1	positive	B	NA	plsdb	NC_000959.1	45704		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 plasmid CP1, complete sequence
R1	positive	B	NA	plsdb	NC_000958.1	177466		unasserted		Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 plasmid MP1, complete sequence
R1	positive	B	NA	ncbi	NZ_CP127115.1	4785499	Paenarthrobacter sp. R1	unasserted		Paenarthrobacter sp. R1 chromosome, complete genome
R1	positive	B	NA	ncbi	PZ779507.1	896	Radopholus similis	unasserted		Radopholus similis isolate r1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 
R1	positive	B	NA	ncbi	PZ713573.1	479	Nigrospora sp.	unasserted		Nigrospora sp. isolate R1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 an
R1	positive	B	NA	ncbi	PZ683564.1	441	Penicillium rubens	unasserted		Penicillium rubens isolate R1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, comple
R1	positive	B	NA	ncbi	PX710014.1	472	Paeonia lactiflora	unasserted		Paeonia lactiflora voucher R1 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, comple
R1	positive	B	NA	ncbi	PZ574758.1	640	Rhizoctonia solani	unasserted		Rhizoctonia solani isolate R1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and int
R1	positive	B	NA	ncbi	CM176872.1	2631827	Enterococcus sp. R1	unasserted		Enterococcus sp. R1 chromosome, complete sequence, whole genome shotgun sequence
R1	positive	B	NA	ncbi	CM176613.1	6293424	Rhodococcus erythropolis	unasserted		Rhodococcus erythropolis strain RQ07 R1 Wt chromosome, complete sequence, whole genome shotgun sequence
R1	positive	B	NA	ncbi	NZ_CP065486.1	1859381	Streptococcus thermophilus	unasserted		Streptococcus thermophilus strain R1 chromosome, complete genome
R6-5	positive	B	NA	ncbi	NG_047324.1	992	Escherichia coli	unasserted		Escherichia coli plasmid R6-5 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, c
R6-5	positive	B	NA	ncbi	ON411488.1	1005	Fusarium proliferatum	unasserted		Fusarium proliferatum isolate R6.5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene an
R6-5	positive	B	NA	ncbi	MH709295.1	429	Synechococcus sp. R6-5	unasserted		Synechococcus sp. R6-5 ferredoxin:protochlorophyllide reductase ATP-dependent subunit N gene, partial cds; and
R6-5	positive	B	NA	ncbi	MH704048.1	514	Synechococcus sp. R6-5	unasserted		Synechococcus sp. R6-5 photosystem I reaction center subunit VIII (psaI) gene, complete cds
R6-5	positive	B	NA	ncbi	M38048.1	2381	Plasmid R65	unasserted		Plasmid R6-5 (from E.coli) traX, conjugative transfer co-repressor (finO) and ORF286 genes, complete cds
ColB2	positive	B	NA	ncbi	PX247854.1	574	Colletotrichum kahawae	unasserted		Colletotrichum kahawae isolate ColB2 small subunit ribosomal RNA gene, partial sequence; internal transcribed 
ColB2	positive	B	NA	ncbi	K02667.1	360	Plasmid ColB2	unasserted		ColB2 plasmid transfer (tra) operon, traA (pilin) gene, complete cds
ColB2	positive	B	NA	ncbi	U51860.1	3645	Escherichia coli	unasserted		Escherichia coli plasmid ColB2 transfer proteins TraL, TraE, TraK, TraB, and TraP genes, complete cds
pED208	positive	B	Salmonella enterica	plsdb	CP146035.1	92869		YES		Salmonella enterica subsp. enterica serovar Typhi strain ST-2 plasmid pED208, complete sequence
