ref_id,element_id,exclusion_gene,ref_role,authors,year,journal,volume,pages_or_article,title,doi,doi_status,pmid,pmcid,notes
audette2007,F,traS,defining_sequence,Audette GF; Manchak J; Beatty P; Klimke WA; Frost LS,2007,Microbiology,153,442-451,Entry exclusion in F-like plasmids requires intact TraG in the donor that recognizes its cognate TraS in the recipient,10.1099/mic.0.2006/001917-0,verified,17259615,,Supersedes the erroneous citation 'Audette 2006 Microbiology 152:2949'. Abstract does NOT report a TraS aa length; the 173 aa in the target table has no independent literature support yet.
furuya1994,R64,excA;excB,defining_sequence,Furuya N; Komano T,1994,Plasmid,32,80-84,Surface exclusion gene of IncI1 plasmid R64: nucleotide sequence and analysis of deletion mutants,10.1006/plas.1994.1047,verified,7991676,,"Title says 'surface exclusion' but the gene is excAB, now classified as entry exclusion. Do not use title keywords for mechanism classification. ExcA ~26 kDa, ExcB ~17 kDa via translational reinitiation."
sakuma2013,R64;R621a,excA,target_validation,Sakuma T; Tazumi S; Furuya N; Komano T,2013,Plasmid,69(2),138-145,ExcA proteins of IncI1 plasmid R64 and IncIgamma plasmid R621a recognize different segments of their cognate TraY proteins in entry exclusion,10.1016/j.plasmid.2012.11.004,verified,23201046,,"Reciprocal TraY swap. Specificity determinant is on the DONOR TraY, not on ExcA - check which side the partner_specificity_residues column refers to."
haase1996,RP4,trbK,defining_sequence,Haase J; Kalkum M; Lanka E,1996,J Bacteriol,178,6720-6729,"TrbK, a small cytoplasmic membrane lipoprotein, functions in entry exclusion of the IncP alpha plasmid RP4",10.1128/jb.178.23.6720-6729.1996,verified,8955288,PMC178567,Best-documented row. Precursor 69 aa (matches target table). Mature 47 aa. Lipid on N-terminal Cys. C-terminal 8-aa truncation abolishes activity; C23G unprocessed but retains reduced activity. Required in recipient only. Use as the dry-run element.
pohlman1994,pKM101,eex,defining_sequence,Pohlman RF; Genetti HD; Winans SC,1994,Plasmid,31,158-165,Entry exclusion of the IncN plasmid pKM101 is mediated by a single hydrophilic protein containing a lipid attachment motif,,unverified,8029323,,DOI not retrievable via search. Do NOT infer from the Academic Press 10.1006/plas.1994.#### pattern. Retrieve from PubMed or publisher page.
winans1985,pKM101,eex,foundational,Winans SC; Walker GC,1985,J Bacteriol,161,411-416,Entry exclusion determinant(s) of IncN plasmid pKM101,,unverified,,,First genetic localisation of the pKM101 eex determinant.
gunton2008,R27,eexA;eexB,defining_sequence,Gunton JE; Ussher JER; Rooker MM; Wetsch NM; Alonso G; Taylor DE,2008,Plasmid,59,86-101,Entry exclusion in the IncHI1 plasmid R27 is mediated by EexA and EexB,10.1016/j.plasmid.2007.11.004,verified,18192011,,"eexA = former trhZ; eexB = former orf016. Z operon = trhO(015), eexB, orf017, eexA. Z operon is transcribed OPPOSITE to the AC and AN operons."
humbert2019,IncC,eexC,defining_sequence,Humbert M; Huguet KT; Coulombe F; Burrus V,2019,J Bacteriol,201(10),e00731-18,"Entry exclusion of conjugative plasmids of the IncA, IncC, and related untyped incompatibility groups",10.1128/jb.00731-18,verified,30858294,PMC6482922,"CORRECTS the erroneous citation 'Durand, Bioteau, Burrus 2018 J Bacteriol 200:e00731-18'. Also the source of the 17% figure: that is TraS(F) vs TraS(R100) identity, NOT a TraG window - fix the F row of the target table. PMID 30858294 recovered by search (was blank). Full text NOT retrieved: PMC hits reCAPTCHA, journals.asm.org returns 403 - needs institutional access or manual download."
marrero2005,SXT,eex,defining_sequence,Marrero J; Waldor MK,2005,Dev Cell,8(6),963-970,Interactions between inner membrane proteins in donor and recipient cells limit conjugal DNA transfer,10.1016/j.devcel.2005.05.004,verified,15935784,,Original identification of Eex/TraG as the recipient/donor inner-membrane pair.
marrero2007a,SXT;R391,eex,residue_numbering,Marrero J; Waldor MK,2007,J Bacteriol,189(17),6469-6473,Determinants of entry exclusion within Eex and TraG are cytoplasmic,10.1128/JB.00522-07,verified,17573467,,Authority for TraG aa 606-608 and the Eex C-terminal segment. Both determinants cytoplasmic. Residue numbering must be reconciled against the TraG start codon in KJ817376.
marrero2007b,SXT;R391,eex,supporting,Marrero J; Waldor MK,2007,J Bacteriol,189,3302-3305,The SXT/R391 family of integrative conjugative elements is composed of two exclusion groups,,unverified,,,Short-form communication; DOI not retrievable via search.
avello2019,ICEBs1,yddJ,defining_sequence,Avello M; Davis KP; Grossman AD,2019,Mol Microbiol,112(4),1066-1082,"Identification, characterization and benefits of an exclusion system in an integrative and conjugative element of Bacillus subtilis",10.1111/mmi.14359,verified,31361051,,yddJ necessary and sufficient in the recipient; exclusion-resistant mutations map to conG; specificity determined by ConG and YddJ.
davis2021,ICEBs1,yddJ,residue_numbering,Davis KP; Grossman AD,2021,J Bacteriol,203(10),e00700-20,Specificity and selective advantage of an exclusion system in the integrative and conjugative element ICEBs1 of Bacillus subtilis,10.1128/JB.00700-20,verified,33649151,,Authority for ConG extracellular loop aa 276-295 and the E288K resistance mutation.
kamruzzaman2022,pKPC_UVA01,trbK-like,defining_sequence,Kamruzzaman M; Mathers AJ; Iredell JR,2022,Antimicrob Agents Chemother,66(3),e02322-21,"A novel plasmid entry exclusion system in pKPC_UVA01, a promiscuous conjugative plasmid carrying the blaKPC carbapenemase gene",10.1128/aac.02322-21,verified,35007138,PMC8923210,"Gene required in both donor and recipient. No aa length or coordinates reported in retrieved text - compute from accession. RETRIEVED 2026-09-01 via PMC8923210. States TrbK of pKPC_UVA01 is 151 aa ('twice' RP4's 69 aa); N-terminal lipoprotein signal; conserved Asp at +2 of the mature polypeptide; required in BOTH donor and recipient; EI >300, ~400, 200-400 fold, max >2800. No locus tag or coordinates given."
hartskeerl1984,R64;R144,excA,foundational,Hartskeerl RA; Hoekstra WP,1984,Antonie Van Leeuwenhoek,50,113-124,Exclusion in IncI-type Escherichia coli conjugations: the stage of conjugation at which exclusion operates,10.1007/BF00400171,verified,,,Establishes the conjugation stage at which IncI exclusion acts.
hartskeerl1986,R144,excA,foundational,Hartskeerl R; Overduin P; Hoekstra W; Tommassen J,1986,Gene,42,107-111,Nucleotide sequence of the exclusion-determining locus of IncI plasmid R144,10.1016/0378-1119(86)90156-3,verified,,,R144 is in the same exclusion group as R64; useful outgroup for the ExcA divergence calculation.
sampei2010,R64,,accession_reference,Sampei G; Furuya N; Tachibana K; Saitou Y; Suzuki T; Mizobuchi K; Komano T,2010,Plasmid,64(2),92-103,Complete genome sequence of the incompatibility group I1 plasmid R64,10.1016/j.plasmid.2010.05.005,verified,20594994,,Reference for AP005147 annotation and the four-cluster description of the 54 kb transfer region.
takahashi2011,R621a,,accession_reference,Takahashi H; Shao M; Furuya N; Komano T,2011,Plasmid,66(2),112-121,The genome sequence of the incompatibility group Igamma plasmid R621a: evolution of IncI plasmids,10.1016/j.plasmid.2011.06.004,verified,21763721,,Reference for AP011954. Source of the claim that all R64/R621a Tra-Trb proteins are >95% identical except ExcA and TraY.
