accession	site	start	end	spacer_len	dg_score	percentile	n_spacers_on_plasmid
AP018566.2	anchor_internal	8888	8936	49	-17.3	40.7	59
AP018566.2	anchor_internal	13877	14094	218	-29.7	79.7	59
AP018566.2	anchor_internal	16849	16889	41	-19.5	45.8	59
AP018571.2	anchor_internal	37369	37562	194	-20.3	42.9	35
AP018705.1	slot_downstream	27933	27992	60	-24.4	50.0	22
AP018705.1	anchor_internal	27933	27992	60	-24.4	50.0	22
AP018706.1	slot_downstream	28451	28510	60	-24.4	52.4	21
AP018706.1	anchor_internal	28451	28510	60	-24.4	52.4	21
AP018707.1	anchor_internal	22548	22768	221	-34.2	63.6	22
AP018707.1	anchor_internal	26557	26868	312	-36.0	77.3	22
AP018708.1	anchor_internal	22632	22852	221	-34.2	63.6	22
AP018708.1	anchor_internal	26641	26952	312	-36.0	77.3	22
AP022422.1	anchor_internal	43473	43773	301	-22.4	47.8	46
AP022422.1	anchor_internal	46444	46484	41	-19.5	32.6	46
AP026450.1	anchor_internal	20583	20800	218	-29.7	75.7	37
AP026450.1	anchor_internal	23555	23595	41	-19.5	27.0	37
AP026458.1	anchor_internal	19512	19729	218	-29.7	75.7	37
AP026458.1	anchor_internal	22484	22524	41	-19.5	27.0	37
AP026466.1	slot_upstream	56884	57135	252	-24.3	67.4	43
AP026467.1	anchor_internal	19586	19803	218	-29.7	73.5	34
AP026467.1	anchor_internal	22558	22598	41	-19.5	23.5	34
AP026474.1	anchor_internal	20590	20807	218	-29.7	75.7	37
AP026474.1	anchor_internal	23562	23602	41	-19.5	27.0	37
AP026478.1	anchor_internal	20477	20694	218	-29.7	75.7	37
AP026478.1	anchor_internal	23449	23489	41	-19.5	27.0	37
AP026481.1	anchor_internal	20590	20807	218	-29.7	75.7	37
AP026481.1	anchor_internal	23562	23602	41	-19.5	27.0	37
AP026485.1	anchor_internal	11682	11899	218	-29.7	79.3	29
AP026485.1	anchor_internal	14654	14694	41	-19.5	24.1	29
AP026490.1	anchor_internal	37273	37516	244	-17.6	53.1	32
AP026491.1	anchor_internal	19586	19803	218	-29.7	75.7	37
AP026491.1	anchor_internal	22558	22598	41	-19.5	27.0	37
AP026498.1	slot_upstream	49949	50202	254	-22.6	68.8	32
AP026499.1	anchor_internal	20590	20807	218	-29.7	75.7	37
AP026499.1	anchor_internal	23562	23602	41	-19.5	27.0	37
AP026506.1	anchor_internal	19586	19803	218	-29.7	75.7	37
AP026506.1	anchor_internal	22558	22598	41	-19.5	27.0	37
AP026509.1	anchor_internal	19586	19803	218	-29.7	75.7	37
AP026509.1	anchor_internal	22558	22598	41	-19.5	27.0	37
AP026512.1	anchor_internal	19549	19766	218	-29.7	78.6	42
AP026512.1	anchor_internal	22521	22561	41	-19.5	31.0	42
AP026516.1	anchor_internal	19586	19802	217	-29.7	75.7	37
AP026516.1	anchor_internal	22557	22597	41	-19.5	27.0	37
AP026522.1	anchor_internal	20588	20805	218	-29.7	75.0	36
AP026533.1	anchor_internal	21018	21235	218	-29.7	75.0	32
AP026533.1	anchor_internal	23990	24030	41	-19.5	31.2	32
AP027405.1	anchor_internal	11969	12017	49	-17.3	28.6	35
AP027405.1	anchor_internal	16958	17175	218	-29.7	82.9	35
AP027405.1	anchor_internal	19930	19970	41	-19.5	37.1	35
AP027409.1	anchor_internal	21598	21815	218	-29.7	74.3	35
AP027409.1	anchor_internal	24570	24610	41	-19.5	25.7	35
AP027529.1	slot_upstream	3634	3855	222	-34.4	94.3	35
AP027530.1	anchor_internal	43553	43741	189	-14.2	35.3	51
AP027896.1	anchor_internal	36900	37088	189	-18.4	54.5	33
AP028486.1	anchor_internal	23833	24050	218	-29.7	82.5	40
AP028486.1	anchor_internal	26805	26845	41	-19.5	35.0	40
AP029036.1	anchor_internal	109155	109191	37	-2.6	8.5	118
CM003354.1	slot_downstream	49848	49879	32	-6.7	8.2	61
CM003354.1	anchor_internal	79855	79999	145	-29.9	75.4	61
CP006657.1	slot_downstream	96904	96959	56	-10.4	16.2	222
CP006657.1	anchor_internal	96904	96959	56	-10.4	16.2	222
CP006657.1	anchor_internal	138821	138861	41	-17.1	32.4	222
CP009853.1	anchor_internal	18112	18329	218	-29.7	79.5	39
CP009853.1	anchor_internal	21084	21124	41	-19.5	28.2	39
CP009858.1	anchor_internal	18112	18329	218	-29.7	76.5	34
CP009858.1	anchor_internal	21084	21124	41	-19.5	23.5	34
CP009867.1	slot_upstream	19684	19774	91	-17.8	21.6	37
CP009867.1	anchor_internal	21780	21997	218	-29.7	75.7	37
CP009867.1	anchor_internal	24692	24791	100	-30.7	78.4	37
CP009881.1	anchor_internal	18112	18329	218	-29.7	76.5	34
CP009881.1	anchor_internal	21084	21124	41	-19.5	23.5	34
CP011992.1	anchor_internal	30024	30217	194	-19.0	52.0	25
CP018090.1	anchor_internal	21884	21943	60	-15.4	8.7	23
CP018959.1	anchor_internal	30397	30614	218	-29.7	73.0	37
CP018959.1	anchor_internal	33369	33409	41	-19.5	29.7	37
CP020527.1	anchor_internal	12958	13175	218	-29.7	77.1	48
CP020527.1	anchor_internal	15930	15970	41	-19.5	27.1	48
CP021182.1	anchor_internal	103532	103865	334	-28.4	63.4	112
CP021184.1	slot_downstream	59244	59276	33	-8.2	6.2	64
CP021184.1	anchor_internal	54788	54932	145	-29.9	73.4	64
CP021899.1	anchor_internal	35634	35674	41	-17.1	25.5	47
CP021899.1	anchor_internal	38429	38646	218	-20.6	34.0	47
CP021901.1	anchor_internal	12656	12849	194	-19.0	56.0	25
CP024820.1	anchor_internal	21970	22163	194	-20.3	44.8	29
CP025879.1	anchor_internal	26857	27100	244	-14.9	34.6	26
CP026274.1	anchor_internal	148720	148769	50	-18.0	42.6	183
CP026274.1	anchor_internal	164113	164151	39	-15.0	23.5	183
CP026277.1	anchor_internal	42178	42218	41	-17.1	26.3	38
CP026277.1	anchor_internal	44973	45190	218	-19.1	34.2	38
CP026279.1	anchor_internal	9844	9893	50	-18.0	48.8	43
CP026279.1	anchor_internal	17754	17792	39	-15.0	27.9	43
CP027617.1	anchor_internal	3020	3058	39	-17.9	29.7	37
CP027617.1	anchor_internal	7974	8190	217	-22.8	62.2	37
CP027617.1	anchor_internal	10918	10967	50	-19.0	37.8	37
CP027700.1	anchor_internal	32292	32375	84	-9.8	6.1	33
CP027700.1	anchor_internal	37559	37752	194	-21.9	54.5	33
CP028182.1	anchor_internal	40409	40602	194	-20.3	48.1	27
CP028705.1	anchor_internal	20825	21018	194	-19.0	48.3	29
CP029841.1	anchor_internal	110928	111171	244	-14.9	34.0	106
CP030195.1	anchor_internal	25558	25806	249	-17.9	51.9	27
CP031373.2	anchor_internal	5314	5507	194	-20.3	64.5	31
CP031590.1	slot_upstream	55362	55391	30	-7.8	10.8	74
CP033548.1	slot_upstream	4387	4526	140	-23.5	89.7	39
CP033548.1	slot_downstream	5626	5677	52	-10.3	25.6	39
CP033548.1	anchor_internal	963	1195	233	-20.6	79.5	39
CP033548.1	anchor_internal	1508	1597	90	-17.2	66.7	39
CP033548.1	anchor_internal	4387	4526	140	-23.5	89.7	39
CP033548.1	anchor_internal	10039	10205	167	-24.4	92.3	39
CP034075.1	anchor_internal	29808	30053	246	-17.6	33.3	27
CP034323.1	anchor_internal	39788	39981	194	-19.0	48.6	35
CP034356.1	anchor_internal	94185	94524	340	-34.2	80.3	71
CP034398.1	anchor_internal	26240	26289	50	-18.0	41.7	24
CP034398.1	anchor_internal	29023	29240	218	-16.7	33.3	24
CP034398.1	anchor_internal	34156	34194	39	-15.0	16.7	24
CP035910.1	anchor_internal	9291	9484	194	-19.0	57.7	26
CP036400.2	anchor_internal	28358	28575	218	-29.7	80.0	45
CP036400.2	anchor_internal	31330	31370	41	-19.5	28.9	45
CP039389.1	slot_downstream	33747	33802	56	-10.4	11.4	35
CP039389.1	anchor_internal	33747	33802	56	-10.4	11.4	35
CP039587.1	slot_downstream	37537	37613	77	-17.0	35.9	39
CP039914.1	anchor_internal	31098	31411	314	-29.5	66.7	42
CP040178.1	anchor_internal	54450	54667	218	-29.7	82.2	45
CP040178.1	anchor_internal	57422	57462	41	-19.5	31.1	45
CP040446.1	anchor_internal	37200	37393	194	-19.0	48.3	29
CP040826.1	anchor_internal	4106	4143	38	-17.4	25.0	28
CP040826.1	anchor_internal	12009	12058	50	-19.0	39.3	28
CP041053.1	anchor_internal	7120	7313	194	-17.3	44.4	36
CP041938.1	anchor_internal	56425	56618	194	-20.3	43.9	41
CP042643.1	anchor_internal	20260	20331	72	-18.2	30.8	39
CP042643.1	anchor_internal	21100	21191	92	-21.0	46.2	39
CP043014.1	slot_upstream	36676	36897	222	-33.6	88.2	34
CP043017.1	slot_downstream	56134	56285	152	-18.3	48.6	37
CP043604.1	anchor_internal	23679	23872	194	-19.0	50.0	28
CP044292.1	anchor_internal	31650	31838	189	-18.4	36.4	33
CP046494.1	anchor_internal	20606	20905	300	-27.5	78.6	14
CP046892.1	anchor_internal	32502	32695	194	-19.0	50.0	36
CP047083.1	anchor_internal	9313	9528	216	-23.9	92.3	13
CP047775.1	anchor_internal	50055	50272	218	-29.7	85.1	67
CP047775.1	anchor_internal	53027	53067	41	-19.5	34.3	67
CP048291.1	anchor_internal	36007	36251	245	-17.6	48.3	29
CP048927.1	anchor_internal	4895	5139	245	-14.9	31.2	32
CP049982.1	anchor_internal	30037	30281	245	-17.6	41.7	24
CP049987.1	anchor_internal	28683	28927	245	-17.6	46.2	26
CP050515.1	anchor_internal	967244	967626	383	-27.5	71.5	603
CP050859.2	anchor_internal	18652	18869	218	-29.7	82.2	45
CP050859.2	anchor_internal	21624	21664	41	-19.5	40.0	45
