# supports_discovery_heuristic is a RECALL statement: the exclusion gene
# lies inside the +/-6 kb window. It is NOT precision -- 53 non-exclusion
# ORFs also satisfy it (11%% precision). See docs/heuristic_precision.md.
# Empty cells are empty strings, not NA: read with keep_default_na=False.
element_id	element_type	inc_group	mpf_class	host	accession_primary	accession_crosscheck	accession_status	exclusion_gene	exclusion_type	evidence_tier	exclusion_protein	exclusion_aa_len	exclusion_aa_sha256	exclusion_coords	exclusion_strand	partner_gene	partner_family	partner_virb	partner_status	partner_specificity_residues	adjacency_bp	within_discovery_window	same_strand	same_operon	genes_between	supports_discovery_heuristic	supports_synteny_claim
F	plasmid	IncFI	MPF_F	Escherichia coli K-12	AP001918.1		PINNED	traS	entry	E1	BAA97970.1	173	0610d8b0fcad355957b60a052fa63c80582bbc5ddecb1d841dc05dd438f87431	AP001918.1:88274..88795	+	traG	VirB6	VirB6	verified	TraG 610-673	32	True	True	True	0	True	True
ICEBs1	ICE	not_applicable	MPF_FA	Bacillus subtilis subsp. subtilis 168	CP171645.1		CHROMOSOMAL	yddJ	entry	E1	YGG23124.1	126	268dccf2ab1e20c5fb4bd4b0bc2e2146aed9ed4ed839ee9e554c4f9d264cabb8	CP171645.1:545194..545574	+	conG	VirB6	VirB6-like, 7 TM	verified	extracellular loop aa 276-295 is sufficient to confer specificity; resistance mutation E288K falls inside it	1569	True	True	True	2	True	True
IncC	plasmid	IncC (also IncA)	MPF_F	Vibrio cholerae / Escherichia coli	CP033514.1	NZ_CP033514.1	PROVISIONAL	eexC	entry	E1						traG_C	VirB6	VirB6	verified	not resolved to residue level			True	True	0		True
R100	plasmid	IncFII	MPF_F	Shigella flexneri 2b	AP000342.1	NC_002134.1	PINNED	traS	entry	E1	BAA78881.1	159	d54e540dd46ba81e0898297f2996ec012d80fe45015f05178e28054d2fb4fc30	AP000342.1:74000..74479	+	traG	VirB6	VirB6	verified	TraG 610-673 in F numbering; R100 equivalent must be projected through the alignment, NOT copied as a bare range	21	True	True	True	0	True	True
R27	plasmid	IncHI1	MPF_F chimera	Salmonella enterica ser. Typhi	AF250878.1	NC_002305.1	PROVISIONAL	eexA	entry	E3	AAF69857.1	130	1e62c0e79d127cf75dcdc69fb83813874f8ad515849b9a6086d09a4e10c683cd	AF250878.1:22505..22897	+	trhG	VirB6	VirB6 (F-TraG homolog)	predicted		90396	False	True	False		False	False
R621a	plasmid	IncI-gamma	MPF_I	Salmonella enterica ser. Typhimurium	AP011954.1	NC_015965.1	PROVISIONAL	excA	entry	E1	BAK64483.1	204	cb6b79a76aa892f5952cbad1f7059c2ac8279eb7b7c41c2c6d7c642e96701ff0	AP011954.1:48762..49376	-	traY	unassigned		verified	TraY C-terminal segment (R621a); contrast R64 internal	75	True	True	True	0	True	True
R64	plasmid	IncI1	MPF_I	Salmonella enterica ser. Typhimurium	AP005147.1	NC_005014.1	PROVISIONAL	excA	entry	E1	BAB91650.1	220	43ab07ed1f6be41652b5d2beee1bd5a91fedabf5d7b248f1fa1deee76ea5f3ca	AP005147.1:76983..77645	-	traY	unassigned		verified	TraY internal variable segment (R64); contrast R621a C-terminal	70	True	True	True	1	True	True
RP4	plasmid	IncP-alpha	MPF_T	Escherichia coli	BN000925.1	CP152305.1	PINNED	trbK	entry	E2	CAJ85697.1	69	23dde58dab57d3c66e099ad94fdc0b0c65ec5e3e828309ced2d50fcc32c7c64b	BN000925.1:27450..27659	+	trbL	VirB6	VirB6	predicted		6	True	True	True	0	True	True
SXT	ICE	not_applicable	MPF_F	Vibrio cholerae	KJ817376.1		PROVISIONAL	eex	entry	E1	AKA21199.1	143	4419c74f454d7ef438362c438c6deaced1f2bb112447c8085576a8a9eb3c5e92	KJ817376.1:5856..6287	+	traG	VirB6	VirB6	verified	aa 606-607-608. SXT (S group) P-G-E; R391 (R group) T-G-D	32	True	False	False	0	True	False
pKM101	plasmid	IncN	MPF_T	Escherichia coli			ASSEMBLE	eex	entry	E2	AAA86454.1	75	fd988b8cd6b2e4c33a938ce55b103064a88dd68b10c9b35eba4741806d8c6956	U09868.1:6533..6760	+	traD	VirB6	VirB6	predicted		15	True	True	True	0	True	True
pKPC_UVA01	plasmid	IncP/IncN-like	MPF_T	Klebsiella pneumoniae CAV1016	CP009465.1	NZ_CP009465.1	PROVISIONAL	trbK-like	entry	E2						trbL-like	VirB6	VirB6	predicted			True	True	True	0	True	True
