element_id	role	gene	side	record_role	accession	route	coords	strand	protein_id	locus_tag	aa_len	aa_sha256	product	flag
F	positive	traG	partner	primary	AP001918.1	gene	AP001918.1:85425..88241	+	BAA97969.1		938	94d11378fb1911087d3406e95df4d977fc44afea4f3e6028c1375c22d4d902a8		
F	positive	traS	exclusion	primary	AP001918.1	gene	AP001918.1:88274..88795	+	BAA97970.1		173	0610d8b0fcad355957b60a052fa63c80582bbc5ddecb1d841dc05dd438f87431	surface exclusion protein	
F	positive	traG	partner	aux	U01159.2	gene	U01159.2:19403..22219	+	AAC44184.1		938	94d11378fb1911087d3406e95df4d977fc44afea4f3e6028c1375c22d4d902a8	TraG	
F	positive	traS	exclusion	aux	U01159.2	gene	U01159.2:22252..22701	+	AAC44196.1		149	8579e9e1eb35bab9db3c890dda2f769abcc2db4b71253f98ed71c0238cb2fa16	TraS	
ICEBs1	positive	conG	partner	primary	CP171645.1	gene	CP171645.1:541177..543624	+	YGG21655.1	ACGWZ1_02850	815	ba5d713f59e3ad1170ef9324ff5dfd9b8ad6b51e100c32f4441d2126bac9ca0b	transposon conjugation system subunit ConG	
ICEBs1	positive	yddJ	exclusion	primary	CP171645.1	product	CP171645.1:545194..545574	+	YGG23124.1	ACGWZ1_02865	126	268dccf2ab1e20c5fb4bd4b0bc2e2146aed9ed4ed839ee9e554c4f9d264cabb8	DUF4467 domain-containing protein	
IncC	positive	traG_C	partner	primary	CP033514.1	product	CP033514.1:88463..92077	+	AYV08555.1	EEL44_05815	1204	3e4ca91f937fefa53dc08397f5a61ffc9a3f92bee12db682f1d97ff52e057523	conjugal transfer protein TraG	
IncC	positive	traG_C	partner	primary	KX156773.1	product	KX156773.1:164442..168056	+	AOB42072.1		1204	3e4ca91f937fefa53dc08397f5a61ffc9a3f92bee12db682f1d97ff52e057523	IncF plasmid conjugative transfer protein TraG	
IncC	positive	traG_C	partner	crosscheck	NZ_CP033514.1	product	NZ_CP033514.1:88463..92077	+	WP_000534551.1	EEL44_RS05815	1204	3e4ca91f937fefa53dc08397f5a61ffc9a3f92bee12db682f1d97ff52e057523	conjugal transfer protein TraG N-terminal domain-containing protein	
IncC	positive	traG_C	partner	crosscheck	NZ_KX156773.1	product	NZ_KX156773.1:164442..168056	+	WP_000534551.1	HTI74_RS01020	1204	3e4ca91f937fefa53dc08397f5a61ffc9a3f92bee12db682f1d97ff52e057523	conjugal transfer protein TraG N-terminal domain-containing protein	
