protein	set	expected_class	envelope	aa	lipobox_strict	tm_count	anchor_mode	passes
TrbK	POS	A	diderm	69	1	0	lipid	1
YddJ	POS	A	monoderm	126	1	0	lipid	1
TraS_R100	POS	B	diderm	159	0	2	multi_pass	1
TraS_F	POS	B	diderm	173	0	4	multi_pass	1
TraS_R64	POS	?	diderm	62	0	0	none	0
ExcA	POS	B	diderm	220	0	2	multi_pass	1
ExcB	POS	B	diderm	147	0	0	none	0
Eex_IncN	POS	A	diderm	76	1	0	lipid	1
RP4:trbB	NEG	-	diderm	319	0	0	none	0
RP4:trbE	NEG	-	diderm	852	0	1	single_pass	1
RP4:trbF	NEG	-	diderm	252	0	1	single_pass	1
RP4:korA	NEG	-	diderm	101	0	0	none	0
RP4:korB	NEG	-	diderm	358	0	0	none	0
RP4:trfA	NEG	-	diderm	285	0	0	none	0
R64:traY	NEG	-	diderm	745	0	5	multi_pass	1
R64:traI	NEG	-	diderm	272	1	0	lipid	1
R100:traG	NEG	-	diderm	940	0	7	multi_pass	1
R100:traI	NEG	-	diderm	1756	0	0	none	0
