# GENERATED by scripts/62_sync_targets.py from data/elements/*.yaml
# DO NOT EDIT. Edit the element YAML and re-run.
# accession_related has a DIFFERENT coordinate frame -- never use it
# to validate a coordinate. Empty cells are empty strings, not NA:
# read with pandas keep_default_na=False.
element_id	role_exclusion	role_adjacency	inc_group	mpf_class	record_scope	min_expected_bp	accession_authoritative	accession_mirror	accession_related	exclusion_gene	exclusion_coords	exclusion_expected_sha256	partner_gene	partner_family	partner_family_note	partner_coords	partner_expected_sha256
F	positive	positive	IncFI	MPF_F	plasmid	30000	AP001918.1			traS	AP001918.1:88274..88795	0610d8b0fcad355957b60a052fa63c80582bbc5ddecb1d841dc05dd438f87431	traG	VirB6		AP001918.1:85425..88241	94d11378fb1911087d3406e95df4d977fc44afea4f3e6028c1375c22d4d902a8
ICEBs1	positive	positive	not_applicable	MPF_FA	chromosome	1000000	CP171645.1			yddJ	CP171645.1:545194..545574	268dccf2ab1e20c5fb4bd4b0bc2e2146aed9ed4ed839ee9e554c4f9d264cabb8	conG	VirB6		CP171645.1:541177..543624	ba5d713f59e3ad1170ef9324ff5dfd9b8ad6b51e100c32f4441d2126bac9ca0b
IncC	positive	unmeasured	IncC (also IncA)	MPF_F	plasmid	30000	CP033514.1	NZ_CP033514.1		eexC			traG_C	VirB6		CP033514.1:88463..92077	3e4ca91f937fefa53dc08397f5a61ffc9a3f92bee12db682f1d97ff52e057523
R100	positive	positive	IncFII	MPF_F	plasmid	30000	AP000342.1	NC_002134.1		traS	AP000342.1:74000..74479	d54e540dd46ba81e0898297f2996ec012d80fe45015f05178e28054d2fb4fc30	traG	VirB6		AP000342.1:71156..73978	9cf4ff1716fdaba21745849f336de75d519df30f6adc8d0be6194de7eae1d1e0
R27	positive	negative	IncHI1	MPF_F chimera	plasmid	30000	AF250878.1	NC_002305.1		eexA	AF250878.1:22505..22897	1e62c0e79d127cf75dcdc69fb83813874f8ad515849b9a6086d09a4e10c683cd	trhG	VirB6		AF250878.1:113294..117283	b6c2f78c16b955314e316b3e1d58a274efabfc510661ca5a0cb65737a5f90f48
R621a	positive	positive	IncI-gamma	MPF_I	plasmid	30000	AP011954.1	NC_015965.1		excA	AP011954.1:48762..49376	cb6b79a76aa892f5952cbad1f7059c2ac8279eb7b7c41c2c6d7c642e96701ff0	traY	unassigned	MPF_I inner-membrane Mpf protein	AP011954.1:49452..51689	9177558bfefb2b2d72c1f886f3c76556969599c17efd99d0f9d6b18a3cc8fbaf
R64	positive	positive	IncI1	MPF_I	plasmid	30000	AP005147.1	NC_005014.1		excA	AP005147.1:76983..77645	43ab07ed1f6be41652b5d2beee1bd5a91fedabf5d7b248f1fa1deee76ea5f3ca	traY	unassigned	MPF_I inner-membrane Mpf protein	AP005147.1:77716..79953	4108d588a23d56fecd364ff3bd59642bdc46837c4a9eac0234694006e835e715
RP4	positive	positive	IncP-alpha	MPF_T	plasmid	30000	BN000925.1		CP152305.1	trbK	BN000925.1:27450..27659	23dde58dab57d3c66e099ad94fdc0b0c65ec5e3e828309ced2d50fcc32c7c64b	trbL	VirB6		BN000925.1:27666..29252	b05af4436bbcd68cd7831b8fe9faa1d1ccff977eba915a866098fe5bd5702485
SXT	positive	positive	not_applicable	MPF_F	ICE	15000	KJ817376.1			eex	KJ817376.1:5856..6287	4419c74f454d7ef438362c438c6deaced1f2bb112447c8085576a8a9eb3c5e92	traG	VirB6		KJ817376.1:6320..9889	5098b5fd46bb82a0b4ef4dadfdddeca378e8ba7070fac1ce0cb5ef08bcf4f242
pKM101	positive	positive	IncN	MPF_T	fragment	1000	U09868.1		U72482.2	eex	U09868.1:6533..6760	fd988b8cd6b2e4c33a938ce55b103064a88dd68b10c9b35eba4741806d8c6956	traD	VirB6		U09868.1:6776..7816	4695cb4e7b2ce75d2e7b12d3a245d2f7c9039dee207bd8fb9dcc8690c0940d26
pKPC_UVA01	positive	positive	IncP/IncN-like	MPF_T	plasmid	30000	CP009465.1	NZ_CP009465.1	CP017937.1	trbK-like			trbL-like	VirB6		CP009465.1:21534..22508	f8257e4d7d8cffadb441a76b1fea41d84855bb60c8a807c79ac51840d818bb74
