set	id	aa	lipobox	tm_count	anchor_mode	passes
1_RANDOM	1_RANDOM|0	178	0	0	none	0
1_RANDOM	1_RANDOM|1	101	0	2	multi_pass	1
1_RANDOM	1_RANDOM|2	234	0	0	none	0
1_RANDOM	1_RANDOM|3	158	0	0	none	0
1_RANDOM	1_RANDOM|4	199	0	0	none	0
1_RANDOM	1_RANDOM|5	226	0	0	none	0
1_RANDOM	1_RANDOM|6	101	0	2	multi_pass	1
1_RANDOM	1_RANDOM|7	146	0	0	none	0
1_RANDOM	1_RANDOM|8	83	0	0	none	0
1_RANDOM	1_RANDOM|9	57	0	0	none	0
1_RANDOM	1_RANDOM|10	141	0	0	none	0
1_RANDOM	1_RANDOM|11	136	0	0	none	0
1_RANDOM	1_RANDOM|12	146	1	0	lipid	1
1_RANDOM	1_RANDOM|13	110	0	0	none	0
1_RANDOM	1_RANDOM|14	214	0	0	none	0
1_RANDOM	1_RANDOM|15	118	0	0	none	0
1_RANDOM	1_RANDOM|16	222	0	0	none	0
1_RANDOM	1_RANDOM|17	199	0	0	none	0
1_RANDOM	1_RANDOM|18	82	0	0	none	0
1_RANDOM	1_RANDOM|19	127	0	0	none	0
1_RANDOM	1_RANDOM|20	34	0	0	none	0
1_RANDOM	1_RANDOM|21	115	0	0	none	0
1_RANDOM	1_RANDOM|22	122	0	0	none	0
1_RANDOM	1_RANDOM|23	82	0	0	none	0
1_RANDOM	1_RANDOM|24	102	0	0	none	0
1_RANDOM	1_RANDOM|25	66	0	0	none	0
1_RANDOM	1_RANDOM|26	78	0	2	multi_pass	1
1_RANDOM	1_RANDOM|27	233	0	0	none	0
1_RANDOM	1_RANDOM|28	115	0	4	multi_pass	1
1_RANDOM	1_RANDOM|29	118	0	0	none	0
1_RANDOM	1_RANDOM|30	109	0	0	none	0
1_RANDOM	1_RANDOM|31	92	0	0	none	0
1_RANDOM	1_RANDOM|32	141	0	0	none	0
1_RANDOM	1_RANDOM|33	76	0	0	none	0
1_RANDOM	1_RANDOM|34	62	0	0	none	0
1_RANDOM	1_RANDOM|35	105	0	0	none	0
1_RANDOM	1_RANDOM|36	121	0	0	none	0
1_RANDOM	1_RANDOM|37	47	0	0	none	0
1_RANDOM	1_RANDOM|38	87	0	0	none	0
1_RANDOM	1_RANDOM|39	90	0	0	none	0
1_RANDOM	1_RANDOM|40	129	0	0	none	0
1_RANDOM	1_RANDOM|41	140	0	4	multi_pass	1
1_RANDOM	1_RANDOM|42	242	0	0	none	0
1_RANDOM	1_RANDOM|43	116	0	0	none	0
1_RANDOM	1_RANDOM|44	85	0	0	none	0
1_RANDOM	1_RANDOM|45	136	0	2	multi_pass	1
1_RANDOM	1_RANDOM|46	156	0	0	none	0
1_RANDOM	1_RANDOM|47	180	0	0	none	0
1_RANDOM	1_RANDOM|48	95	0	0	none	0
1_RANDOM	1_RANDOM|49	160	1	0	lipid	1
1_RANDOM	1_RANDOM|50	246	0	0	none	0
1_RANDOM	1_RANDOM|51	148	0	5	multi_pass	1
1_RANDOM	1_RANDOM|52	123	0	0	none	0
1_RANDOM	1_RANDOM|53	76	0	2	multi_pass	1
1_RANDOM	1_RANDOM|54	32	0	0	none	0
1_RANDOM	1_RANDOM|55	66	0	0	none	0
1_RANDOM	1_RANDOM|56	99	0	0	none	0
1_RANDOM	1_RANDOM|57	144	0	0	none	0
1_RANDOM	1_RANDOM|58	37	0	0	none	0
1_RANDOM	1_RANDOM|59	163	1	0	lipid	1
1_RANDOM	1_RANDOM|60	220	0	0	none	0
1_RANDOM	1_RANDOM|61	143	0	0	none	0
1_RANDOM	1_RANDOM|62	102	0	0	none	0
1_RANDOM	1_RANDOM|63	218	0	0	none	0
1_RANDOM	1_RANDOM|64	153	0	1	single_pass	1
1_RANDOM	1_RANDOM|65	120	0	0	none	0
1_RANDOM	1_RANDOM|66	221	0	0	none	0
1_RANDOM	1_RANDOM|67	208	0	0	none	0
1_RANDOM	1_RANDOM|68	104	0	2	multi_pass	1
1_RANDOM	1_RANDOM|69	83	0	0	none	0
1_RANDOM	1_RANDOM|70	98	0	1	single_pass	1
1_RANDOM	1_RANDOM|71	219	0	0	none	0
1_RANDOM	1_RANDOM|72	92	0	0	none	0
1_RANDOM	1_RANDOM|73	205	0	0	none	0
1_RANDOM	1_RANDOM|74	77	0	0	none	0
1_RANDOM	1_RANDOM|75	79	0	2	multi_pass	1
1_RANDOM	1_RANDOM|76	105	0	0	none	0
1_RANDOM	1_RANDOM|77	221	0	0	none	0
1_RANDOM	1_RANDOM|78	67	0	0	none	0
1_RANDOM	1_RANDOM|79	113	0	4	multi_pass	1
1_RANDOM	1_RANDOM|80	178	0	0	none	0
1_RANDOM	1_RANDOM|81	181	0	0	none	0
1_RANDOM	1_RANDOM|82	134	0	0	none	0
1_RANDOM	1_RANDOM|83	245	0	1	single_pass	1
1_RANDOM	1_RANDOM|84	76	0	0	none	0
1_RANDOM	1_RANDOM|85	84	0	0	none	0
1_RANDOM	1_RANDOM|86	234	0	0	none	0
1_RANDOM	1_RANDOM|87	150	0	0	none	0
1_RANDOM	1_RANDOM|88	226	0	0	none	0
1_RANDOM	1_RANDOM|89	115	0	4	multi_pass	1
1_RANDOM	1_RANDOM|90	168	0	0	none	0
1_RANDOM	1_RANDOM|91	85	0	0	none	0
1_RANDOM	1_RANDOM|92	163	0	0	none	0
1_RANDOM	1_RANDOM|93	197	0	2	multi_pass	1
1_RANDOM	1_RANDOM|94	66	0	0	none	0
1_RANDOM	1_RANDOM|95	234	0	0	none	0
1_RANDOM	1_RANDOM|96	65	0	0	none	0
1_RANDOM	1_RANDOM|97	136	0	2	multi_pass	1
1_RANDOM	1_RANDOM|98	116	0	0	none	0
1_RANDOM	1_RANDOM|99	118	0	0	none	0
1_RANDOM	1_RANDOM|100	72	0	0	none	0
1_RANDOM	1_RANDOM|101	204	0	0	none	0
1_RANDOM	1_RANDOM|102	116	0	0	none	0
1_RANDOM	1_RANDOM|103	168	0	0	none	0
1_RANDOM	1_RANDOM|104	149	0	0	none	0
1_RANDOM	1_RANDOM|105	180	0	0	none	0
1_RANDOM	1_RANDOM|106	139	0	0	none	0
1_RANDOM	1_RANDOM|107	111	0	3	multi_pass	1
1_RANDOM	1_RANDOM|108	158	0	0	none	0
1_RANDOM	1_RANDOM|109	214	0	4	multi_pass	1
1_RANDOM	1_RANDOM|110	70	0	0	none	0
1_RANDOM	1_RANDOM|111	157	1	0	lipid	1
1_RANDOM	1_RANDOM|112	89	0	0	none	0
1_RANDOM	1_RANDOM|113	96	0	0	none	0
1_RANDOM	1_RANDOM|114	136	0	0	none	0
1_RANDOM	1_RANDOM|115	141	0	4	multi_pass	1
1_RANDOM	1_RANDOM|116	120	0	0	none	0
1_RANDOM	1_RANDOM|117	112	0	0	none	0
1_RANDOM	1_RANDOM|118	63	0	0	none	0
1_RANDOM	1_RANDOM|119	112	0	0	none	0
1_RANDOM	1_RANDOM|120	214	0	0	none	0
1_RANDOM	1_RANDOM|121	230	0	0	none	0
1_RANDOM	1_RANDOM|122	216	0	0	none	0
1_RANDOM	1_RANDOM|123	84	0	0	none	0
1_RANDOM	1_RANDOM|124	225	0	0	none	0
1_RANDOM	1_RANDOM|125	216	0	8	multi_pass	1
1_RANDOM	1_RANDOM|126	65	1	0	lipid	1
1_RANDOM	1_RANDOM|127	116	0	0	none	0
1_RANDOM	1_RANDOM|128	153	0	0	none	0
1_RANDOM	1_RANDOM|129	225	0	0	none	0
1_RANDOM	1_RANDOM|130	225	0	0	none	0
1_RANDOM	1_RANDOM|131	125	0	0	none	0
1_RANDOM	1_RANDOM|132	208	0	4	multi_pass	1
1_RANDOM	1_RANDOM|133	91	0	0	none	0
1_RANDOM	1_RANDOM|134	131	0	0	none	0
1_RANDOM	1_RANDOM|135	175	0	0	none	0
1_RANDOM	1_RANDOM|136	48	0	0	none	0
1_RANDOM	1_RANDOM|137	66	0	0	none	0
1_RANDOM	1_RANDOM|138	66	0	0	none	0
1_RANDOM	1_RANDOM|139	108	0	0	none	0
1_RANDOM	1_RANDOM|140	52	0	0	none	0
1_RANDOM	1_RANDOM|141	107	0	0	none	0
1_RANDOM	1_RANDOM|142	180	0	0	none	0
1_RANDOM	1_RANDOM|143	138	0	0	none	0
1_RANDOM	1_RANDOM|144	69	0	0	none	0
1_RANDOM	1_RANDOM|145	200	0	0	none	0
1_RANDOM	1_RANDOM|146	63	0	0	none	0
1_RANDOM	1_RANDOM|147	63	0	0	none	0
1_RANDOM	1_RANDOM|148	231	0	1	single_pass	1
1_RANDOM	1_RANDOM|149	164	0	0	none	0
1_RANDOM	1_RANDOM|150	217	0	7	multi_pass	1
1_RANDOM	1_RANDOM|151	67	0	0	none	0
1_RANDOM	1_RANDOM|152	63	0	0	none	0
1_RANDOM	1_RANDOM|153	143	0	0	none	0
1_RANDOM	1_RANDOM|154	76	0	0	none	0
1_RANDOM	1_RANDOM|155	95	0	0	none	0
1_RANDOM	1_RANDOM|156	59	0	0	none	0
1_RANDOM	1_RANDOM|157	68	0	0	none	0
1_RANDOM	1_RANDOM|158	59	0	0	none	0
1_RANDOM	1_RANDOM|159	104	0	0	none	0
1_RANDOM	1_RANDOM|160	185	0	0	none	0
1_RANDOM	1_RANDOM|161	70	0	0	none	0
1_RANDOM	1_RANDOM|162	109	0	0	none	0
1_RANDOM	1_RANDOM|163	55	0	0	none	0
1_RANDOM	1_RANDOM|164	79	0	0	none	0
1_RANDOM	1_RANDOM|165	190	0	0	none	0
1_RANDOM	1_RANDOM|166	95	0	0	none	0
1_RANDOM	1_RANDOM|167	122	0	1	single_pass	1
1_RANDOM	1_RANDOM|168	74	0	0	none	0
1_RANDOM	1_RANDOM|169	183	0	0	none	0
1_RANDOM	1_RANDOM|170	110	0	2	multi_pass	1
1_RANDOM	1_RANDOM|171	126	0	0	none	0
1_RANDOM	1_RANDOM|172	58	0	0	none	0
1_RANDOM	1_RANDOM|173	198	0	3	multi_pass	1
1_RANDOM	1_RANDOM|174	130	0	0	none	0
1_RANDOM	1_RANDOM|175	243	1	1	ambiguous	1
1_RANDOM	1_RANDOM|176	102	0	0	none	0
1_RANDOM	1_RANDOM|177	150	0	0	none	0
1_RANDOM	1_RANDOM|178	91	0	0	none	0
1_RANDOM	1_RANDOM|179	203	0	0	none	0
1_RANDOM	1_RANDOM|180	146	0	0	none	0
1_RANDOM	1_RANDOM|181	186	0	2	multi_pass	1
1_RANDOM	1_RANDOM|182	227	1	0	lipid	1
1_RANDOM	1_RANDOM|183	218	0	8	multi_pass	1
1_RANDOM	1_RANDOM|184	110	0	0	none	0
1_RANDOM	1_RANDOM|185	70	0	0	none	0
1_RANDOM	1_RANDOM|186	77	0	0	none	0
1_RANDOM	1_RANDOM|187	127	0	0	none	0
1_RANDOM	1_RANDOM|188	216	0	1	single_pass	1
1_RANDOM	1_RANDOM|189	234	0	0	none	0
1_RANDOM	1_RANDOM|190	216	0	0	none	0
1_RANDOM	1_RANDOM|191	202	0	0	none	0
1_RANDOM	1_RANDOM|192	125	0	0	none	0
1_RANDOM	1_RANDOM|193	31	0	0	none	0
1_RANDOM	1_RANDOM|194	141	0	0	none	0
1_RANDOM	1_RANDOM|195	210	0	0	none	0
1_RANDOM	1_RANDOM|196	87	0	0	none	0
1_RANDOM	1_RANDOM|197	113	0	0	none	0
1_RANDOM	1_RANDOM|198	47	0	0	none	0
1_RANDOM	1_RANDOM|199	181	0	0	none	0
1_RANDOM	1_RANDOM|200	101	0	1	single_pass	1
1_RANDOM	1_RANDOM|201	65	0	2	multi_pass	1
1_RANDOM	1_RANDOM|202	85	0	2	multi_pass	1
1_RANDOM	1_RANDOM|203	121	0	0	none	0
1_RANDOM	1_RANDOM|204	180	0	0	none	0
1_RANDOM	1_RANDOM|205	118	0	3	multi_pass	1
1_RANDOM	1_RANDOM|206	96	0	0	none	0
1_RANDOM	1_RANDOM|207	213	0	0	none	0
1_RANDOM	1_RANDOM|208	87	0	0	none	0
1_RANDOM	1_RANDOM|209	147	0	2	multi_pass	1
1_RANDOM	1_RANDOM|210	141	0	0	none	0
1_RANDOM	1_RANDOM|211	226	0	0	none	0
1_RANDOM	1_RANDOM|212	212	0	0	none	0
1_RANDOM	1_RANDOM|213	142	0	0	none	0
1_RANDOM	1_RANDOM|214	93	0	0	none	0
1_RANDOM	1_RANDOM|215	103	1	0	lipid	1
1_RANDOM	1_RANDOM|216	88	0	0	none	0
1_RANDOM	1_RANDOM|217	73	0	0	none	0
1_RANDOM	1_RANDOM|218	131	0	0	none	0
1_RANDOM	1_RANDOM|219	80	0	0	none	0
1_RANDOM	1_RANDOM|220	233	0	0	none	0
1_RANDOM	1_RANDOM|221	140	0	0	none	0
1_RANDOM	1_RANDOM|222	85	0	0	none	0
1_RANDOM	1_RANDOM|223	196	0	1	single_pass	1
1_RANDOM	1_RANDOM|224	250	1	0	lipid	1
1_RANDOM	1_RANDOM|225	144	0	0	none	0
1_RANDOM	1_RANDOM|226	70	0	0	none	0
1_RANDOM	1_RANDOM|227	69	0	0	none	0
1_RANDOM	1_RANDOM|228	145	0	0	none	0
1_RANDOM	1_RANDOM|229	138	0	0	none	0
1_RANDOM	1_RANDOM|230	204	0	0	none	0
1_RANDOM	1_RANDOM|231	249	0	4	multi_pass	1
1_RANDOM	1_RANDOM|232	77	0	0	none	0
1_RANDOM	1_RANDOM|233	110	0	0	none	0
1_RANDOM	1_RANDOM|234	186	0	0	none	0
1_RANDOM	1_RANDOM|235	155	0	4	multi_pass	1
1_RANDOM	1_RANDOM|236	63	0	2	multi_pass	1
1_RANDOM	1_RANDOM|237	214	0	0	none	0
1_RANDOM	1_RANDOM|238	75	0	0	none	0
1_RANDOM	1_RANDOM|239	200	0	1	single_pass	1
1_RANDOM	1_RANDOM|240	100	0	0	none	0
1_RANDOM	1_RANDOM|241	114	0	0	none	0
1_RANDOM	1_RANDOM|242	140	0	0	none	0
1_RANDOM	1_RANDOM|243	87	0	0	none	0
1_RANDOM	1_RANDOM|244	203	0	0	none	0
1_RANDOM	1_RANDOM|245	47	0	0	none	0
1_RANDOM	1_RANDOM|246	133	0	0	none	0
1_RANDOM	1_RANDOM|247	68	0	0	none	0
1_RANDOM	1_RANDOM|248	231	0	0	none	0
1_RANDOM	1_RANDOM|249	105	0	0	none	0
1_RANDOM	1_RANDOM|250	234	0	0	none	0
1_RANDOM	1_RANDOM|251	73	0	0	none	0
1_RANDOM	1_RANDOM|252	87	0	0	none	0
1_RANDOM	1_RANDOM|253	118	0	0	none	0
1_RANDOM	1_RANDOM|254	43	0	0	none	0
1_RANDOM	1_RANDOM|255	125	0	0	none	0
1_RANDOM	1_RANDOM|256	236	0	0	none	0
1_RANDOM	1_RANDOM|257	86	0	2	multi_pass	1
1_RANDOM	1_RANDOM|258	192	0	0	none	0
1_RANDOM	1_RANDOM|259	192	0	0	none	0
1_RANDOM	1_RANDOM|260	242	0	0	none	0
1_RANDOM	1_RANDOM|261	88	0	0	none	0
1_RANDOM	1_RANDOM|262	199	0	0	none	0
1_RANDOM	1_RANDOM|263	212	0	0	none	0
