accession	n_fa_fata_profiles
AE017195.1	2
AP007210.1	2
AP012045.1	7
AP022644.1	3
AP022895.1	2
AP022896.1	2
AP023006.1	2
AP023007.1	5
AP023008.1	5
AP023015.1	2
AP023016.1	8
AP023017.1	5
AP024978.1	3
AP024981.1	3
AP026576.1	2
AP026581.1	7
AP026613.1	6
AP026618.1	5
AP026642.1	7
AP026651.1	6
AP026719.1	2
AP026727.1	2
AP026730.1	2
AP027223.1	8
AP027229.1	8
AP027235.1	8
AP028456.1	2
AP029232.1	7
AP031220.1	5
AP031224.1	7
AP031235.1	7
AP031258.1	2
AP031260.1	6
AP031261.1	9
AP031269.1	7
AP031279.1	9
AQPP01000018.1	8
CM001862.1	8
CP000475.1	2
CP001166.1	2
CP001169.1	4
CP001170.1	3
CP001179.1	2
CP001180.1	4
CP001770.1	2
CP002509.1	7
CP002510.1	4
CP003690.1	4
CP003691.1	2
CP003692.1	3
CP003693.1	3
CP003694.1	7
CP003748.1	2
CP006901.1	2
CP009368.1	7
CP009417.1	2
CP009591.1	7
CP009592.1	3
CP009940.1	7
CP013001.1	2
CP013960.1	7
CP014068.2	5
CP014451.1	2
CP015491.1	2
CP015592.1	8
CP020439.2	3
CP020755.1	2
CP020756.1	5
CP020758.1	5
CP024685.1	7
CP024686.1	2
CP024687.1	2
CP024688.1	2
CP024689.1	4
CP025942.1	5
CP028515.1	2
CP030382.1	7
CP030388.1	7
CP030400.1	7
CP030407.1	7
CP030420.1	7
CP030429.1	7
CP030435.1	7
CP030448.1	7
CP030453.1	7
CP030456.1	7
CP030468.1	7
CP030483.1	7
CP030491.1	7
CP030502.1	7
CP030507.1	7
CP030522.1	7
CP030526.1	7
CP030538.1	7
CP030554.1	7
CP030556.1	6
CP030559.1	7
CP030573.1	7
CP030581.1	7
CP030591.1	7
CP030600.1	7
CP030606.1	7
CP030609.1	7
CP030612.1	7
CP030614.1	7
CP030618.1	7
CP030631.1	7
CP030636.1	7
CP030639.1	7
CP030648.1	7
CP030651.1	7
CP030655.1	7
CP030671.1	7
CP030685.1	7
CP030705.1	7
CP038169.1	5
CP041074.1	7
CP041075.1	2
CP041751.1	4
CP041978.1	2
CP041980.1	2
CP042405.1	4
CP042833.1	2
CP043231.1	2
CP043232.1	5
CP043233.1	2
CP046063.1	4
CP046512.1	2
CP046513.1	2
CP049370.1	7
CP049392.1	7
CP049414.1	7
CP049419.1	7
CP049447.1	7
CP049471.1	7
CP049497.1	7
CP049502.1	7
CP049506.1	7
CP049513.1	7
CP049520.1	7
CP049521.1	7
CP049531.1	7
CP049536.1	6
CP049538.1	7
CP049543.1	7
CP049548.1	7
CP049584.1	7
CP050000.1	7
CP051892.1	7
CP051899.1	7
CP051904.1	7
CP051923.1	7
CP051946.1	7
CP051955.1	6
CP051960.1	7
CP051966.1	7
CP051979.1	7
CP051986.1	7
CP052000.1	7
CP052005.1	7
CP052014.1	6
CP052017.1	7
CP052020.1	7
CP052023.1	7
CP052062.1	3
CP052064.1	6
CP052943.1	2
CP053689.1	2
CP060142.1	3
CP060798.1	7
CP063285.1	9
CP063543.1	7
CP063551.1	2
CP063580.1	7
CP065973.1	3
CP066002.1	3
CP066213.1	2
CP066849.1	2
CP067054.1	2
CP079755.1	6
CP081503.1	3
CP085709.1	5
CP086402.1	3
CP086651.1	6
CP089091.1	2
CP093422.1	2
CP093425.1	2
CP095861.1	2
CP099561.1	5
CP103105.1	2
CP103132.1	2
CP103173.1	2
CP103229.1	2
CP103262.1	2
CP103266.1	2
CP103278.1	2
CP103462.1	4
CP108401.1	2
CP109185.1	2
CP109195.1	2
CP109198.1	2
CP109208.1	2
CP110024.1	2
CP110031.1	8
CP110033.1	8
CP113366.1	2
CP113367.1	4
CP113376.1	2
CP113377.1	4
CP113386.1	2
CP113387.1	4
CP118073.1	7
CP118075.1	5
CP120579.1	7
CP120584.1	6
CP121709.1	5
CP121719.1	8
CP121720.1	6
CP124298.1	3
CP124300.1	2
CP125951.1	4
CP126591.1	2
