query_idx	aa_len	best_named_family	evalue_3di	assigned
0	189	ExcA	5.552e-02	0
1	108	Eex_IncN	2.729e+00	0
2	217	ExcA	2.156e-01	0
3	217	ExcA	1.291e-01	0
4	217	ExcA	8.592e-02	0
5	217	ExcA	7.455e-02	0
6	217	ExcA	2.754e-01	0
7	218	ExcA	2.812e-01	0
8	217	ExcA	2.920e-01	0
9	217	ExcA	4.000e-01	0
10	410	TraS	9.986e-01	0
11	692	TraS	6.309e-02	0
12	693	TraS	3.686e-02	0
13	693	TraS	3.362e-02	0
14	693	TraS	3.478e-02	0
15	112	TraS	6.609e-01	0
16	303	TraS	1.238e+00	0
17	237	Eex_IncN	4.136e-01	0
18	430	ExcA	9.134e-02	0
19	164	TraS	1.738e+00	0
20	697	TraS	1.375e-01	0
21	296	ExcA	1.498e+00	0
22	296	ExcA	1.040e+00	0
23	296	TrbK_RP4	2.385e+00	0
24	296	TraS	1.893e+00	0
25	296	TraS	1.205e+00	0
26	219	ExcA	3.815e-01	0
27	219	ExcA	3.815e-01	0
28	406	ExcA	1.302e+00	0
29	526	TraS	1.009e+00	0
30	568	ExcA	1.676e-01	0
31	217	ExcA	7.470e-02	0
32	217	ExcA	3.408e-01	0
33	162	Eex_IncN	2.242e-01	0
34	162	Eex_IncN	7.568e-01	0
35	162	Eex_IncN	4.428e-01	0
36	69	TraS	1.652e+00	0
37	61	TrbK_RP4	4.309e+00	0
38	485	TraS	7.122e-01	0
39	160	Eex_IncN	9.314e-01	0
40	162	Eex_IncN	2.773e-01	0
41	130	Eex_IncN	2.468e+00	0
42	112	Eex_IncN	1.671e+00	0
43	165	TraS	1.513e+00	0
44	345	TrbK_RP4	1.907e-09	1
45	107	Eex_IncN	2.769e+00	0
46	298	TrbK_RP4	3.053e-08	1
47	298	TrbK_RP4	2.082e-08	1
48	337	TrbK_RP4	8.647e-10	1
49	349	TrbK_RP4	9.733e-10	1
50	110	Eex_IncN	2.371e+00	0
51	298	TrbK_RP4	1.507e-06	1
52	524	TrbK_RP4	2.253e-20	1
53	64	Eex_IncN	1.569e+00	0
54	64	TraS	1.854e+00	0
55	198	TraS	1.148e-01	0
56	198	TraS	5.256e-02	0
57	198	TraS	3.912e-02	0
58	198	TraS	4.011e-02	0
59	198	TraS	4.528e-02	0
60	198	TraS	5.405e-02	0
61	198	TraS	6.003e-02	0
62	321	TrbK_RP4	5.416e-08	1
63	321	TrbK_RP4	5.202e-08	1
64	321	TrbK_RP4	4.500e-08	1
65	317	TrbK_RP4	1.330e-07	1
66	321	TrbK_RP4	5.693e-08	1
67	321	TrbK_RP4	4.500e-08	1
68	346	TrbK_RP4	1.366e-08	1
69	344	TrbK_RP4	7.172e-08	1
70	371	TrbK_RP4	1.477e-08	1
71	369	TrbK_RP4	1.560e-08	1
72	364	TrbK_RP4	1.354e-08	1
73	216	TraS	3.392e-02	0
74	216	TraS	3.323e-02	0
75	216	TraS	6.164e-03	1
76	216	TraS	1.259e-02	1
77	216	TraS	2.582e-02	0
78	133	TraS	2.550e+00	0
79	312	TrbK_RP4	1.240e-07	1
80	123	Eex_IncN	3.573e+00	0
81	321	TrbK_RP4	5.720e-09	1
82	311	TrbK_RP4	2.281e-06	1
83	312	TrbK_RP4	1.761e-06	1
84	312	TrbK_RP4	1.927e-06	1
85	327	TrbK_RP4	3.119e-08	1
86	400	ExcA	4.745e-01	0
87	64	TraS	2.092e+00	0
88	619	TraS	1.515e-01	0
89	330	TrbK_RP4	3.994e-08	1
90	313	TrbK_RP4	1.493e-07	1
91	228	TraS	5.896e-03	1
92	315	TrbK_RP4	2.824e-07	1
93	190	TraS	5.018e-02	0
94	190	TraS	2.610e-02	0
95	71	ExcA	5.933e-01	0
96	308	TrbK_RP4	5.178e-06	1
97	225	ExcA	1.974e-01	0
98	305	ExcA	5.320e-02	0
99	361	TrbK_RP4	8.690e-09	1
100	384	TrbK_RP4	6.836e-14	1
101	869	TrbK_RP4	1.532e-01	0
102	64	TraS	2.080e+00	0
103	160	Eex_IncN	5.677e-01	0
104	68	TrbK_RP4	8.103e-01	0
105	261	ExcA	1.496e-01	0
106	93	Eex_IncN	5.281e+00	0
107	93	Eex_IncN	6.826e+00	0
108	110	TraS	1.528e+00	0
109	160	Eex_IncN	6.124e-01	0
110	129	Eex_IncN	1.967e+00	0
111	133	TrbK_RP4	1.893e+00	0
112	133	TraS	1.627e+00	0
113	133	TraS	1.085e+00	0
114	336	TrbK_RP4	1.706e-08	1
115	191	TraS	9.481e-02	0
116	429	TrbK_RP4	2.393e-01	0
117	429	TrbK_RP4	2.132e-01	0
118	195	Eex_IncN	1.029e+00	0
119	195	Eex_IncN	8.729e-01	0
120	258	TraS	7.808e-01	0
121	429	TrbK_RP4	4.101e-01	0
122	429	TrbK_RP4	5.024e-01	0
123	429	TrbK_RP4	4.986e-01	0
124	429	TrbK_RP4	4.836e-01	0
125	264	TraS	5.664e-01	0
126	429	TrbK_RP4	3.809e-01	0
127	160	Eex_IncN	6.461e-01	0
128	429	TrbK_RP4	3.036e-01	0
129	137	Eex_IncN	1.001e+00	0
130	121	Eex_IncN	8.575e-01	0
131	429	TrbK_RP4	5.484e-01	0
132	429	TraS	6.823e-01	0
133	31	Eex_IncN	4.422e+00	0
134	189	TraS	1.778e-02	1
135	189	TraS	2.417e-02	0
136	284	TrbK_RP4	8.942e-02	0
137	320	TrbK_RP4	2.567e-07	1
138	319	TrbK_RP4	2.982e-07	1
139	364	TrbK_RP4	3.557e-08	1
140	364	TrbK_RP4	2.013e-08	1
141	364	TrbK_RP4	2.090e-08	1
142	157	TrbK_RP4	8.295e-02	0
143	364	TrbK_RP4	2.247e-08	1
144	364	TrbK_RP4	2.204e-08	1
145	397	TrbK_RP4	1.802e-09	1
146	364	TrbK_RP4	2.649e-08	1
147	364	TrbK_RP4	2.204e-08	1
148	288	TrbK_RP4	2.369e-07	1
149	286	TrbK_RP4	2.551e-07	1
150	226	TrbK_RP4	9.201e-06	1
151	187	TrbK_RP4	1.175e-02	1
152	364	TrbK_RP4	1.158e-08	1
153	364	TrbK_RP4	9.292e-09	1
154	383	TrbK_RP4	3.795e-08	1
155	588	Eex_IncN	2.677e+00	0
156	580	Eex_IncN	4.172e-01	0
157	83	ExcA	9.771e-01	0
158	418	TraS	1.498e+00	0
159	218	TraS	1.722e-01	0
160	51	Eex_IncN	1.008e+00	0
161	129	TraS	2.784e+00	0
162	365	TraS	3.930e+00	0
163	217	ExcA	1.669e-01	0
164	403	TrbK_RP4	7.235e-09	1
165	355	TraS	2.626e+00	0
166	189	TraS	2.604e-02	0
167	355	TraS	9.125e-01	0
168	355	TraS	7.084e-01	0
169	355	TraS	9.391e-01	0
170	80	Eex_IncN	1.763e+00	0
171	48	Eex_IncN	2.697e+00	0
172	355	TraS	8.782e-01	0
173	356	TraS	2.888e-01	0
174	353	TraS	1.464e+00	0
175	355	TraS	1.384e+00	0
176	356	TraS	1.274e+00	0
177	356	TraS	1.079e+00	0
178	201	TraS	2.321e+00	0
179	199	ExcA	1.809e+00	0
180	199	ExcA	2.205e+00	0
181	314	TrbK_RP4	8.645e-07	1
182	288	TraS	1.868e+00	0
183	549	TrbK_RP4	1.660e-25	1
184	71	TrbK_RP4	2.273e+00	0
185	71	TrbK_RP4	6.675e-01	0
186	314	TrbK_RP4	3.195e-07	1
187	86	Eex_IncN	1.612e+00	0
188	320	TrbK_RP4	2.187e-08	1
189	351	TrbK_RP4	8.665e-10	1
190	72	Eex_IncN	6.867e+00	0
191	370	TrbK_RP4	3.958e-01	0
192	148	TrbK_RP4	2.912e+00	0
193	754	TrbK_RP4	3.721e-02	0
194	198	TraS	1.807e-02	1
195	203	ExcA	4.750e-01	0
196	402	TraS	2.162e+00	0
197	402	TraS	2.162e+00	0
198	81	ExcA	8.551e-01	0
199	370	TrbK_RP4	2.063e-14	1
200	99	ExcA	1.982e+00	0
201	83	Eex_IncN	3.614e-01	0
202	99	Eex_IncN	1.163e+00	0
203	158	ExcA	4.150e-01	0
204	147	Eex_IncN	2.125e+00	0
205	147	Eex_IncN	2.125e+00	0
206	148	TraS	2.102e+00	0
207	132	Eex_IncN	3.553e+00	0
208	149	TraS	1.263e+00	0
209	159	Eex_IncN	2.203e+00	0
210	125	ExcA	3.194e-01	0
211	514	TrbK_RP4	1.107e-17	1
212	381	TrbK_RP4	1.000e-12	1
213	104	Eex_IncN	5.283e-02	0
214	95	Eex_IncN	3.355e-02	0
215	95	Eex_IncN	7.006e-02	0
216	95	Eex_IncN	2.271e-02	0
217	95	Eex_IncN	2.119e-02	0
218	95	Eex_IncN	4.789e-02	0
219	120	Eex_IncN	1.272e-02	1
220	95	Eex_IncN	2.067e-02	1
221	88	Eex_IncN	5.614e-02	0
222	111	Eex_IncN	3.823e-02	0
223	105	Eex_IncN	8.268e-02	0
224	105	Eex_IncN	4.762e-02	0
225	125	Eex_IncN	1.419e-02	1
226	105	Eex_IncN	1.738e-01	0
227	105	Eex_IncN	1.534e-01	0
228	101	Eex_IncN	2.535e-02	0
229	101	Eex_IncN	3.206e-02	0
230	105	Eex_IncN	2.082e-01	0
231	175	TraS	1.852e-04	1
232	175	TraS	2.445e-04	1
233	334	TrbK_RP4	7.627e-08	1
234	334	TrbK_RP4	7.500e-08	1
235	341	TrbK_RP4	2.341e-07	1
236	315	TrbK_RP4	1.056e-07	1
237	340	TrbK_RP4	1.124e-07	1
238	338	TrbK_RP4	2.704e-07	1
239	340	TrbK_RP4	1.596e-07	1
240	361	TrbK_RP4	1.535e-07	1
241	153	Eex_IncN	1.196e+00	0
242	178	TraS	3.225e-03	1
243	178	TraS	2.424e-03	1
244	178	TraS	1.019e-03	1
245	178	TraS	6.173e-03	1
246	144	Eex_IncN	1.678e+00	0
247	121	Eex_IncN	2.556e-02	0
248	366	TrbK_RP4	9.145e-09	1
249	485	TrbK_RP4	8.755e-17	1
250	175	TraS	3.125e-02	0
251	163	Eex_IncN	6.194e-01	0
252	358	ExcA	3.378e-01	0
253	196	TraS	2.346e-01	0
254	490	TrbK_RP4	1.008e-11	1
255	492	TrbK_RP4	8.013e-12	1
256	492	TrbK_RP4	4.955e-12	1
257	493	TrbK_RP4	1.663e-11	1
258	492	TrbK_RP4	1.530e-11	1
259	345	TrbK_RP4	1.260e-08	1
260	344	ExcA	1.497e+00	0
261	191	TraS	7.537e-01	0
262	95	Eex_IncN	2.691e-02	0
263	668	TrbK_RP4	1.586e-01	0
264	177	TraS	3.242e-01	0
265	140	TrbK_RP4	4.038e+00	0
266	332	TrbK_RP4	1.865e-07	1
267	404	TrbK_RP4	2.904e-11	1
268	406	TrbK_RP4	2.973e-12	1
269	334	TrbK_RP4	3.751e-08	1
270	311	TrbK_RP4	1.984e-07	1
271	305	TrbK_RP4	1.110e-07	1
272	121	Eex_IncN	7.390e+00	0
273	338	TrbK_RP4	1.390e-08	1
274	341	TrbK_RP4	1.549e-09	1
275	342	TrbK_RP4	2.594e-09	1
276	342	TrbK_RP4	6.573e-09	1
277	314	TrbK_RP4	3.316e-07	1
278	314	TrbK_RP4	3.186e-07	1
279	95	Eex_IncN	2.727e-01	0
280	95	Eex_IncN	1.559e-01	0
281	119	Eex_IncN	4.409e-03	1
282	95	Eex_IncN	2.979e-02	0
283	96	Eex_IncN	3.534e-02	0
284	100	Eex_IncN	2.016e-02	1
285	49	Eex_IncN	3.850e+00	0
286	70	Eex_IncN	1.982e+00	0
287	236	TraS	8.874e+00	0
288	384	TrbK_RP4	4.833e-01	0
289	384	TrbK_RP4	8.333e-01	0
290	331	TrbK_RP4	1.191e-08	1
291	645	TraS	4.040e-02	0
292	246	ExcA	1.539e-01	0
293	623	ExcA	7.087e-01	0
294	95	TraS	7.949e-04	1
295	308	TrbK_RP4	6.914e-08	1
296	308	TrbK_RP4	1.512e-07	1
297	184	TraS	2.611e-01	0
298	141	Eex_IncN	2.716e-01	0
299	141	Eex_IncN	3.232e-01	0
300	341	TrbK_RP4	5.473e-09	1
301	189	TraS	2.045e-01	0
302	189	TraS	4.033e-02	0
303	29	TraS	7.835e+00	0
304	141	TraS	5.076e-02	0
305	141	TraS	6.769e-02	0
306	80	ExcA	3.637e-01	0
307	181	TraS	1.473e+00	0
308	120	ExcA	1.777e+00	0
309	342	TrbK_RP4	3.125e-08	1
310	308	TrbK_RP4	2.804e-08	1
311	47	Eex_IncN	3.529e+00	0
312	303	TraS	2.738e-04	1
313	170	Eex_IncN	2.550e-01	0
314	435	TrbK_RP4	1.725e-10	1
315	195	Eex_IncN	1.079e+00	0
316	316	TrbK_RP4	1.985e-08	1
317	318	TrbK_RP4	6.419e-08	1
318	349	TrbK_RP4	4.723e-09	1
319	349	TrbK_RP4	1.675e-09	1
320	348	TrbK_RP4	8.131e-09	1
321	165	Eex_IncN	1.230e+00	0
322	165	Eex_IncN	1.564e+00	0
323	165	Eex_IncN	2.756e-01	0
324	153	Eex_IncN	1.333e+00	0
325	140	ExcA	1.671e+00	0
326	763	ExcA	4.661e-02	0
327	321	Eex_IncN	5.265e-01	0
328	121	ExcA	5.067e-02	0
329	115	ExcA	2.434e-02	0
330	115	ExcA	3.455e-02	0
331	115	ExcA	3.341e-02	0
332	114	ExcA	1.719e-02	1
333	115	ExcA	2.118e-02	0
334	114	ExcA	1.799e-02	1
335	117	ExcA	2.534e-02	0
336	117	ExcA	1.592e-01	0
337	117	ExcA	3.340e-01	0
338	117	ExcA	1.038e-01	0
339	121	ExcA	4.329e-01	0
340	121	ExcA	2.802e-01	0
341	117	ExcA	3.885e-01	0
342	117	ExcA	5.423e-01	0
343	117	ExcA	4.645e-01	0
344	117	ExcA	4.206e-01	0
345	117	ExcA	2.772e-01	0
346	117	ExcA	3.299e-01	0
347	117	ExcA	4.484e-01	0
348	117	ExcA	1.044e-01	0
349	117	ExcA	3.104e-01	0
350	117	ExcA	5.779e-01	0
351	121	ExcA	1.762e-01	0
352	117	ExcA	2.867e-01	0
353	117	ExcA	5.934e-01	0
354	117	ExcA	4.457e-01	0
355	117	ExcA	3.660e-01	0
356	117	ExcA	1.124e-01	0
357	117	ExcA	9.938e-02	0
358	117	ExcA	4.483e-01	0
359	80	Eex_IncN	4.517e-01	0
360	317	TrbK_RP4	3.044e-08	1
361	105	TraS	1.536e+00	0
362	393	TrbK_RP4	2.973e-14	1
363	627	TrbK_RP4	2.962e-19	1
364	290	TraS	5.101e-02	0
365	143	Eex_IncN	1.570e+00	0
366	234	ExcA	1.530e-01	0
367	232	ExcA	3.121e-01	0
368	161	ExcA	1.917e+00	0
369	232	ExcA	5.460e-01	0
370	232	ExcA	5.202e-01	0
371	229	ExcA	3.422e-01	0
372	151	ExcA	1.350e+00	0
373	115	Eex_IncN	9.592e-01	0
374	519	TraS	2.699e+00	0
375	388	Eex_IncN	3.927e+00	0
376	397	Eex_IncN	4.203e+00	0
377	644	TraS	1.107e+00	0
378	456	ExcA	1.250e+00	0
379	30	ExcA	7.937e+00	0
380	196	TraS	1.043e-02	1
381	83	Eex_IncN	7.471e-02	0
382	112	Eex_IncN	3.742e-01	0
383	312	Eex_IncN	1.844e+00	0
384	343	TrbK_RP4	3.492e-08	1
385	41	Eex_IncN	7.870e-01	0
386	48	Eex_IncN	7.480e+00	0
387	456	TraS	9.330e-01	0
388	496	TraS	3.558e-02	0
389	109	TraS	3.548e-01	0
390	631	TraS	6.939e-02	0
391	315	ExcA	1.055e+00	0
392	315	ExcA	1.092e+00	0
393	59	TrbK_RP4	1.159e+00	0
394	107	ExcA	7.488e+00	0
395	422	TrbK_RP4	1.404e-07	1
396	422	TrbK_RP4	1.441e-07	1
397	395	TrbK_RP4	2.255e-08	1
398	91	ExcA	7.965e-01	0
399	368	TrbK_RP4	1.902e-06	1
