accession	mpf_class	slot_anchor	slot_occupant_family	slot_occupant_coords	slot_occupant_aa	slot_family_bit	slot_status
AB244976.1	MPF_T	VirB5		59797..60102	101		candidate
AFSD01000008.1	MPF_T	VirB5		282863..283066	67		candidate
AJ297913.2	MPF_T	VirB5	Eex_IncN	25667..25963	98	77.5	eex_occupied
AJ304453.1	MPF_T	VirB5		27593..28312	239		candidate
AJ639924.1	MPF_T	VirB5	TrbK_RP4	12606..12833	75	105.1	eex_occupied
AJ863570.1	MPF_T	VirB5	TrbK_RP4	20355..20582	75	104.6	eex_occupied
AM157767.1	MPF_T	VirB5	TrbK_RP4	33974..34210	78	61.0	eex_occupied
AM261282.1	MPF_T	VirB5	TrbK_RP4	12362..12535	57	41.9	eex_occupied
AP012552.1	MPF_T	VirB5	Eex_IncN	7922..8146	74	82.6	eex_occupied
AP014659.1	MPF_T	VirB5		81226..81408	60		candidate
AP014688.1	MPF_T	VirB5		22808..22993	61		candidate
AP017969.1	MPF_T	VirB5		26936..28564	542		candidate
AP017970.1	MPF_T	VirB5		25055..26677	540		candidate
AP018566.2	MPF_T	VirB5	Eex_IncN	12593..12820	75	70.7	eex_occupied
AP018571.2	MPF_T	VirB5	Eex_IncN	36044..36301	85	67.6	eex_occupied
AP018705.1	MPF_T	VirB5	Eex_IncN	26967..27209	80	81.5	eex_occupied
AP018706.1	MPF_T	VirB5	Eex_IncN	27485..27727	80	81.8	eex_occupied
AP018707.1	MPF_T	VirB5	Eex_IncN	27966..28274	102	76.8	eex_occupied
AP018708.1	MPF_T	VirB5	Eex_IncN	28050..28358	102	76.8	eex_occupied
AP018709.1	MPF_T	VirB5	TrbK_RP4	40351..40578	75	104.8	eex_occupied
AP018710.1	MPF_T	VirB5		29672..29875	67		candidate
AP019683.1	MPF_T	VirB5		35559..37034	491		candidate
AP019756.1	MPF_T	VirB5		58008..58217	69		candidate
AP022275.1	MPF_T	VirB5	Eex_IncN	40499..40783	94	54.8	eex_occupied
AP022422.1	MPF_T	VirB5	Eex_IncN	42189..42416	75	69.5	eex_occupied
AP025950.1	MPF_T	VirB5		36956..37951	331		candidate
AP025952.1	MPF_T	VirB5		13514..14509	331		candidate
AP025954.1	MPF_T	VirB5		27900..28895	331		candidate
AP025956.1	MPF_T	VirB5		7886..8884	332		candidate
AP025958.1	MPF_T	VirB5		43321..44319	332		candidate
AP025960.1	MPF_T	VirB5		42099..43091	330		candidate
AP025964.1	MPF_T	VirB5		28225..28542	105		candidate
AP025967.1	MPF_T	VirB5		97430..98428	332		candidate
AP025969.1	MPF_T	VirB5		25164..26162	332		candidate
AP025971.1	MPF_T	VirB5		17646..18641	331		candidate
AP025975.1	MPF_T	VirB5		22575..23567	330		candidate
AP025978.1	MPF_T	VirB5		14566..15564	332		candidate
AP025980.1	MPF_T	VirB5		23185..24183	332		candidate
AP025982.1	MPF_T	VirB5		4588..5586	332		candidate
AP025984.1	MPF_T	VirB5		36484..37476	330		candidate
AP025986.1	MPF_T	VirB5		40985..41983	332		candidate
AP025988.1	MPF_T	VirB5		42341..43336	331		candidate
AP025989.1	MPF_T	VirB5		20160..20942	260		candidate
AP025991.1	MPF_T	VirB5		35465..36460	331		candidate
AP025993.1	MPF_T	VirB5		42003..42995	330		candidate
AP025997.1	MPF_T	VirB5		16087..17085	332		candidate
AP025998.1	MPF_T	VirB5		18130..18912	260		candidate
AP026000.1	MPF_T	VirB5		12642..13637	331		candidate
AP026002.1	MPF_T	VirB5		14416..14649	77		candidate
AP026006.1	MPF_T	VirB5		41275..42270	331		candidate
AP026008.1	MPF_T	VirB5		15848..16843	331		candidate
AP026010.1	MPF_T	VirB5		9367..10359	330		candidate
AP026012.1	MPF_T	VirB5		29142..30134	330		candidate
AP026015.1	MPF_T	VirB5		53107..54102	331		candidate
AP026450.1	MPF_T	VirB5	Eex_IncN	19299..19526	75	69.5	eex_occupied
