element_id	accession	record_role	path	bp	md5	fetched	status
F	AP001918.1	primary	data/seed/genbank/F__AP001918.1.gb	99159	2c69f04b98bfc970626007e7ed6f1eaf	2026-08-31	OK
F	X06915.1	aux	data/seed/genbank/F__X06915.1.gb	1727	b20744c7487ca7a8becdd3bb83f6e195	2026-08-31	OK
F	U01159.2	aux	data/seed/genbank/F__U01159.2.gb	33359	5ce04e07adbeb58675fd02980a893683	2026-08-31	OK
R100	AP000342.1	primary	data/seed/genbank/R100__AP000342.1.gb	94281	920a5d5f421333eed0e2c8942ab67bd7	2026-08-31	OK
R100	NC_002134.1	crosscheck	data/seed/genbank/R100__NC_002134.1.gb	94281	18f76b0055b5ab01fd112847b805b43e	2026-08-31	OK
R64	AP005147.1	primary	data/seed/genbank/R64__AP005147.1.gb	120826	92d3de91fe5725bd9fa1ca7c94554888	2026-08-31	OK
R64	NC_005014.1	crosscheck	data/seed/genbank/R64__NC_005014.1.gb	120826	9ff45f6d72dbb11f0157f9a385ccc56b	2026-08-31	OK
R621a	AP011954.1	primary	data/seed/genbank/R621a__AP011954.1.gb	93185	61d391c12cc83df1a65063f3b1ca0165	2026-08-31	OK
R621a	NC_015965.1	crosscheck	data/seed/genbank/R621a__NC_015965.1.gb	93185	0a755d174adc75f153d1f5f059d75a93	2026-08-31	OK
R388	BR000038.1	primary	data/seed/genbank/R388__BR000038.1.gb	33913	8abc789923f8c85d461fd47c727f5370	2026-08-31	OK
R388	NC_028464.1	crosscheck	data/seed/genbank/R388__NC_028464.1.gb	33913	7f54d354fb3c7ad2a7e7e6af8eeefdaf	2026-08-31	OK
R27	AF250878.1	primary	data/seed/genbank/R27__AF250878.1.gb	180461	c00568c3cd3f828c2f6bd0785e2e4340	2026-08-31	OK
R27	NC_002305.1	crosscheck	data/seed/genbank/R27__NC_002305.1.gb	180461	e64de15a866a91147fae0fa2fce20473	2026-08-31	OK
pVCR94	CP033514.1	primary	data/seed/genbank/pVCR94__CP033514.1.gb	171829	85ccf3ef7e1f0b72b3fbd6e6c9beff91	2026-08-31	OK
pVCR94	NZ_CP033514.1	crosscheck	data/seed/genbank/pVCR94__NZ_CP033514.1.gb	171829	e2a2b32b296dec36b92680a89aeca62e	2026-08-31	OK
R16a	KX156773.1	primary	data/seed/genbank/R16a__KX156773.1.gb	173094	c9f805995da059162aa16a6b503d88ac	2026-08-31	OK
R16a	NZ_KX156773.1	crosscheck	data/seed/genbank/R16a__NZ_KX156773.1.gb	173094	80751c5793dd54798094d8413b2a9fe9	2026-08-31	OK
ColE1	J01566.1	primary	data/seed/genbank/ColE1__J01566.1.gb	6646	6ca3a7ed5ea6d5ace4ddfd07425508ef	2026-08-31	OK
ColE1	NC_001371.1	crosscheck	data/seed/genbank/ColE1__NC_001371.1.gb	6646	71176034d4e179a78a819182b68d0176	2026-08-31	OK
pKPC_UVA01	CP009465.1	primary	data/seed/genbank/pKPC_UVA01__CP009465.1.gb	43621	dd2ac2fd79df319136a54268a0fbfde9	2026-08-31	OK
pKPC_UVA01	NZ_CP009465.1	crosscheck	data/seed/genbank/pKPC_UVA01__NZ_CP009465.1.gb	43621	518a43ec6c99551eac410c2c247d1ad7	2026-08-31	OK
pKPC_UVA01	CP017937.1	aux	data/seed/genbank/pKPC_UVA01__CP017937.1.gb	43621	1392635ad5dffab1761596db095a4c99	2026-08-31	OK
pKPC_UVA01	NZ_CP017937.1	aux	data/seed/genbank/pKPC_UVA01__NZ_CP017937.1.gb	43621	300f04aa6cebbde4a7e2a607eae18ad2	2026-08-31	OK
pLS20	AB615352.1	primary	data/seed/genbank/pLS20__AB615352.1.gb	65774	89c7771a3c238a3e0dd39b998993ad21	2026-08-31	OK
pLS20	NC_015148.1	crosscheck	data/seed/genbank/pLS20__NC_015148.1.gb	65774	9f35befc9fe52effab0ea471983a829f	2026-08-31	OK
pCF10	AY855841.2	primary	data/seed/genbank/pCF10__AY855841.2.gb	67673	edb9b048b82de4a8f46738546801ee21	2026-08-31	OK
pCF10	NC_006827.2	crosscheck	data/seed/genbank/pCF10__NC_006827.2.gb	67673	ea3e6e8af01a023c0b1c8923a3184f73	2026-08-31	OK
pAD1	CP046109.1	primary	data/seed/genbank/pAD1__CP046109.1.gb	74657	fd0d41427284b29d3fd31a8acda27310	2026-08-31	OK
pAD1	NZ_CP046109.1	crosscheck	data/seed/genbank/pAD1__NZ_CP046109.1.gb	74657	b1c2f60e9437a0c4808942676430cb46	2026-08-31	OK
pAM373	AE002565.1	primary	data/seed/genbank/pAM373__AE002565.1.gb	36804	8ce0a7d83dc15cf3d05c092488ef4bc2	2026-08-31	OK
pAM373	NC_002630.1	crosscheck	data/seed/genbank/pAM373__NC_002630.1.gb	36804	b915544f1a8cdc31a62c2ff12b7f7f99	2026-08-31	OK
RSF1010	M28829.1	primary	data/seed/genbank/RSF1010__M28829.1.gb	8684	e9d8f0b6334e97bbc58e879192ee2d27	2026-08-31	OK
RSF1010	NC_001740.1	crosscheck	data/seed/genbank/RSF1010__NC_001740.1.gb	8684	5018f41f7d2f4947e5b426ca5e4078c2	2026-08-31	OK
RP4	BN000925.1	primary	data/seed/genbank/RP4__BN000925.1.gb	60096	1ad0082b86543c513c9cef1b04f73d80	2026-08-31	OK
RP4	CP152305.1	aux	data/seed/genbank/RP4__CP152305.1.gb	60095	3e04baa9a81d97c23110e52dab782e7e	2026-08-31	OK
RP4	NZ_PP591959.1	aux	data/seed/genbank/RP4__NZ_PP591959.1.gb	60095	a7963a31dafcc0bffe0c5adea1328121	2026-08-31	OK
R391	AY090559.1	primary	data/seed/genbank/R391__AY090559.1.gb	88532	9a05d940ce1962994d9e719dbcbe50f2	2026-08-31	OK
pED208	CP146035.1	primary	data/seed/genbank/pED208__CP146035.1.gb	92869	5527d1ea52a3ac3457fc96ae046f903f	2026-08-31	OK
pED208	AF411480.1	aux	data/seed/genbank/pED208__AF411480.1.gb	32647	d838e4c781946a457cac7aed05d8347a	2026-08-31	OK
pED208	M13465.1	aux	data/seed/genbank/pED208__M13465.1.gb	3725	b84fb86379e361c67f964e70fe318c3c	2026-08-31	OK
SXT	KJ817376.1	primary	data/seed/genbank/SXT__KJ817376.1.gb	104025	fbf548c8e27df0a342b08ed6acf9fe3f	2026-08-31	OK
SXT	AY034138.1	aux	data/seed/genbank/SXT__AY034138.1.gb	19997	8276e5b4eaec8249b03224074d58ad36	2026-08-31	OK
pKM101	U09868.1	aux	data/seed/genbank/pKM101__U09868.1.gb	12416	f81877bbf55d02f0316e12a83cdc5bf5	2026-08-31	OK
pKM101	U72482.2	aux	data/seed/genbank/pKM101__U72482.2.gb	13833	69cd51544a6fe300b9ee4d786c297e8d	2026-08-31	OK
R6-5	X52553.1	aux	data/seed/genbank/R6-5__X52553.1.gb	1033	6f0432026732e3f0080279b6388e05f8	2026-08-31	OK
R6-5	M38048.1	aux	data/seed/genbank/R6-5__M38048.1.gb	2381	192baee88d62bea7da15db4516b1ca02	2026-08-31	OK
ICEBs1	CP171645.1	primary	/global/scratch/users/kh36969/exclusion_gene/hosts/ICEBs1__CP171645.1.gb	4215502	38b89a95ac4ebc613bf393183469426a	2026-08-31	OK
Ti	CP032920.1	primary	data/seed/genbank/Ti__CP032920.1.gb	194263	230cb2e22e4aa2b68e4ab948932236fe	2026-08-31	OK
