accession	n_cds	core_completeness	n_core	VirB1	VirB1_score	VirB2	VirB2_score	VirB3	VirB3_score	VirB4	VirB4_score	VirB4b	VirB4b_score	VirB5	VirB5_score	VirB6	VirB6_score	VirB7	VirB7_score	VirB8	VirB8_score	VirB9	VirB9_score	VirB10	VirB10_score	VirB11	VirB11_score	VirD4	VirD4_score	TraN	TraN_score
AB244976.1	79	7/7	7	ga:75:63917..64582:-	28.3	ga:74:63554..63895:-	76.3	ga:73:63203..63529:-	73.2	ga:72:60832..63216:-	164.4	ga:72:60832..63216:-	109.6	ga:71:60105..60818:-	126.0	ga:69:58740..59756:-	123.1	none		ga:67:57716..58399:-	156.3	ga:66:56877..57719:-	177.4	ga:65:55607..56875:-	175.3	ga:64:54618..55610:-	102.1	ga:63:52724..54640:-	358.2	none	
AFSD01000008.1	371	7/7	7	none		ga:254:278941..279327:+	75.2	ga:255:279320..279619:+	67.6	ga:55:52046..54514:+	194.1	ga:55:52046..54514:+	128.9	none		ga:259:283060..284241:+	115.2	none		ga:260:284262..284924:+	131.5	ga:60:57425..58279:+	186.9	ga:263:286234..287532:+	226.7	ga:52:50421..51392:+	130.3	ga:96:94528..96408:+	548.8	none	
AJ297913.2	53	7/7	7	ga:32:32408..33169:-	36.6	ga:30:29611..29919:-	71.9	ga:29:29278..29601:-	80.8	ga:28:26791..29271:-	199.1	ga:28:26791..29271:-	108.3	ga:27:26066..26785:-	228.4	ga:25:24573..25655:-	167.7	none		ga:23:23556..24266:-	207.1	ga:22:22687..23559:-	182.4	ga:21:21536..22687:-	186.7	ga:20:20485..21552:-	90.8	ga:18:17424..19937:-	352.0	none	
AJ304453.1	71	7/7	7	ga:38:34771..35550:-	34.2	ga:36:31949..32257:-	81.4	ga:35:31613..31936:-	83.8	ga:34:29116..31605:-	208.5	ga:34:29116..31605:-	104.5	ga:33:28380..29108:-	199.1	ga:30:26203..27285:-	169.2	none		ga:28:25164..25889:-	190.9	ga:27:24271..25167:-	165.1	ga:26:23129..24274:-	193.1	ga:25:22069..23145:-	102.4	ga:23:18527..21256:-	319.4	none	
AJ639924.1	59	7/7	7	ga:15:15193..15828:+	23.5	ga:4:4864..5328:+	66.5	ga:5:5332..5643:+	49.8	ga:6:5640..8198:+	91.0	ga:6:5640..8198:+	112.0	none		ga:13:12844..14574:+	143.0	none		ga:7:8195..8977:+	145.8	ga:8:8995..9894:+	186.5	ga:10:10390..11811:+	223.1	ga:3:3885..4850:+	128.3	ga:40:41197..43110:-	525.7	none	
AJ863570.1	58	7/7	7	ga:21:22930..23565:+	23.5	ga:10:12613..13077:+	63.5	ga:11:13081..13392:+	49.8	ga:12:13389..15947:+	91.0	ga:12:13389..15947:+	112.1	none		ga:19:20593..22311:+	143.0	none		ga:13:15944..16726:+	145.8	ga:14:16744..17643:+	186.5	ga:16:18139..19560:+	223.3	ga:9:11634..12596:+	127.6	ga:37:41481..43394:-	525.1	none	
AM157767.1	79	7/7	7	none		ga:31:26364..26771:+	60.9	ga:32:26774..27085:+	51.2	ga:33:27082..29640:+	100.2	ga:33:27082..29640:+	108.2	none		ga:40:34218..35954:+	141.3	none		ga:34:29637..30356:+	140.9	ga:35:30368..31258:+	177.3	ga:37:31736..33154:+	226.4	ga:30:25373..26344:+	131.9	ga:75:63410..65326:-	504.6	none	
AM261282.1	64	7/7	7	ga:16:15315..15944:+	24.1	ga:4:4683..5147:+	65.0	ga:5:5151..5462:+	47.0	ga:6:5459..8017:+	98.2	ga:6:5459..8017:+	122.1	none		ga:14:12759..14675:+	155.8	none		ga:7:8014..8787:+	145.4	ga:8:8805..9698:+	185.7	ga:10:10160..11563:+	222.0	ga:3:3707..4669:+	134.7	ga:44:40239..42143:-	521.1	none	
AP012552.1	30	4/7	4	ga:20:11942..12652:-	47.6	ga:19:11640..11945:-	76.4	ga:18:8889..11627:-	46.0	ga:18:8889..11627:-	137.3	ga:18:8889..11627:-	30.9	ga:17:8160..8867:-	129.2	ga:15:6862..7911:-	156.6	none		ga:13:5918..6553:-	180.7	ga:11:5035..5541:-	84.5	none		none		none		none	
AP014581.1	216	7/7	7	ga:17:20326..20748:+	76.2	none		none		ga:92:82389..84851:+	54.0	ga:92:82389..84851:+	80.5	none		ga:94:85639..86658:+	59.7	none		ga:12:15448..16152:+	93.4	ga:13:16155..17027:+	175.5	ga:14:17030..18280:+	166.8	ga:22:24946..27375:+	151.3	ga:96:88037..89908:+	39.7	none	
