element	inc	gene	virb	start	end	strand	aa_len	pfam_name	pfam_acc	score	protein_id
R388	IncW			1	288	-1	95	Histone_HNS	PF00816	60.0	R388|0
R388	IncW			425	1018	1	197			0.0	R388|1
R388	IncW			1020	1616	1	198	SLT	PF01464	43.3	R388|2
R388	IncW	korA		1841	2137	1	98			0.0	R388|3
R388	IncW	trwL		2103	2408	1	101	TrbC	PF04956	70.8	R388|4
R388	IncW			2421	2735	1	104	VirB3	PF05101	81.0	R388|5
R388	IncW			2738	5209	1	823	CagE_TrbE_VirB	PF03135	121.0	R388|6
R388	IncW			5206	5886	1	226	T4SS	PF07996	122.1	R388|7
R388	IncW			5883	6113	1	76			0.0	R388|8
R388	IncW			6127	7155	1	342	TrbL	PF04610	170.1	R388|9
R388	IncW			7269	7412	1	47			0.0	R388|10
R388	IncW			7409	8104	1	231	VirB8	PF04335	158.1	R388|11
R388	IncW			8115	8915	1	266	CagX	PF03524	157.8	R388|12
R388	IncW	virB10		8915	10102	1	395	TrbI	PF03743	185.6	R388|13
R388	IncW	virB11		10068	11144	1	358	T2SSE	PF00437	87.6	R388|14
R388	IncW			11227	14127	-1	966	TrwC	PF08751	284.2	R388|15
R388	IncW			14127	15650	-1	507	TrwB_AAD_bind	PF10412	308.2	R388|16
R388	IncW			15652	16017	-1	121			0.0	R388|17
R388	IncW			16471	16896	1	141			0.0	R388|18
R388	IncW	stbB		16893	17588	1	231			0.0	R388|19
R388	IncW			17602	17988	1	128			0.0	R388|20
R388	IncW			18142	18393	-1	83			0.0	R388|21
R388	IncW			18541	19194	-1	217	KlcB_N	PF27393	96.4	R388|22
R388	IncW			19210	19482	-1	90			0.0	R388|23
R388	IncW			20247	20570	-1	107	KORA	PF16509	98.1	R388|24
R388	IncW			20622	20975	-1	117	SSB	PF00436	43.4	R388|25
R388	IncW			21174	21950	-1	258	DUF3560	PF12083	129.5	R388|26
R388	IncW			22018	22182	-1	54			0.0	R388|27
R388	IncW			22255	22455	-1	66			0.0	R388|28
