accession	anchor	anchor_bit	offset	same_strand	duf_bit	duf_aa
NZ_CP074686.1	FA_orf14	420.5	2	1	49.1	126
NZ_CP026535.1	FA_orf14	286.6	18	1	38.2	116
NZ_CP065648.1	FA_orf14	292.2	-2	1	31.1	116
NZ_CP065648.1	FA_orf14	292.2	24	1	31.1	116
NZ_CP065648.1	FA_orf14	292.2	56	1	31.1	116
NZ_CP065644.1	FA_orf14	292.2	-3	1	31.1	116
NZ_CP065646.1	FA_orf14	292.2	-2	1	31.1	116
NZ_CP028214.1	FA_orf14	286.7	-2	1	29.6	116
NZ_CP071474.1	FA_orf14	201.1	-76	0	29.4	123
NZ_CP086199.1	FA_orf14	139.6	-18	1	28.4	117
NZ_CP036125.1	FA_orf14	229.3	-2	1	25.7	106
NZ_CP074686.1	FA_orf15	183.5	3	1	49.1	126
NC_013341.1	FA_orf15	1281.0	3	1	35.0	113
NZ_CP065648.1	FA_orf15	206.2	-1	1	31.1	116
NZ_CP065648.1	FA_orf15	206.2	25	1	31.1	116
NZ_CP065648.1	FA_orf15	206.2	57	1	31.1	116
NZ_CP065644.1	FA_orf15	90.4	-2	1	31.1	116
NZ_CP065646.1	FA_orf15	206.2	-1	1	31.1	116
NZ_KU510528.1	FA_orf15	170.4	-1	1	30.2	117
NZ_CP028214.1	FA_orf15	201.4	-1	1	29.6	116
NZ_CP086199.1	FA_orf15	448.3	3	1	28.4	117
NZ_CP036125.1	FA_orf15	201.1	-1	1	25.7	106
