seq_idx	aa_len	n_records	pfam_domains
0	189	1	YjaZ(102.5)
1	108	1	SLT(29.2)
2	217	1	VirB8(153.6)
3	217	1	VirB8(144.3)
4	217	2	VirB8(151.8)
5	217	1	VirB8(160.6)
6	217	1	VirB8(160.1)
7	218	1	VirB8(154.8)
8	217	1	VirB8(166.3)
9	217	1	VirB8(161.0)
10	410	1	HNH_2(40.5)
11	692	1	TraG_N(155.5)
12	693	2	TraG_N(155.9)
13	693	1	TraG_N(155.9)
14	693	1	TraG_N(155.9)
15	112	1	
16	303	1	
17	237	1	
18	430	1	Phage_integrase(71.4);Arm-DNA-bind_3(34.9)
19	164	1	SLT(30.2)
20	697	1	TraG_N(81.9)
21	296	2	
22	296	1	
23	296	1	
24	296	1	
25	296	1	
26	219	1	VirB8(153.7)
27	219	2	VirB8(153.7)
28	406	1	DDE_Tnp_ISL3(231.3);HTH_Tnp_ISL3(45.7);Zn_ribbon_ISL3(32.0)
29	526	1	DDE_Tnp_IS66(347.4);zf-IS66(66.0);DDE_Tnp_IS66_C(63.0);LZ_Tnp_IS66(61.1)
30	568	2	TraG_N(37.2)
31	217	1	VirB8(155.3)
32	217	1	VirB8(159.8)
33	162	29	
34	162	3	
35	162	2	
36	69	1	T4SS(57.4)
37	61	1	
38	485	1	Phage_integrase(31.3)
39	160	1	
40	162	1	
41	130	1	
42	112	9	
43	165	1	SLT(30.2)
44	345	1	TrbL(110.9)
45	107	2	
46	298	1	TrbL(119.8)
47	298	1	TrbL(119.5)
48	337	1	TrbL(118.6)
49	349	1	TrbL(105.2)
50	110	1	
51	298	1	TrbL(58.7)
52	524	1	TrbL(79.8)
53	64	1	
54	64	5	
55	198	1	
56	198	4	
57	198	6	
58	198	1	
59	198	1	
60	198	3	
61	198	1	
62	321	3	TrbL(108.3)
63	321	1	TrbL(108.3)
64	321	1	TrbL(108.3)
65	317	1	TrbL(108.8)
66	321	2	TrbL(108.3)
67	321	2	TrbL(108.3)
68	346	1	TrbL(153.6)
69	344	1	TrbL(86.2)
70	371	2	TrbL(71.2)
71	369	2	TrbL(152.0)
72	364	1	TrbL(151.8)
73	216	1	
74	216	1	
75	216	4	
76	216	1	
77	216	1	
78	133	1	
79	312	1	TrbL(123.6)
80	123	1	
81	321	1	TrbL(125.1)
82	311	1	TrbL(130.8)
83	312	1	TrbL(132.2)
84	312	3	TrbL(135.7)
85	327	1	TrbL(127.7)
86	400	2	Transposase_mut(524.5)
87	64	1	
88	619	1	TrwB_AAD_bind(39.9);TraG-D_C(39.3)
89	330	1	TrbL(103.3)
90	313	1	TrbL(123.1)
91	228	1	
92	315	1	TrbL(134.2)
93	190	1	
94	190	1	
95	71	1	
96	308	2	TrbL(130.2)
97	225	1	VirB8(142.9)
98	305	4	FitA-like_RHH(31.1)
99	361	1	TrbL(138.0)
100	384	3	TrbL(109.4)
101	869	1	
102	64	1	
103	160	1	
104	68	2	
105	261	1	OmpA(64.2)
106	93	1	
107	93	1	
108	110	1	
109	160	1	
110	129	1	
111	133	1	
112	133	1	
113	133	1	
114	336	1	TrbL(115.4)
115	191	1	
116	429	2	HNH_2(40.5)
117	429	1	HNH_2(40.5)
118	195	1	
119	195	1	
120	258	10	
121	429	6	HNH_2(40.5)
122	429	2	HNH_2(40.5)
123	429	437	HNH_2(40.5)
124	429	1	HNH_2(40.5)
125	264	1	
126	429	3	HNH_2(40.5)
127	160	1	
128	429	1	HNH_2(40.5)
129	137	3	
130	121	1	
131	429	1	HNH_2(40.5)
132	429	2	HNH_2(40.5)
133	31	1	
134	189	2	
135	189	1	
136	284	1	
137	320	1	TrbL(107.0)
138	319	1	TrbL(107.0)
139	364	1	TrbL(149.4)
140	364	1	TrbL(149.6)
141	364	1	TrbL(148.8)
142	157	2	TrbL(77.7)
143	364	1	TrbL(150.1)
144	364	321	TrbL(150.1)
145	397	1	TrbL(146.9)
146	364	1	TrbL(150.1)
147	364	1	TrbL(146.7)
148	288	1	TrbL(146.0)
149	286	1	TrbL(151.1)
150	226	1	TrbL(151.4)
151	187	1	TrbL(105.3)
152	364	1	TrbL(147.9)
153	364	19	TrbL(150.1)
154	383	1	TrbL(147.1)
155	588	1	
156	580	1	
157	83	1	DUF2749(63.3)
158	418	1	
159	218	1	VirB8(124.4)
160	51	1	
161	129	1	SLT(62.7)
162	365	2	
163	217	1	VirB8(160.0)
164	403	1	TrbL(114.6)
165	355	1	
166	189	1	
167	355	2	
168	355	1	
169	355	1	
170	80	1	
171	48	1	
172	355	2	
173	356	1	
174	353	1	
175	355	1	
176	356	1	
177	356	1	
178	201	1	
179	199	1	
180	199	2	
181	314	1	TrbL(121.4)
