mpf_class	element	gene_index	start	end	strand	aa	profile	is_exclusion_family
MPF_T	RP4	0	1	60096	-1	317	virB2	0
MPF_T	RP4	22	18825	19784	1	319	virB11	0
MPF_T	RP4	23	19797	20234	1	145	virB2	0
MPF_T	RP4	24	20237	20548	1	103	virB3	0
MPF_T	RP4	25	20545	23103	1	852	virb4	0
MPF_T	RP4	26	23100	23858	1	252	virB8	0
MPF_T	RP4	27	23870	24763	1	297	virB9	0
MPF_T	RP4	29	25254	26645	1	463	virB10	0
MPF_T	RP4	30	26662	27438	1	258	virB5	0
MPF_T	RP4	31	27450	27659	1	69	TrbK	1
MPF_T	RP4	32	27666	29252	1	528	virB6	0
MPF_T	RP4	57	46588	48495	-1	635	t4cp2	0
MPF_T	RP4	58	48492	50690	-1	732	MOBP1	0
MPF_F	F	69	65556	66065	-1	169	T_virB1	0
MPF_F	F	74	68645	68956	1	103	traL	0
MPF_F	F	75	68978	69544	1	188	traE	0
MPF_F	F	76	69531	70259	1	242	traK	0
MPF_F	F	77	70259	71686	1	475	traB	0
MPF_F	F	81	72710	73225	1	171	traV	0
MPF_F	F	83	73741	76368	1	875	virb4	0
MPF_F	F	85	76748	77380	1	210	traW	0
MPF_F	F	86	77377	78369	1	330	traU	0
MPF_F	F	87	78378	79016	1	212	trbC	0
MPF_F	F	88	79013	80821	1	602	traN	0
MPF_F	F	90	81068	81841	1	257	traF	0
MPF_F	F	97	84052	85428	1	458	traH	0
MPF_F	F	98	85425	88241	1	938	traG	0
MPF_F	F	101	89804	91957	1	717	t4cp2	0
MPF_F	F	103	92673	97943	1	1756	MOBF	0
MPF_I	R64	77	67391	70090	1	899	MOBP1	0
MPF_I	R64	78	70127	72418	-1	763	t4cp2	0
MPF_I	R64	79	72411	73481	-1	356	trbB	0
MPF_I	R64	80	73500	74708	-1	402	trbA	0
MPF_I	R64	83	76983	77645	-1	220	ExcA	1
MPF_I	R64	84	76983	77426	-1	147	ExcA	1
MPF_I	R64	85	77716	79953	-1	745	traY	0
MPF_I	R64	87	80594	81796	-1	400	traW	0
MPF_I	R64	88	81763	82377	-1	204	traV	0
MPF_I	R64	89	82377	85421	-1	1014	traU	0
MPF_I	R64	90	85511	86311	-1	266	traT	0
MPF_I	R64	92	86547	86951	-1	134	traR	0
MPF_I	R64	93	87002	87529	-1	175	traQ	0
MPF_I	R64	94	87529	88233	-1	234	traP	0
MPF_I	R64	95	88233	89522	-1	429	traO	0
MPF_I	R64	96	89525	90508	-1	327	traN	0
MPF_I	R64	97	90519	91211	-1	230	traM	0
MPF_I	R64	98	91208	91555	-1	115	traL	0
MPF_I	R64	102	95996	96286	-1	96	traK	0
MPF_I	R64	104	97428	98246	-1	272	traI	0
MPF_I	R64	108	101027	101851	-1	274	traE	0
MPF_FA	ICEBs1	7	3822	4202	1	126	orf23	0
MPF_FA	ICEBs1	8	4238	5680	1	480	tcpA	0
MPF_FA	ICEBs1	9	5673	6731	1	352	MOBT	0
MPF_FA	ICEBs1	13	7885	8949	1	354	orf13	0
MPF_FA	ICEBs1	15	9222	9746	1	174	orf17b	0
MPF_FA	ICEBs1	16	9634	12129	1	831	virb4	0
MPF_FA	ICEBs1	18	12478	14925	1	815	orf15	0
MPF_FA	ICEBs1	19	14922	15911	1	329	orf14	0
MPF_FA	ICEBs1	21	16495	16875	1	126	DUF4467	1
MPF_FATA	pCF10	15	12883	16800	1	1305	prgB	0
MPF_FATA	pCF10	17	17246	18103	1	285	prgC	0
MPF_FATA	pCF10	20	19545	19772	1	75	prgF	0
MPF_FATA	pCF10	22	20097	20897	1	266	prgHb	0
MPF_FATA	pCF10	23	20899	21252	1	117	prgIc	0
MPF_FATA	pCF10	24	21359	23596	1	745	virb4	0
MPF_FATA	pCF10	25	23608	26223	1	871	prgK	0
MPF_FATA	pCF10	26	26247	26873	1	208	prgL	0
MPF_FATA	pCF10	30	28341	30170	1	609	t4cp2	0
MPF_FATA	pCF10	34	33288	34973	1	561	MOBP1	0
MPF_G	ICEHin1056	28	27852	28481	1	209	tfc2	0
MPF_G	ICEHin1056	29	28485	29225	1	246	tfc3	0
MPF_G	ICEHin1056	31	29978	30484	1	168	tfc5	0
MPF_G	ICEHin1056	32	30481	32730	1	749	t4cp2	0
MPF_G	ICEHin1056	34	33049	33735	1	228	tfc7	0
MPF_G	ICEHin1056	35	33866	34216	1	116	tfc8	0
MPF_G	ICEHin1056	36	34485	34886	1	133	tfc10	0
MPF_G	ICEHin1056	37	34906	35277	1	123	tfc11	0
MPF_G	ICEHin1056	38	35289	35918	1	209	tfc12	0
MPF_G	ICEHin1056	39	35937	36806	1	289	tfc13	0
MPF_G	ICEHin1056	40	36817	38217	1	466	tfc14	0
MPF_G	ICEHin1056	41	38227	38634	1	135	tfc15	0
MPF_G	ICEHin1056	42	38650	41520	1	956	virb4	0
MPF_G	ICEHin1056	44	41945	42268	1	107	tfc18	0
MPF_G	ICEHin1056	45	42277	43770	1	497	tfc19	0
MPF_G	ICEHin1056	48	44998	46998	-1	666	tfc22	0
MPF_G	ICEHin1056	49	47013	47939	-1	308	tfc23	0
MPF_G	ICEHin1056	50	47951	48388	-1	145	tfc24	0
MPF_G	ICEHin1056	59	55497	57404	1	635	MOBH	0
MPF_B	CTnDOT	1	733	1980	-1	415	MOBP1	0
MPF_B	CTnDOT	6	5597	5914	1	105	traE	0
MPF_B	CTnDOT	7	5926	6258	1	110	traF	0
MPF_B	CTnDOT	8	6255	8771	1	838	virb4	0
MPF_B	CTnDOT	9	8611	9186	1	191	traH	0
MPF_B	CTnDOT	10	9211	9840	1	209	traI	0
MPF_B	CTnDOT	11	9845	10849	1	334	traJ	0
MPF_B	CTnDOT	12	10882	11505	1	207	traK	0
MPF_B	CTnDOT	13	11512	11832	1	106	traL	0
MPF_B	CTnDOT	14	11813	13171	1	452	traM	0
MPF_B	CTnDOT	15	13209	14198	1	329	traN	0
MPF_B	CTnDOT	16	14201	14776	1	191	traO	0
MPF_B	CTnDOT	17	14803	15669	1	288	traP	0
MPF_B	CTnDOT	18	15683	16180	1	165	traQ	0
MPF_C	pCC7120a	70	55237	57483	-1	748	MOBF	0
MPF_C	pCC7120a	198	206840	208546	1	568	MOBV	0
MPF_C	pCC7120a	203	213098	213703	1	201	alr7204	0
MPF_C	pCC7120a	204	214194	214502	1	102	alr7205	0
MPF_C	pCC7120a	205	214524	217343	1	939	virb4	0
MPF_C	pCC7120a	206	217347	218063	1	238	alr7207	0
MPF_C	pCC7120a	207	218167	219279	1	370	alr7208	0
MPF_C	pCC7120a	208	219391	220185	1	264	alr7209	0
MPF_C	pCC7120a	209	220182	221723	1	513	alr7210	0
MPF_C	pCC7120a	210	221720	222460	1	246	alr7211	0
MPF_C	pCC7120a	211	222457	223653	1	398	alr7212	0
MPF_C	pCC7120a	212	223656	225425	1	589	t4cp2	0
MPF_C	pCC7120a	213	225431	225922	1	163	MOBP1	0
