accession	mpf_class_call	entry_criterion	n_cds	n_fa_fata_profiles	n_FA	n_FATA	fa_subclass	profile_support	FA_profiles	FATA_profiles	virb4	tcpA	t4cp1	t4cp2	MOBB	MOBC	MOBF	MOBH	MOBP1	MOBP2	MOBP3	MOBQ	MOBT	MOBV	virb4_bit	relaxase_profiles	exclusion_family_hit	slot_status
AE017195.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	220	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	24:26237..28336:-	none	67:69590..73090:+	67:69590..73090:+	none	none	none	none	none	none	none	none	none	none	329.4			no_slot_defined
AP007210.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	247	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	141:150648..151616:+	none	77:88670..92170:-	77:88670..92170:-	none	none	none	none	none	none	none	none	none	none	157.6			no_slot_defined
AP012045.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	7	0	7	FATA	high		FATA_cd419a;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc	35:27664..30915:+	none	32:23386..26277:+	32:23386..26277:+	none	none	none	none	29:19075..20943:+	none	none	none	none	none	303.6	MOBP1		no_slot_defined
AP022644.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	316	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	42:42772..44709:-	191:227297..228463:+	47:48603..51209:-	47:48603..51209:-	none	none	none	none	37:38413..39603:-	37:38413..39603:-	none	none	none	none	333.2	MOBP1;MOBP2		no_slot_defined
AP022895.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	277	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	210:213198..214166:+	none	147:151227..154727:-	147:151227..154727:-	none	none	none	none	none	none	none	none	none	none	157.6			no_slot_defined
AP022896.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	75	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsG	70:61173..62201:-	none	none	none	none	none	none	none	74:65467..67725:-	none	none	none	none	none	124.6	MOBP1		no_slot_defined
AP023006.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	419	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	118:111442..112410:-	none	190:184471..187971:+	190:184471..187971:+	none	none	317:314179..317934:+	none	none	none	none	none	none	none	157.6	MOBF		no_slot_defined
AP023007.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	82	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	70:62552..63415:-	none	75:65711..67036:-	75:65711..67036:-	none	none	none	none	79:70332..72875:-	none	79:70332..72875:-	none	none	none	139.3	MOBP1;MOBP3		no_slot_defined
AP023008.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	46	5	1	4	FATA	high	FA_orf14	FATA_cd419a;FATA_trsD;FATA_trsJ;FATA_trsL	16:21121..23613:+	none	27:33426..34694:+	27:33426..34694:+	none	none	none	none	24:29459..30103:+	none	none	none	none	24:29459..30103:+	303.6	MOBP1;MOBV		no_slot_defined
AP023015.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	277	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	242:235951..238050:+	none	196:189715..193215:-	196:189715..193215:-	none	none	none	none	none	none	none	none	none	none	329.4			no_slot_defined
AP023016.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	90	8	1	7	FATA	high	FA_orf14	FATA_cd411;FATA_cd419a;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb	33:26787..29201:-	74:59450..60583:+	24:17181..19001:-	24:17181..19001:-	none	none	none	none	53:42789..44108:+	none	none	none	none	none	322.9	MOBP1		no_slot_defined
AP023017.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	39	5	1	4	FATA	high	FA_orf14	FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsL	23:21465..23318:+	none	32:30061..31890:+	32:30061..31890:+	none	none	none	none	31:29404..30045:+	none	none	none	none	none	287.4	MOBP1		no_slot_defined
AP024978.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	51	3	2	1	FA	medium	FA_orf17a;FA_orf17b	FATA_cd419a	34:30439..32964:+	29:25989..27572:+	none	none	none	none	none	none	none	none	none	none	none	none	84.6			no_slot_defined
AP024981.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	51	3	2	1	FA	medium	FA_orf17a;FA_orf17b	FATA_cd419a	34:30439..32964:+	29:25989..27572:+	none	none	none	none	none	none	none	none	none	none	none	none	84.6			no_slot_defined
AP026576.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	85	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	48:30609..32564:-	none	53:36723..39581:-	53:36723..39581:-	none	none	none	none	40:25134..26432:-	40:25134..26432:-	none	none	none	none	319.8	MOBP1;MOBP2		no_slot_defined
AP026581.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	134	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	77:68056..70503:-	82:73229..74614:-	none	none	none	18:12577..13380:+	none	none	none	none	none	none	81:71846..73051:-	none	93.8	MOBC;MOBT		no_slot_defined
AP026613.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	424	6	1	5	FATA	high	FA_orf14	FATA_cd411;FATA_cd419_1;FATA_cd419a;FATA_prgIa;FATA_prgIb	65:51095..53353:-	none	70:55680..57005:-	142:108702..109379:-	none	none	none	none	54:37866..39194:+	397:305652..307244:-	none	none	none	none	325.1	MOBP1;MOBP2		no_slot_defined
AP026618.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	420	5	0	5	FATA	high		FATA_cd411;FATA_cd419_1;FATA_cd419a;FATA_prgIa;FATA_prgIb	372:277320..279578:-	none	377:281905..283230:-	26:15694..16371:-	none	none	none	none	360:264089..265417:+	284:212271..213863:-	none	none	none	none	325.1	MOBP1;MOBP2		no_slot_defined
AP026642.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	373	7	1	6	FATA	high	FA_orf14	FATA_cd411;FATA_cd419_1;FATA_cd419a;FATA_cd419b;FATA_prgIa;FATA_prgIb	34:27342..29600:+	none	29:23207..25015:+	29:23207..25015:+	none	none	none	none	46:41502..42830:-	306:232802..234394:-	none	none	none	none	325.1	MOBP1;MOBP2		no_slot_defined
AP026651.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	418	6	5	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf23	FATA_cd419a	38:37682..39376:+	107:91457..92842:+	33:31065..33677:+	33:31065..33677:+	none	none	none	none	316:272695..274287:-	50:47752..49344:+	none	none	108:93020..94225:+	none	203.8	MOBP1;MOBP2;MOBT		no_slot_defined
AP026719.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	86	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	82:67529..70084:-	none	none	85:72593..73498:-	none	none	none	none	72:59694..61754:-	72:59694..61754:-	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
AP026727.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	82	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	66:52868..55423:-	none	69:57932..60463:-	69:57932..60463:-	none	none	none	none	56:45034..47094:-	56:45034..47094:-	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
AP026730.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	84	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	77:64054..66609:-	none	80:69118..71649:-	80:69118..71649:-	none	none	none	none	67:56221..58281:-	67:56221..58281:-	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
AP027223.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	80	8	1	7	FATA	high	FA_orf14	FATA_cd419_1;FATA_prgC;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsL	46:39117..41078:+	none	51:44568..46223:+	51:44568..46223:+	none	none	none	none	42:35738..37702:+	none	none	42:35738..37702:+	none	none	261.7	MOBP1;MOBQ		no_slot_defined
AP027229.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	80	8	1	7	FATA	high	FA_orf14	FATA_cd419_1;FATA_prgC;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsL	46:39119..41080:+	none	51:44570..46225:+	51:44570..46225:+	none	none	none	none	42:35740..37704:+	none	none	42:35740..37704:+	none	none	261.7	MOBP1;MOBQ		no_slot_defined
AP027235.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	84	8	1	7	FATA	high	FA_orf14	FATA_cd419_1;FATA_prgC;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsL	48:39114..41075:+	none	53:44565..46220:+	53:44565..46220:+	none	none	none	none	44:35735..37699:+	none	none	44:35735..37699:+	none	none	261.7	MOBP1;MOBQ		no_slot_defined
AP028456.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	287	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	22:24793..27378:+	none	none	none	none	28:34917..35888:+	none	none	none	none	none	none	none	none	77.9	MOBC		no_slot_defined
AP029232.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	38	7	0	7	FATA	high		FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	28:24150..26162:+	none	34:31638..33278:+	34:31638..33278:+	none	none	none	none	none	none	none	13:12395..14392:-	none	none	317.4	MOBQ		no_slot_defined
AP031220.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	57	5	2	3	unassigned	high	FA_orf13;FA_orf15	FATA_prgB;FATA_prgC;FATA_trsG	21:22212..24698:+	none	25:27766..29961:+	25:27766..29961:+	none	27:31081..31875:+	none	none	none	none	none	none	none	none	93.8	MOBC		no_slot_defined
AP031224.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	69	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	60:53258..55705:-	65:58431..59816:-	none	none	none	none	none	none	none	8:5551..5718:-	none	none	64:57048..58253:-	none	93.8	MOBP2;MOBT		no_slot_defined
AP031235.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	71	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	24:18257..20704:+	19:14146..15531:+	none	none	none	none	none	none	none	6:5551..5718:+	none	none	20:15709..16914:+	none	93.8	MOBP2;MOBT		no_slot_defined
AP031258.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	72	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	5:5253..6878:+	none	none	0:17..1078:+	none	none	none	none	16:12756..14291:+	16:12756..14291:+	none	none	none	none	247.6	MOBP1;MOBP2		no_slot_defined
