set	id	aa	n_tm	signal	orientation_alternates
TARGET_VirB5+1	TARGET_VirB5+1|0	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|1	102	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|2	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|3	76	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|4	64	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|5	204	3	0	1
TARGET_VirB5+1	TARGET_VirB5+1|6	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|7	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|8	83	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|9	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|10	68	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|11	67	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|12	82	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|13	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|14	67	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|15	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|16	62	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|17	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|18	56	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|19	67	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|20	57	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|21	112	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|22	193	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|23	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|24	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|25	65	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|26	194	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|27	112	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|28	71	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|29	100	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|30	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|31	198	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|32	65	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|33	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|34	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|35	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|36	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|37	70	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|38	60	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|39	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|40	64	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|41	51	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|42	80	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|43	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|44	162	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|45	65	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|46	80	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|47	67	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|48	111	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|49	139	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|50	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|51	83	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|52	62	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|53	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|54	177	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|55	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|56	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|57	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|58	167	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|59	91	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|60	145	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|61	70	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|62	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|63	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|64	154	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|65	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|66	139	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|67	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|68	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|69	184	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|70	103	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|71	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|72	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|73	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|74	69	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|75	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|76	65	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|77	68	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|78	107	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|79	66	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|80	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|81	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|82	191	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|83	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|84	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|85	101	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|86	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|87	338	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|88	121	0	1	1
