accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order_canonical
AP018516.1	7	5	contiguous	27654	14894	traI traM traN traO traU
AP024477.1	16	16	contiguous	30038	5637	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP024914.1	13	11	split_2	49165	31188	traI traK traL traM traN traO traP traQ traU traW traY
AP024919.1	13	11	split_2	49165	31188	traI traK traL traM traN traO traP traQ traU traW traY
AP026449.1	16	16	contiguous	30303	5902	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP026488.1	16	16	contiguous	31131	6015	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP026515.1	16	16	contiguous	31503	5602	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP026532.1	16	16	contiguous	31732	8331	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP026757.1	16	16	contiguous	28309	5115	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
AP028463.1	13	11	split_2	75275	57301	traI traK traL traM traN traO traP traQ traU traW traY
AP028474.1	13	13	contiguous	20757	4163	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
AP028482.1	13	13	contiguous	21049	3684	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
AP028496.1	13	13	contiguous	21046	3681	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
AP028514.1	12	12	contiguous	19530	4184	traK traL traM traN traO traP traQ traU traW traY trbA trbB
AP028546.1	13	13	contiguous	21527	4173	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
AP028551.1	13	11	split_2	51372	33362	traI traK traL traM traN traO traP traQ traU traW traY
AP028558.1	12	12	split_2	91642	73127	traI traK traL traM traN traP traQ traU traW traY trbA trbB
AP028559.1	13	11	split_2	51372	33362	traI traK traL traM traN traO traP traQ traU traW traY
AP028564.1	12	12	split_2	90426	74221	traI traK traL traM traN traO traP traQ traU traW trbA trbB
AP028565.1	13	11	split_2	51372	33362	traI traK traL traM traN traO traP traQ traU traW traY
AP031464.1	9	7	contiguous	27666	9206	traI traK trbA traM traN traO traU
CM017776.1	12	11	contiguous	24001	7481	traI traK traL traM traN traO traP traQ traU traW traY
CP000619.1	8	7	split_4	107615	34469	traM traN traO traU traW trbA traY
CP000620.1	13	11	split_2	85104	54971	traL traM traN traO traP traQ traU traW traY trbA trbB
CP003927.1	7	5	contiguous	18953	7398	traI traK traM traN traU
CP004365.1	8	6	contiguous	22356	5568	traI traK traM traN traQ traU
CP005999.1	16	16	contiguous	31760	8602	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP009852.1	13	11	split_2	47229	27377	traI traK traL traM traN traO traP traQ traU traW traY
CP009857.1	13	11	split_2	52622	34543	traI traK traL traM traN traO traP traQ traU traW traY
CP011632.1	13	11	split_2	53696	35719	traI traK traL traM traN traO traP traQ traU traW traY
CP013914.1	13	13	contiguous	22030	3574	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP013915.1	13	13	split_2	81515	61835	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP014298.1	13	11	contiguous	33669	14818	traI traK traL traM traN traO traP traQ traU traW traY
CP014494.1	16	16	contiguous	29800	5944	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP018461.1	13	11	contiguous	26036	7981	traI traK traL traM traN traO traP traQ traU traW traY
CP018674.1	13	13	split_2	69144	49857	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP020526.1	15	15	contiguous	25045	3919	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP020530.1	13	11	split_3	67834	29955	traI traK traL traM traN traO traP traQ traU traW traY
CP021898.1	15	15	contiguous	25045	3919	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP024251.1	15	15	contiguous	26203	6368	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP024976.1	16	16	split_2	135229	108726	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP025214.1	13	13	contiguous	20745	3638	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP026188.1	12	10	split_2	49132	32847	traI traK traL traM traN traO traP traQ traU traW
CP026194.1	13	11	split_3	77334	32847	traI traK traL traM traN traO traP traQ traU traW traY
CP027378.1	16	16	split_2	48203	24482	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP027379.1	15	15	split_2	95227	71573	traE traI traK traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP027673.1	16	16	contiguous	33807	9539	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP027699.1	13	11	split_2	70302	45814	traI traK traL traM traN traO traP traQ traU traW traY
CP029720.1	13	11	contiguous	36244	16509	traI traK traL traM traN traO traP traQ traU traW traY
CP029771.1	16	16	contiguous	29791	5263	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP029842.1	16	16	contiguous	31163	5692	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP030839.1	16	16	contiguous	28602	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
